"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"page-blocks",16,"dropToValue",256,0.1,"cone",0,1,0.984,0.9583
"page-blocks",2,"dropToValue",512,0.01,"rect",0.05,1,0.9826,0.9678
"page-blocks",2,"dropToValue",1024,0.01,"rect",0.05,1,0.9821,0.9671
"page-blocks",4,"dropToValue",512,0.01,"rect",0.05,1,0.982,0.97
"page-blocks",16,"dropToValue",512,0.01,"rect",0,1,0.9819,0.9671
"page-blocks",2,"dropToValue",512,0.01,"rect",0,1,0.9819,0.9605
"page-blocks",2,"dropToValue",256,0.01,"rect",0,1,0.9819,0.9598
"page-blocks",8,"dropToValue",1024,0.01,"rect",0,1,0.9817,0.9591
"page-blocks",4,"dropToValue",1024,0.01,"cone",0,1,0.9817,0.9583
"page-blocks",2,"dropToValue",1024,0.01,"cone",0.05,1,0.9816,0.9635
"page-blocks",32,"dropToValue",256,0.01,"rect",0,1,0.9816,0.962
"page-blocks",16,"dropToValue",256,0.01,"rect",0,1,0.9814,0.962
"page-blocks",32,"dropToValue",512,0.01,"rect",0,1,0.9814,0.9525
"page-blocks",4,"dropToValue",256,0.1,"cone",0,1,0.981,0.9561
"page-blocks",4,"dropToValue",1024,0.1,"cone",0,1,0.9809,0.9547
"page-blocks",8,"dropToValue",256,0.01,"rect",0.05,1,0.9808,0.9664
"page-blocks",16,"dropToValue",1024,0.01,"cone",0,1,0.9806,0.9591
"page-blocks",4,"dropToValue",512,0.1,"cone",0,1,0.9805,0.9613
"page-blocks",16,"dropToValue",1024,0.01,"rect",0.05,1,0.9804,0.9656
"page-blocks",8,"dropToValue",256,0.01,"rect",0,1,0.9804,0.9642
"page-blocks",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9804,0.9627
"page-blocks",4,"dropToValue",256,0.1,"rect",0,1,0.9804,0.9583
"page-blocks",2,"dropToValue",256,0.1,"cone",0,1,0.9802,0.9539
"page-blocks",2,"dropToValue",1024,0.01,"rect",0,1,0.9802,0.9591
"page-blocks",16,"dropToValue",512,0.01,"cone",0,1,0.9802,0.9569
"page-blocks",8,"dropToValue",512,0.01,"rect",0,1,0.9802,0.9583
"page-blocks",4,"dropToValue",256,0.01,"rect",0,1,0.9802,0.9605
"page-blocks",8,"dropToValue",256,0.1,"rect",0.05,1,0.9801,0.9591
"page-blocks",4,"dropToValue",1024,0.01,"rect",0.05,1,0.9801,0.9686
"page-blocks",8,"dropToValue",1024,0.01,"cone",0,1,0.9801,0.9576
"page-blocks",4,"dropToValue",512,0.01,"rect",0,1,0.98,0.9598
"page-blocks",16,"dropToValue",1024,0.01,"rect",0,1,0.98,0.9598
"page-blocks",16,"dropToValue",512,0.01,"rect",0.05,1,0.9799,0.9554
"page-blocks",2,"dropToValue",256,0.01,"cone",0,1,0.9798,0.9635
"page-blocks",8,"dropToValue",1024,0.1,"cone",0,1,0.9795,0.9613
"page-blocks",4,"dropToValue",512,0.1,"rect",0.05,1,0.9794,0.9686
"page-blocks",2,"dropToValue",1024,0.01,"cone",0,1,0.9793,0.9613
"page-blocks",8,"dropToValue",512,0.1,"cone",0,1,0.9793,0.9642
"page-blocks",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9792,0.9525
"page-blocks",4,"dropToValue",1024,0.01,"rect",0,1,0.9792,0.9569
"page-blocks",4,"dropToValue",256,0.01,"cone",0,1,0.9791,0.9591
"page-blocks",32,"dropToValue",1024,0.01,"rect",0,1,0.9791,0.9583
"page-blocks",2,"dropToValue",256,0.1,"cone",0.05,1,0.979,0.9598
"page-blocks",4,"dropToValue",256,0.1,"rect",0.05,1,0.9788,0.9496
"page-blocks",2,"dropToValue",512,0.1,"rect",0.05,1,0.9788,0.9678
"page-blocks",8,"dropToValue",512,0.01,"cone",0,1,0.9787,0.9613
"page-blocks",8,"dropToValue",256,0.01,"cone",0,1,0.9786,0.9605
"page-blocks",2,"dropToValue",256,0.1,"rect",0,1,0.9786,0.9627
"page-blocks",4,"dropToValue",512,0.1,"rect",0,1,0.9786,0.9664
"page-blocks",4,"dropToValue",1024,0.1,"rect",0.05,1,0.9786,0.9635
"page-blocks",8,"dropToValue",256,0.1,"cone",0,1,0.9785,0.9591
"page-blocks",2,"dropToValue",1024,0.1,"rect",0.05,1,0.9784,0.9613
"page-blocks",4,"dropToValue",512,0.01,"cone",0.05,1,0.9783,0.9605
"page-blocks",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9783,0.9649
"page-blocks",2,"dropToValue",512,0.1,"cone",0,1,0.9782,0.9627
"page-blocks",32,"dropToValue",1024,0.01,"cone",0,1,0.9781,0.9554
"page-blocks",32,"dropToValue",1024,0.01,"rect",0.05,1,0.9781,0.9671
"page-blocks",2,"dropToValue",256,0.1,"rect",0.05,1,0.9777,0.9656
"page-blocks",8,"dropToValue",512,0.01,"rect",0.05,1,0.9777,0.9671
"page-blocks",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9777,0.9656
"page-blocks",2,"dropToValue",512,0.1,"cone",0.05,1,0.9777,0.9635
"page-blocks",4,"dropToValue",512,0.1,"cone",0.05,1,0.9777,0.9561
"page-blocks",4,"dropToValue",256,0.1,"cone",0.05,1,0.9776,0.9642
"page-blocks",2,"dropToValue",512,0.01,"cone",0,1,0.9775,0.9583
"page-blocks",32,"dropToValue",512,0.01,"cone",0,1,0.9775,0.9503
"page-blocks",16,"dropToValue",256,0.01,"cone",0,1,0.9775,0.9569
"page-blocks",16,"dropToValue",1024,0.1,"cone",0,1,0.9773,0.9591
"page-blocks",16,"dropToValue",512,0.1,"cone",0,1,0.9771,0.9576
"page-blocks",4,"dropToValue",256,0.01,"cone",0.05,1,0.9768,0.9547
"page-blocks",2,"dropToValue",1024,0.1,"cone",0,1,0.9767,0.9605
"page-blocks",4,"dropToValue",512,0.01,"cone",0,1,0.9766,0.9583
"page-blocks",2,"dropToValue",1024,0.1,"rect",0,1,0.9766,0.9598
"page-blocks",4,"dropToValue",1024,0.01,"cone",0.05,1,0.9761,0.9605
"page-blocks",8,"dropToValue",512,0.1,"cone",0.05,1,0.9756,0.9569
"page-blocks",4,"dropToValue",256,0.01,"rect",0.05,1,0.975,0.9627
"page-blocks",2,"dropToValue",512,0.1,"rect",0,1,0.975,0.9496
"page-blocks",2,"dropToValue",512,0.01,"cone",0.05,1,0.975,0.9605
"page-blocks",16,"dropToValue",256,0.1,"rect",0.05,1,0.9747,0.9591
"page-blocks",8,"dropToValue",256,0.1,"cone",0.05,1,0.9743,0.9547
"page-blocks",16,"dropToValue",1024,0.1,"cone",0.05,1,0.9723,0.9452
"page-blocks",2,"dropToValue",256,0.01,"cone",0.05,1,0.9717,0.9532
"page-blocks",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9713,0.9437
"page-blocks",8,"dropToValue",512,0.01,"cone",0.05,1,0.971,0.9466
"page-blocks",32,"dropToValue",512,0.1,"cone",0,1,0.9705,0.9503
"page-blocks",2,"dropToValue",256,0.01,"rect",0.05,1,0.9702,0.9554
"page-blocks",8,"dropToValue",256,0.01,"cone",0.05,1,0.9701,0.943
"page-blocks",16,"dropToValue",256,0.01,"rect",0.05,1,0.9698,0.9583
"page-blocks",3,"dropToValue",256,0.01,"rect",0,1,0.9688,0.962
"page-blocks",3,"dropToValue",1024,0.1,"cone",0,1,0.9686,0.9664
"page-blocks",3,"dropToValue",512,0.01,"cone",0,1,0.9679,0.9605
"page-blocks",3,"dropToValue",256,0.1,"rect",0,1,0.9674,0.9627
"page-blocks",3,"dropToValue",256,0.1,"cone",0,1,0.9671,0.9627
"page-blocks",3,"dropToValue",1024,0.01,"rect",0,1,0.9667,0.9576
"page-blocks",3,"dropToValue",256,0.01,"cone",0,1,0.9662,0.9569
"page-blocks",3,"dropToValue",1024,0.1,"rect",0.05,1,0.9661,0.9605
"page-blocks",3,"dropToValue",512,0.1,"rect",0,1,0.966,0.9598
"page-blocks",3,"dropToValue",1024,0.01,"cone",0,1,0.9657,0.9642
"page-blocks",32,"dropToValue",256,0.1,"cone",0,1,0.9652,0.9408
"page-blocks",3,"dropToValue",512,0.01,"cone",0.05,1,0.9652,0.9591
"page-blocks",3,"dropToValue",512,0.1,"cone",0.05,1,0.9648,0.9561
"page-blocks",32,"dropToValue",512,0.01,"rect",0.05,1,0.9648,0.9547
"page-blocks",3,"dropToValue",1024,0.1,"rect",0,1,0.9647,0.9649
"page-blocks",3,"dropToValue",512,0.1,"rect",0.05,1,0.9646,0.9598
"page-blocks",3,"dropToValue",256,0.1,"cone",0.05,1,0.9639,0.9576
"page-blocks",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9639,0.9591
"page-blocks",3,"dropToValue",512,0.1,"cone",0,1,0.9636,0.962
"page-blocks",3,"dropToValue",512,0.01,"rect",0,1,0.963,0.9613
"page-blocks",3,"dropToValue",256,0.01,"cone",0.05,1,0.9628,0.9605
"page-blocks",3,"dropToValue",256,0.1,"rect",0.05,1,0.9628,0.9649
"page-blocks",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9619,0.9605
"page-blocks",3,"dropToValue",1024,0.01,"rect",0.05,1,0.9619,0.9576
"page-blocks",3,"dropToValue",512,0.01,"rect",0.05,1,0.9618,0.962
"page-blocks",16,"dropToValue",1024,0.01,"cone",0.05,1,0.9615,0.9415
"page-blocks",3,"dropToValue",256,0.01,"rect",0.05,1,0.9581,0.9583
"page-blocks",16,"dropToValue",512,0.1,"cone",0.05,1,0.9578,0.9357
"page-blocks",32,"dropToValue",256,0.1,"rect",0.05,1,0.9572,0.9488
"page-blocks",32,"dropToValue",256,0.01,"cone",0,1,0.9546,0.9327
"page-blocks",16,"dropToValue",256,0.1,"cone",0.05,1,0.9534,0.9349
"page-blocks",16,"dropToValue",512,0.01,"cone",0.05,1,0.9466,0.932
"page-blocks",32,"dropToValue",256,0.01,"rect",0.05,1,0.9449,0.9408
"page-blocks",16,"dropToValue",256,0.01,"cone",0.05,1,0.9432,0.9298
"page-blocks",32,"dropToValue",1024,0.1,"cone",0,1,0.9224,0.9269
"page-blocks",32,"dropToValue",256,0.1,"cone",0.05,1,0.9163,0.8984
"page-blocks",32,"dropToValue",1024,0.1,"cone",0.05,1,0.9129,0.8984
"page-blocks",32,"dropToValue",1024,1,"cone",0.05,1,0.9114,0.8984
"page-blocks",32,"dropToValue",256,0.01,"cone",0.05,1,0.9111,0.8984
"page-blocks",32,"dropToValue",512,0.01,"cone",0.05,1,0.9111,0.8984
"page-blocks",32,"dropToValue",1024,0.01,"cone",0.05,1,0.9111,0.8984
"page-blocks",32,"dropToValue",512,0.1,"cone",0.05,1,0.9111,0.8984
"page-blocks",32,"dropToValue",256,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",32,"dropToValue",512,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",32,"dropToValue",1024,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",32,"dropToValue",256,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",32,"dropToValue",512,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",32,"dropToValue",256,1,"cone",0,1,0.9111,0.8984
"page-blocks",32,"dropToValue",512,1,"cone",0,1,0.9111,0.8984
"page-blocks",32,"dropToValue",1024,1,"cone",0,1,0.9111,0.8984
"page-blocks",32,"dropToValue",256,1,"rect",0,1,0.9111,0.8984
"page-blocks",32,"dropToValue",512,1,"rect",0,1,0.9111,0.8984
"page-blocks",32,"dropToValue",1024,1,"rect",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",256,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",512,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",1024,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",256,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",16,"dropToValue",512,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",16,"dropToValue",1024,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",16,"dropToValue",512,1,"cone",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",1024,1,"cone",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",256,1,"rect",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",512,1,"rect",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",1024,1,"rect",0,1,0.9111,0.8984
"page-blocks",8,"dropToValue",256,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",8,"dropToValue",512,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",8,"dropToValue",1024,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",8,"dropToValue",256,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",8,"dropToValue",512,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",8,"dropToValue",1024,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",8,"dropToValue",256,1,"cone",0,1,0.9111,0.8984
"page-blocks",8,"dropToValue",512,1,"cone",0,1,0.9111,0.8984
"page-blocks",8,"dropToValue",1024,1,"cone",0,1,0.9111,0.8984
"page-blocks",8,"dropToValue",256,1,"rect",0,1,0.9111,0.8984
"page-blocks",8,"dropToValue",512,1,"rect",0,1,0.9111,0.8984
"page-blocks",8,"dropToValue",1024,1,"rect",0,1,0.9111,0.8984
"page-blocks",4,"dropToValue",1024,0.1,"rect",0,1,0.9111,0.8984
"page-blocks",4,"dropToValue",256,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",4,"dropToValue",512,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",4,"dropToValue",1024,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",4,"dropToValue",256,1,"cone",0,1,0.9111,0.8984
"page-blocks",4,"dropToValue",512,1,"cone",0,1,0.9111,0.8984
"page-blocks",4,"dropToValue",1024,1,"cone",0,1,0.9111,0.8984
"page-blocks",4,"dropToValue",256,1,"rect",0,1,0.9111,0.8984
"page-blocks",4,"dropToValue",512,1,"rect",0,1,0.9111,0.8984
"page-blocks",4,"dropToValue",1024,1,"rect",0,1,0.9111,0.8984
"page-blocks",2,"dropToValue",256,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",2,"dropToValue",512,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",2,"dropToValue",1024,1,"cone",0.05,1,0.9111,0.8984
"page-blocks",2,"dropToValue",512,1,"cone",0,1,0.9111,0.8984
"page-blocks",2,"dropToValue",1024,1,"cone",0,1,0.9111,0.8984
"page-blocks",2,"dropToValue",256,1,"rect",0,1,0.9111,0.8984
"page-blocks",2,"dropToValue",512,1,"rect",0,1,0.9111,0.8984
"page-blocks",2,"dropToValue",1024,1,"rect",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",256,1,"cone",0,1,0.9111,0.8984
"page-blocks",16,"dropToValue",1024,1,"rect",0.05,1,0.9039,0.8984
"page-blocks",8,"dropToValue",256,1,"rect",0.05,1,0.9039,0.8984
"page-blocks",4,"dropToValue",512,1,"rect",0.05,1,0.9039,0.8984
"page-blocks",32,"dropToValue",1024,0.1,"rect",0.05,1,0.9039,0.8984
