"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"parkinsons",3,"dropToValue",256,0.1,"rect",0,1,0.9536,0.898
"parkinsons",3,"dropToValue",256,0.01,"rect",0,1,0.9464,0.8776
"parkinsons",16,"dropToValue",512,0.01,"cone",0,1,0.9344,0.8571
"parkinsons",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9281,0.8571
"parkinsons",16,"dropToValue",1024,0.1,"cone",0,1,0.925,0.8163
"parkinsons",4,"dropToValue",256,0.1,"rect",0.05,1,0.9231,0.898
"parkinsons",2,"dropToValue",1024,0.1,"rect",0.05,1,0.9231,0.8776
"parkinsons",16,"dropToValue",1024,0.01,"rect",0,1,0.9188,0.8776
"parkinsons",3,"dropToValue",512,0.01,"cone",0.05,1,0.9179,0.8571
"parkinsons",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9156,0.8571
"parkinsons",3,"dropToValue",512,0.01,"cone",0,1,0.9143,0.8367
"parkinsons",2,"dropToValue",256,0.1,"rect",0.05,1,0.9115,0.8776
"parkinsons",32,"dropToValue",512,0.01,"rect",0,1,0.9094,0.8776
"parkinsons",3,"dropToValue",512,0.1,"cone",0,1,0.9071,0.898
"parkinsons",8,"dropToValue",512,0.1,"cone",0,1,0.9062,0.898
"parkinsons",4,"dropToValue",512,0.1,"cone",0,1,0.9062,0.8571
"parkinsons",4,"dropToValue",256,0.01,"rect",0.05,1,0.9038,0.898
"parkinsons",2,"dropToValue",512,0.1,"rect",0.05,1,0.9038,0.8776
"parkinsons",3,"dropToValue",256,0.1,"rect",0.05,1,0.9036,0.8571
"parkinsons",8,"dropToValue",512,0.1,"cone",0.05,1,0.9031,0.8367
"parkinsons",32,"dropToValue",512,0.01,"rect",0.05,1,0.9,0.8776
"parkinsons",8,"dropToValue",256,0.01,"rect",0.05,1,0.9,0.8571
"parkinsons",3,"dropToValue",512,0.1,"rect",0.05,1,0.9,0.8163
"parkinsons",3,"dropToValue",1024,0.01,"cone",0,1,0.8964,0.8776
"parkinsons",3,"dropToValue",256,0.1,"cone",0,1,0.8964,0.8776
"parkinsons",2,"dropToValue",256,0.01,"rect",0.05,1,0.8962,0.8776
"parkinsons",8,"dropToValue",512,0.01,"rect",0,1,0.8938,0.898
"parkinsons",2,"dropToValue",1024,0.1,"cone",0,1,0.8938,0.8776
"parkinsons",8,"dropToValue",512,0.01,"rect",0.05,1,0.8923,0.898
"parkinsons",3,"dropToValue",512,0.1,"cone",0.05,1,0.8893,0.8571
"parkinsons",3,"dropToValue",1024,0.01,"rect",0.05,1,0.8893,0.8776
"parkinsons",3,"dropToValue",512,0.1,"rect",0,1,0.8893,0.8776
"parkinsons",3,"dropToValue",1024,0.01,"rect",0,1,0.8893,0.8571
"parkinsons",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8857,0.8776
"parkinsons",8,"dropToValue",1024,0.01,"rect",0.05,1,0.8846,0.8776
"parkinsons",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8846,0.898
"parkinsons",2,"dropToValue",1024,0.01,"rect",0.05,1,0.8846,0.8776
"parkinsons",2,"dropToValue",512,0.01,"rect",0.05,1,0.8846,0.7959
"parkinsons",4,"dropToValue",512,0.1,"cone",0.05,1,0.8844,0.8776
"parkinsons",3,"dropToValue",512,0.01,"rect",0.05,1,0.8821,0.8776
"parkinsons",8,"dropToValue",256,0.01,"rect",0,1,0.8812,0.898
"parkinsons",4,"dropToValue",512,0.01,"rect",0.05,1,0.8808,0.8571
"parkinsons",16,"dropToValue",256,0.01,"rect",0.05,1,0.8808,0.9184
"parkinsons",32,"dropToValue",1024,0.01,"rect",0.05,1,0.8808,0.898
"parkinsons",8,"dropToValue",1024,0.01,"rect",0,1,0.8781,0.898
"parkinsons",2,"dropToValue",512,0.1,"cone",0.05,1,0.8781,0.8571
"parkinsons",2,"dropToValue",1024,0.1,"cone",0.05,1,0.8781,0.8776
"parkinsons",32,"dropToValue",512,0.01,"cone",0,1,0.875,0.898
"parkinsons",16,"dropToValue",1024,0.01,"cone",0,1,0.875,0.8571
"parkinsons",16,"dropToValue",256,0.1,"cone",0,1,0.875,0.8571
"parkinsons",8,"dropToValue",256,0.1,"cone",0.05,1,0.875,0.8367
"parkinsons",8,"dropToValue",1024,0.1,"cone",0,1,0.875,0.8776
"parkinsons",4,"dropToValue",256,0.1,"rect",0,1,0.875,0.8571
"parkinsons",2,"dropToValue",512,0.1,"rect",0,1,0.875,0.8367
"parkinsons",2,"dropToValue",1024,0.1,"rect",0,1,0.875,0.8367
"parkinsons",4,"dropToValue",1024,0.01,"rect",0,1,0.8719,0.8163
"parkinsons",8,"dropToValue",512,0.01,"cone",0,1,0.8688,0.8367
"parkinsons",3,"dropToValue",1024,0.1,"cone",0,1,0.8679,0.8571
"parkinsons",32,"dropToValue",256,0.01,"cone",0,1,0.8656,0.7755
"parkinsons",2,"dropToValue",256,0.1,"cone",0.05,1,0.8656,0.898
"parkinsons",3,"dropToValue",512,0.01,"rect",0,1,0.8643,0.8571
"parkinsons",3,"dropToValue",1024,0.1,"rect",0.05,1,0.8643,0.8776
"parkinsons",16,"dropToValue",256,0.01,"cone",0,1,0.8594,0.7959
"parkinsons",16,"dropToValue",1024,0.01,"rect",0.05,1,0.8577,0.8571
"parkinsons",16,"dropToValue",512,0.1,"cone",0,1,0.8562,0.7755
"parkinsons",8,"dropToValue",1024,0.01,"cone",0,1,0.8562,0.898
"parkinsons",4,"dropToValue",1024,0.1,"cone",0,1,0.8562,0.8367
"parkinsons",16,"dropToValue",512,0.01,"rect",0.05,1,0.8538,0.8776
"parkinsons",16,"dropToValue",256,0.01,"rect",0,1,0.8531,0.8776
"parkinsons",8,"dropToValue",256,0.1,"cone",0,1,0.8531,0.8776
"parkinsons",2,"dropToValue",256,0.1,"cone",0,1,0.8531,0.898
"parkinsons",16,"dropToValue",1024,0.1,"cone",0.05,1,0.85,0.8367
"parkinsons",16,"dropToValue",512,0.01,"rect",0,1,0.8469,0.8367
"parkinsons",2,"dropToValue",512,0.01,"rect",0,1,0.8469,0.8571
"parkinsons",4,"dropToValue",1024,0.01,"cone",0,1,0.8438,0.8571
"parkinsons",4,"dropToValue",512,0.01,"cone",0,1,0.8438,0.8776
"parkinsons",4,"dropToValue",512,0.01,"rect",0,1,0.8438,0.8367
"parkinsons",4,"dropToValue",256,0.1,"cone",0.05,1,0.8438,0.898
"parkinsons",2,"dropToValue",256,0.01,"cone",0.05,1,0.8438,0.8776
"parkinsons",2,"dropToValue",512,0.01,"cone",0.05,1,0.8406,0.8776
"parkinsons",8,"dropToValue",256,0.01,"cone",0,1,0.8375,0.8571
"parkinsons",4,"dropToValue",1024,0.01,"cone",0.05,1,0.8375,0.8776
"parkinsons",2,"dropToValue",1024,0.01,"rect",0,1,0.8344,0.898
"parkinsons",2,"dropToValue",512,0.01,"cone",0,1,0.8344,0.8776
"parkinsons",2,"dropToValue",256,0.1,"rect",0,1,0.8344,0.898
"parkinsons",3,"dropToValue",256,0.01,"cone",0,1,0.8321,0.8776
"parkinsons",4,"dropToValue",256,0.1,"cone",0,1,0.8312,0.8367
"parkinsons",2,"dropToValue",256,0.01,"cone",0,1,0.8312,0.8776
"parkinsons",3,"dropToValue",256,0.1,"cone",0.05,1,0.8286,0.898
"parkinsons",2,"dropToValue",1024,0.01,"cone",0.05,1,0.8281,0.898
"parkinsons",32,"dropToValue",1024,0.01,"cone",0,1,0.825,0.9184
"parkinsons",4,"dropToValue",256,0.01,"rect",0,1,0.825,0.8571
"parkinsons",16,"dropToValue",512,0.01,"cone",0.05,1,0.8188,0.8776
"parkinsons",16,"dropToValue",256,0.1,"cone",0.05,1,0.8188,0.8163
"parkinsons",2,"dropToValue",1024,0.01,"cone",0,1,0.8188,0.898
"parkinsons",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8179,0.898
"parkinsons",32,"dropToValue",256,0.01,"rect",0,1,0.8156,0.8776
"parkinsons",8,"dropToValue",512,0.01,"cone",0.05,1,0.8156,0.8163
"parkinsons",8,"dropToValue",256,0.01,"cone",0.05,1,0.8125,0.8776
"parkinsons",4,"dropToValue",256,0.01,"cone",0.05,1,0.8125,0.898
"parkinsons",4,"dropToValue",256,0.01,"cone",0,1,0.8125,0.898
"parkinsons",2,"dropToValue",256,0.01,"rect",0,1,0.8125,0.8776
"parkinsons",2,"dropToValue",512,0.1,"cone",0,1,0.8125,0.898
"parkinsons",32,"dropToValue",256,0.01,"rect",0.05,1,0.8077,0.6735
"parkinsons",8,"dropToValue",1024,0.01,"cone",0.05,1,0.8062,0.8776
"parkinsons",3,"dropToValue",256,0.01,"rect",0.05,1,0.8,0.8571
"parkinsons",3,"dropToValue",256,0.01,"cone",0.05,1,0.7964,0.8776
"parkinsons",4,"dropToValue",512,0.01,"cone",0.05,1,0.7844,0.8571
"parkinsons",16,"dropToValue",1024,0.01,"cone",0.05,1,0.7688,0.8163
"parkinsons",16,"dropToValue",512,0.1,"cone",0.05,1,0.7688,0.7959
"parkinsons",16,"dropToValue",256,0.01,"cone",0.05,1,0.7656,0.7347
"parkinsons",32,"dropToValue",512,0.01,"cone",0.05,1,0.75,0.7755
"parkinsons",32,"dropToValue",1024,0.01,"cone",0.05,1,0.7406,0.8163
"parkinsons",32,"dropToValue",1024,0.01,"rect",0,1,0.7281,0.7755
"parkinsons",32,"dropToValue",1024,0.1,"cone",0,1,0.7188,0.7551
"parkinsons",32,"dropToValue",256,0.1,"cone",0,1,0.7062,0.7551
"parkinsons",32,"dropToValue",1024,0.1,"cone",0.05,1,0.7,0.7551
"parkinsons",32,"dropToValue",256,1,"cone",0,1,0.7,0.7551
"parkinsons",16,"dropToValue",256,1,"cone",0.05,1,0.6938,0.7551
"parkinsons",16,"dropToValue",512,1,"cone",0.05,1,0.6938,0.7551
"parkinsons",32,"dropToValue",512,0.1,"cone",0.05,1,0.6906,0.7551
"parkinsons",32,"dropToValue",256,0.01,"cone",0.05,1,0.6875,0.7551
"parkinsons",32,"dropToValue",256,0.1,"cone",0.05,1,0.6875,0.7551
"parkinsons",32,"dropToValue",512,0.1,"cone",0,1,0.6875,0.7551
"parkinsons",32,"dropToValue",256,1,"cone",0.05,1,0.6875,0.7551
"parkinsons",32,"dropToValue",512,1,"cone",0.05,1,0.6875,0.7551
"parkinsons",32,"dropToValue",1024,1,"cone",0.05,1,0.6875,0.7551
"parkinsons",32,"dropToValue",512,1,"cone",0,1,0.6875,0.7551
"parkinsons",16,"dropToValue",512,1,"cone",0,1,0.6875,0.7551
"parkinsons",8,"dropToValue",512,1,"cone",0,1,0.6875,0.7551
"parkinsons",4,"dropToValue",512,1,"cone",0.05,1,0.6875,0.7551
"parkinsons",4,"dropToValue",1024,1,"cone",0.05,1,0.6875,0.7551
"parkinsons",2,"dropToValue",512,1,"rect",0,1,0.6875,0.7551
"parkinsons",4,"dropToValue",256,1,"cone",0,1,0.6531,0.7551
"parkinsons",8,"dropToValue",1024,1,"cone",0,1,0.65,0.7551
"parkinsons",16,"dropToValue",1024,1,"cone",0,1,0.6281,0.7551
"parkinsons",2,"dropToValue",512,1,"cone",0.05,1,0.5125,0.7551
"parkinsons",8,"dropToValue",256,1,"cone",0.05,1,0.4469,0.2449
"parkinsons",4,"dropToValue",512,0.1,"rect",0.05,1,0.3885,0.2449
"parkinsons",2,"dropToValue",1024,1,"cone",0.05,1,0.3875,0.2449
"parkinsons",8,"dropToValue",512,1,"cone",0.05,1,0.35,0.2449
"parkinsons",4,"dropToValue",512,0.1,"rect",0,1,0.35,0.2449
"parkinsons",4,"dropToValue",1024,0.1,"rect",0,1,0.35,0.2449
"parkinsons",4,"dropToValue",512,1,"cone",0,1,0.35,0.2449
"parkinsons",2,"dropToValue",512,1,"cone",0,1,0.35,0.2449
"parkinsons",2,"dropToValue",256,1,"rect",0,1,0.35,0.2449
"parkinsons",2,"dropToValue",1024,1,"rect",0,1,0.35,0.2449
"parkinsons",2,"dropToValue",256,1,"cone",0,1,0.3469,0.2449
"parkinsons",8,"dropToValue",512,0.1,"rect",0.05,1,0.3462,0.2449
"parkinsons",4,"dropToValue",1024,0.1,"rect",0.05,1,0.3462,0.2449
"parkinsons",2,"dropToValue",256,1,"rect",0.05,1,0.3462,0.2449
"parkinsons",2,"dropToValue",512,1,"rect",0.05,1,0.3462,0.2449
"parkinsons",2,"dropToValue",1024,1,"rect",0.05,1,0.3462,0.2449
"parkinsons",8,"dropToValue",256,0.1,"rect",0,1,0.3438,0.2449
"parkinsons",2,"dropToValue",256,1,"cone",0.05,1,0.3375,0.2449
"parkinsons",8,"dropToValue",256,0.1,"rect",0.05,1,0.3231,0.2449
"parkinsons",3,"dropToValue",256,1,"cone",0,1,0.3143,0.2449
"parkinsons",32,"dropToValue",256,0.1,"rect",0,1,0.3125,0.2449
"parkinsons",32,"dropToValue",512,0.1,"rect",0,1,0.3125,0.2449
"parkinsons",32,"dropToValue",1024,0.1,"rect",0,1,0.3125,0.2449
"parkinsons",32,"dropToValue",1024,1,"cone",0,1,0.3125,0.2449
"parkinsons",32,"dropToValue",256,1,"rect",0,1,0.3125,0.2449
"parkinsons",32,"dropToValue",512,1,"rect",0,1,0.3125,0.2449
"parkinsons",32,"dropToValue",1024,1,"rect",0,1,0.3125,0.2449
"parkinsons",16,"dropToValue",256,0.1,"rect",0,1,0.3125,0.2449
"parkinsons",16,"dropToValue",512,0.1,"rect",0,1,0.3125,0.2449
"parkinsons",16,"dropToValue",1024,0.1,"rect",0,1,0.3125,0.2449
"parkinsons",16,"dropToValue",1024,1,"cone",0.05,1,0.3125,0.2449
"parkinsons",16,"dropToValue",256,1,"cone",0,1,0.3125,0.2449
"parkinsons",16,"dropToValue",256,1,"rect",0,1,0.3125,0.2449
"parkinsons",16,"dropToValue",512,1,"rect",0,1,0.3125,0.2449
"parkinsons",16,"dropToValue",1024,1,"rect",0,1,0.3125,0.2449
