"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"pendigits",4,"dropToValue",256,0.1,"rect",0.05,1,0.9961,0.9706
"pendigits",32,"dropToValue",256,0.01,"rect",0,1,0.9961,0.9657
"pendigits",8,"dropToValue",512,0.01,"cone",0,1,0.996,0.9674
"pendigits",16,"dropToValue",1024,0.01,"rect",0,1,0.996,0.9726
"pendigits",8,"dropToValue",1024,0.01,"rect",0,1,0.9959,0.9711
"pendigits",2,"dropToValue",1024,0.1,"rect",0.05,1,0.9957,0.9683
"pendigits",4,"dropToValue",1024,0.1,"cone",0,1,0.9957,0.97
"pendigits",16,"dropToValue",1024,0.01,"cone",0,1,0.9957,0.972
"pendigits",4,"dropToValue",512,0.01,"cone",0,1,0.9956,0.9694
"pendigits",16,"dropToValue",256,0.1,"rect",0.05,1,0.9956,0.9757
"pendigits",4,"dropToValue",256,0.1,"cone",0,1,0.9955,0.9706
"pendigits",4,"dropToValue",256,0.1,"rect",0,1,0.9955,0.9697
"pendigits",8,"dropToValue",256,0.01,"rect",0,1,0.9953,0.97
"pendigits",16,"dropToValue",512,0.01,"cone",0,1,0.9953,0.9683
"pendigits",4,"dropToValue",256,0.1,"cone",0.05,1,0.995,0.9686
"pendigits",2,"dropToValue",512,0.1,"rect",0.05,1,0.995,0.9663
"pendigits",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9949,0.9748
"pendigits",8,"dropToValue",1024,0.01,"cone",0,1,0.9949,0.9708
"pendigits",4,"dropToValue",1024,0.01,"rect",0,1,0.9949,0.968
"pendigits",16,"dropToValue",1024,0.1,"cone",0,1,0.9949,0.97
"pendigits",8,"dropToValue",512,0.1,"rect",0.05,1,0.9948,0.9737
"pendigits",4,"dropToValue",1024,0.1,"rect",0.05,1,0.9948,0.9697
"pendigits",2,"dropToValue",512,0.1,"rect",0,1,0.9948,0.9654
"pendigits",16,"dropToValue",512,0.01,"rect",0,1,0.9947,0.9688
"pendigits",32,"dropToValue",1024,0.01,"rect",0,1,0.9947,0.966
"pendigits",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9946,0.9746
"pendigits",2,"dropToValue",512,0.1,"cone",0.05,1,0.9946,0.9668
"pendigits",8,"dropToValue",256,0.1,"cone",0,1,0.9945,0.9683
"pendigits",4,"dropToValue",512,0.1,"rect",0.05,1,0.9945,0.9717
"pendigits",2,"dropToValue",256,0.1,"rect",0.05,1,0.9945,0.9683
"pendigits",2,"dropToValue",1024,0.1,"rect",0,1,0.9944,0.9683
"pendigits",32,"dropToValue",1024,0.01,"cone",0,1,0.9944,0.9703
"pendigits",4,"dropToValue",512,0.1,"rect",0,1,0.9941,0.964
"pendigits",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9941,0.9674
"pendigits",32,"dropToValue",512,0.01,"rect",0,1,0.9941,0.9728
"pendigits",4,"dropToValue",512,0.1,"cone",0.05,1,0.9941,0.9726
"pendigits",2,"dropToValue",256,0.1,"rect",0,1,0.9941,0.966
"pendigits",16,"dropToValue",256,0.01,"rect",0,1,0.9941,0.9717
"pendigits",8,"dropToValue",512,0.01,"rect",0,1,0.994,0.9694
"pendigits",8,"dropToValue",256,0.1,"rect",0.05,1,0.9939,0.9674
"pendigits",16,"dropToValue",1024,0.1,"cone",0.05,1,0.9939,0.9628
"pendigits",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9939,0.9688
"pendigits",4,"dropToValue",1024,0.1,"rect",0,1,0.9939,0.9643
"pendigits",4,"dropToValue",512,0.01,"rect",0.05,1,0.9938,0.9651
"pendigits",8,"dropToValue",256,0.01,"rect",0.05,1,0.9938,0.9683
"pendigits",8,"dropToValue",256,0.1,"cone",0.05,1,0.9938,0.9717
"pendigits",2,"dropToValue",256,0.1,"cone",0.05,1,0.9937,0.9691
"pendigits",3,"dropToValue",512,0.1,"cone",0.05,1,0.9937,0.9683
"pendigits",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9935,0.9728
"pendigits",16,"dropToValue",512,0.1,"cone",0,1,0.9934,0.9654
"pendigits",2,"dropToValue",1024,0.01,"rect",0,1,0.9933,0.9663
"pendigits",8,"dropToValue",1024,0.1,"cone",0,1,0.9932,0.9706
"pendigits",4,"dropToValue",1024,0.01,"cone",0,1,0.9932,0.9671
