"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"pima",4,"dropToValue",1024,0.01,"cone",0,1,0.81282057762146,0.755208373069763
"pima",32,"dropToValue",512,0.01,"rect",0.05,1,0.802564191818237,0.734375059604645
"pima",4,"dropToValue",1024,0.01,"cone",0.05,1,0.802564179897308,0.734375059604645
"pima",2,"dropToValue",256,0.1,"cone",0.05,1,0.801709461212158,0.739583373069763
"pima",3,"dropToValue",1024,0.01,"cone",0,1,0.801020383834839,0.739583373069763
"pima",2,"dropToValue",1024,0.01,"rect",0,1,0.800000071525574,0.755208373069763
"pima",3,"dropToValue",512,0.01,"rect",0.05,1,0.799999976158142,0.755208313465118
"pima",32,"dropToValue",1024,0.01,"rect",0.05,1,0.79829066991806,0.744791746139526
"pima",4,"dropToValue",512,0.1,"cone",0.05,1,0.798290646076202,0.744791686534882
"pima",8,"dropToValue",256,0.1,"cone",0.05,1,0.797435963153839,0.739583373069763
"pima",16,"dropToValue",256,0.1,"rect",0.05,1,0.796581280231476,0.755208373069763
"pima",3,"dropToValue",256,0.01,"cone",0,1,0.795918345451355,0.734375
"pima",16,"dropToValue",1024,0.1,"cone",0.05,1,0.795726561546326,0.723958373069763
"pima",2,"dropToValue",512,0.1,"cone",0,1,0.794871878623962,0.770833373069763
"pima",4,"dropToValue",256,0.01,"rect",0,1,0.793162477016449,0.755208373069763
"pima",4,"dropToValue",512,0.01,"rect",0.05,1,0.793162453174591,0.744791746139526
"pima",4,"dropToValue",256,0.01,"cone",0,1,0.793162453174591,0.739583373069763
"pima",3,"dropToValue",512,0.01,"cone",0.05,1,0.792857122421265,0.734375
"pima",2,"dropToValue",512,0.01,"cone",0.05,1,0.792307806015015,0.734375
"pima",4,"dropToValue",1024,0.1,"cone",0.05,1,0.79230774641037,0.739583373069763
"pima",8,"dropToValue",1024,0.1,"cone",0.05,1,0.792307734489441,0.765625
"pima",4,"dropToValue",1024,0.01,"rect",0.05,1,0.791453063488007,0.755208373069763
"pima",2,"dropToValue",256,0.1,"rect",0.05,1,0.791453051567078,0.718750059604645
"pima",16,"dropToValue",512,0.01,"rect",0.05,1,0.79145302772522,0.755208373069763
"pima",8,"dropToValue",1024,0.01,"rect",0.05,1,0.790598368644714,0.750000059604645
"pima",4,"dropToValue",1024,0.1,"cone",0,1,0.790598368644714,0.75
"pima",16,"dropToValue",1024,0.01,"rect",0.05,1,0.790598344802857,0.760416686534882
"pima",4,"dropToValue",512,0.01,"rect",0,1,0.790598344802857,0.750000059604645
"pima",2,"dropToValue",1024,0.01,"rect",0.05,1,0.790598344802857,0.755208373069763
"pima",3,"dropToValue",1024,0.01,"cone",0.05,1,0.789795899391174,0.734375
"pima",2,"dropToValue",1024,0.1,"cone",0.05,1,0.789743649959564,0.729166686534882
