"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"pittsburg-bridges-MATERIAL",32,"dropToValue",1024,0.01,"cone",0,1,0.84,0.8846
"pittsburg-bridges-MATERIAL",16,"dropToValue",512,0.01,"cone",0,1,0.82,0.8462
"pittsburg-bridges-MATERIAL",3,"dropToValue",512,0.1,"cone",0,1,0.8,0.9231
"pittsburg-bridges-MATERIAL",32,"dropToValue",512,0.01,"cone",0,1,0.8,0.9231
"pittsburg-bridges-MATERIAL",8,"dropToValue",256,0.01,"rect",0.05,1,0.7933,0.8462
"pittsburg-bridges-MATERIAL",4,"dropToValue",512,0.01,"rect",0.05,1,0.7933,0.8846
"pittsburg-bridges-MATERIAL",2,"dropToValue",1024,0.01,"rect",0.05,1,0.7933,0.8846
"pittsburg-bridges-MATERIAL",8,"dropToValue",1024,0.01,"rect",0.05,1,0.7933,0.8846
"pittsburg-bridges-MATERIAL",8,"dropToValue",1024,0.1,"cone",0.05,1,0.79,0.8462
"pittsburg-bridges-MATERIAL",32,"dropToValue",512,0.01,"rect",0.05,1,0.7867,0.8462
"pittsburg-bridges-MATERIAL",4,"dropToValue",1024,0.01,"rect",0.05,1,0.7867,0.8846
"pittsburg-bridges-MATERIAL",16,"dropToValue",512,0.01,"rect",0.05,1,0.7867,0.8846
"pittsburg-bridges-MATERIAL",8,"dropToValue",256,0.1,"cone",0,1,0.785,0.8846
"pittsburg-bridges-MATERIAL",16,"dropToValue",256,0.01,"rect",0.05,1,0.78,0.9615
"pittsburg-bridges-MATERIAL",8,"dropToValue",512,0.01,"rect",0.05,1,0.78,0.8462
"pittsburg-bridges-MATERIAL",2,"dropToValue",512,0.01,"rect",0.05,1,0.78,0.8846
"pittsburg-bridges-MATERIAL",2,"dropToValue",1024,0.1,"rect",0.05,1,0.78,0.8846
"pittsburg-bridges-MATERIAL",32,"dropToValue",1024,0.01,"cone",0.05,1,0.78,0.8462
"pittsburg-bridges-MATERIAL",16,"dropToValue",1024,0.01,"rect",0,1,0.78,0.7692
"pittsburg-bridges-MATERIAL",4,"dropToValue",512,0.1,"cone",0,1,0.775,0.9231
"pittsburg-bridges-MATERIAL",4,"dropToValue",256,0.01,"rect",0.05,1,0.7733,0.8462
"pittsburg-bridges-MATERIAL",32,"dropToValue",1024,0.01,"rect",0.05,1,0.7733,0.8846
"pittsburg-bridges-MATERIAL",8,"dropToValue",1024,0.01,"cone",0,1,0.77,0.8846
"pittsburg-bridges-MATERIAL",8,"dropToValue",1024,0.1,"cone",0,1,0.765,0.9231
"pittsburg-bridges-MATERIAL",4,"dropToValue",256,0.1,"rect",0.05,1,0.76,0.8077
"pittsburg-bridges-MATERIAL",16,"dropToValue",1024,0.1,"cone",0.05,1,0.76,0.9231
"pittsburg-bridges-MATERIAL",4,"dropToValue",256,0.1,"cone",0,1,0.76,0.8846
"pittsburg-bridges-MATERIAL",16,"dropToValue",1024,0.01,"cone",0,1,0.76,0.8846
"pittsburg-bridges-MATERIAL",2,"dropToValue",512,0.1,"cone",0,1,0.76,0.7308
