"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"pittsburg-bridges-REL-L",8,"dropToValue",512,0.1,"cone",0,1,0.8846,0.6923
"pittsburg-bridges-REL-L",8,"dropToValue",256,0.1,"cone",0,1,0.8,0.7692
"pittsburg-bridges-REL-L",16,"dropToValue",1024,0.01,"cone",0,1,0.7692,0.7692
"pittsburg-bridges-REL-L",8,"dropToValue",1024,0.01,"cone",0.05,1,0.7692,0.7692
"pittsburg-bridges-REL-L",2,"dropToValue",256,0.01,"cone",0.05,1,0.7692,0.6538
"pittsburg-bridges-REL-L",4,"dropToValue",1024,0.1,"cone",0.05,1,0.7615,0.7308
"pittsburg-bridges-REL-L",4,"dropToValue",256,0.1,"rect",0,1,0.7615,0.7308
"pittsburg-bridges-REL-L",2,"dropToValue",1024,0.01,"cone",0.05,1,0.7538,0.7308
"pittsburg-bridges-REL-L",16,"dropToValue",512,0.01,"rect",0,1,0.7462,0.6923
"pittsburg-bridges-REL-L",4,"dropToValue",512,0.01,"rect",0,1,0.7462,0.7308
"pittsburg-bridges-REL-L",4,"dropToValue",256,0.01,"rect",0,1,0.7385,0.7308
"pittsburg-bridges-REL-L",4,"dropToValue",512,0.01,"cone",0,1,0.7385,0.7692
"pittsburg-bridges-REL-L",32,"dropToValue",256,0.01,"rect",0,1,0.7308,0.8077
"pittsburg-bridges-REL-L",8,"dropToValue",1024,0.1,"cone",0,1,0.7308,0.7692
"pittsburg-bridges-REL-L",4,"dropToValue",256,0.01,"cone",0.05,1,0.7308,0.7692
"pittsburg-bridges-REL-L",8,"dropToValue",256,0.01,"rect",0,1,0.7231,0.7308
"pittsburg-bridges-REL-L",8,"dropToValue",512,0.01,"rect",0,1,0.7231,0.7692
"pittsburg-bridges-REL-L",2,"dropToValue",1024,0.01,"cone",0,1,0.7231,0.6538
"pittsburg-bridges-REL-L",8,"dropToValue",256,0.01,"rect",0.05,1,0.7231,0.7308
"pittsburg-bridges-REL-L",16,"dropToValue",512,0.01,"rect",0.05,1,0.7077,0.7692
"pittsburg-bridges-REL-L",2,"dropToValue",256,0.1,"cone",0.05,1,0.7077,0.6923
"pittsburg-bridges-REL-L",4,"dropToValue",1024,0.01,"rect",0,1,0.7,0.6538
"pittsburg-bridges-REL-L",8,"dropToValue",1024,0.01,"cone",0,1,0.7,0.7692
"pittsburg-bridges-REL-L",16,"dropToValue",1024,0.01,"rect",0,1,0.6923,0.6923
"pittsburg-bridges-REL-L",8,"dropToValue",1024,0.01,"rect",0,1,0.6923,0.7692
"pittsburg-bridges-REL-L",2,"dropToValue",256,0.01,"rect",0,1,0.6923,0.7308
"pittsburg-bridges-REL-L",2,"dropToValue",256,0.01,"cone",0,1,0.6923,0.6538
"pittsburg-bridges-REL-L",4,"dropToValue",256,0.1,"cone",0.05,1,0.6846,0.6923
"pittsburg-bridges-REL-L",2,"dropToValue",512,0.01,"rect",0.05,1,0.6846,0.7308
"pittsburg-bridges-REL-L",4,"dropToValue",256,0.1,"cone",0,1,0.6769,0.7692
"pittsburg-bridges-REL-L",4,"dropToValue",512,0.01,"cone",0.05,1,0.6769,0.7308
"pittsburg-bridges-REL-L",3,"dropToValue",1024,0.1,"cone",0,1,0.6714,0.8077
"pittsburg-bridges-REL-L",4,"dropToValue",512,0.1,"cone",0,1,0.6692,0.6923
"pittsburg-bridges-REL-L",2,"dropToValue",512,0.1,"cone",0.05,1,0.6692,0.7692
"pittsburg-bridges-REL-L",32,"dropToValue",1024,0.01,"rect",0,1,0.6692,0.7692
"pittsburg-bridges-REL-L",16,"dropToValue",256,0.01,"cone",0,1,0.6692,0.7308
"pittsburg-bridges-REL-L",4,"dropToValue",1024,0.1,"cone",0,1,0.6615,0.7692
"pittsburg-bridges-REL-L",8,"dropToValue",512,0.01,"cone",0,1,0.6615,0.8077
"pittsburg-bridges-REL-L",2,"dropToValue",512,0.1,"rect",0,1,0.6615,0.6538
"pittsburg-bridges-REL-L",2,"dropToValue",1024,0.1,"cone",0,1,0.6615,0.6923
"pittsburg-bridges-REL-L",2,"dropToValue",512,0.01,"cone",0,1,0.6615,0.7308
"pittsburg-bridges-REL-L",16,"dropToValue",512,0.01,"cone",0,1,0.6538,0.8077
"pittsburg-bridges-REL-L",16,"dropToValue",256,0.01,"rect",0,1,0.6462,0.7308
"pittsburg-bridges-REL-L",2,"dropToValue",1024,0.01,"rect",0.05,1,0.6462,0.6154
"pittsburg-bridges-REL-L",4,"dropToValue",1024,0.01,"rect",0.05,1,0.6462,0.8077
"pittsburg-bridges-REL-L",4,"dropToValue",512,0.1,"cone",0.05,1,0.6462,0.8462
"pittsburg-bridges-REL-L",4,"dropToValue",512,0.01,"rect",0.05,1,0.6462,0.7308
"pittsburg-bridges-REL-L",2,"dropToValue",256,0.01,"rect",0.05,1,0.6462,0.7308
"pittsburg-bridges-REL-L",2,"dropToValue",512,0.01,"rect",0,1,0.6462,0.6923
"pittsburg-bridges-REL-L",8,"dropToValue",1024,0.1,"cone",0.05,1,0.6385,0.5385
"pittsburg-bridges-REL-L",2,"dropToValue",1024,0.01,"rect",0,1,0.6385,0.7308
"pittsburg-bridges-REL-L",8,"dropToValue",256,0.1,"cone",0.05,1,0.6385,0.8077
"pittsburg-bridges-REL-L",8,"dropToValue",1024,0.01,"rect",0.05,1,0.6308,0.6538
"pittsburg-bridges-REL-L",4,"dropToValue",256,0.01,"rect",0.05,1,0.6308,0.7308
"pittsburg-bridges-REL-L",4,"dropToValue",256,0.01,"cone",0,1,0.6308,0.7308
"pittsburg-bridges-REL-L",16,"dropToValue",256,0.01,"rect",0.05,1,0.6308,0.7308
"pittsburg-bridges-REL-L",32,"dropToValue",512,0.01,"cone",0,1,0.6231,0.8077
"pittsburg-bridges-REL-L",2,"dropToValue",1024,0.1,"cone",0.05,1,0.6231,0.6923
"pittsburg-bridges-REL-L",2,"dropToValue",256,0.1,"rect",0.05,1,0.6231,0.7308
"pittsburg-bridges-REL-L",2,"dropToValue",256,0.1,"cone",0,1,0.6231,0.8462
"pittsburg-bridges-REL-L",4,"dropToValue",1024,0.01,"cone",0,1,0.6231,0.7692
"pittsburg-bridges-REL-L",3,"dropToValue",256,0.01,"rect",0,1,0.6214,0.6538
"pittsburg-bridges-REL-L",3,"dropToValue",256,0.01,"cone",0,1,0.6214,0.7308
"pittsburg-bridges-REL-L",16,"dropToValue",1024,0.01,"rect",0.05,1,0.6154,0.7692
"pittsburg-bridges-REL-L",8,"dropToValue",256,0.01,"cone",0,1,0.6154,0.7692
"pittsburg-bridges-REL-L",8,"dropToValue",256,0.01,"cone",0.05,1,0.6154,0.6154
"pittsburg-bridges-REL-L",2,"dropToValue",512,0.01,"cone",0.05,1,0.6154,0.7308
"pittsburg-bridges-REL-L",3,"dropToValue",256,0.01,"rect",0.05,1,0.6143,0.7308
"pittsburg-bridges-REL-L",3,"dropToValue",512,0.1,"cone",0.05,1,0.6143,0.7308
"pittsburg-bridges-REL-L",2,"dropToValue",512,0.1,"cone",0,1,0.6077,0.7692
"pittsburg-bridges-REL-L",2,"dropToValue",512,0.1,"rect",0.05,1,0.6077,0.8077
"pittsburg-bridges-REL-L",32,"dropToValue",512,0.01,"rect",0.05,1,0.6077,0.7692
"pittsburg-bridges-REL-L",3,"dropToValue",1024,0.01,"cone",0.05,1,0.6071,0.7308
"pittsburg-bridges-REL-L",3,"dropToValue",512,0.01,"rect",0.05,1,0.6071,0.7692
"pittsburg-bridges-REL-L",3,"dropToValue",1024,0.01,"cone",0,1,0.6,0.7308
"pittsburg-bridges-REL-L",2,"dropToValue",256,0.1,"rect",0,1,0.6,0.6923
"pittsburg-bridges-REL-L",8,"dropToValue",512,0.01,"rect",0.05,1,0.6,0.6923
"pittsburg-bridges-REL-L",4,"dropToValue",1024,0.01,"cone",0.05,1,0.6,0.7692
"pittsburg-bridges-REL-L",3,"dropToValue",1024,0.1,"cone",0.05,1,0.6,0.7692
"pittsburg-bridges-REL-L",3,"dropToValue",1024,0.01,"rect",0,1,0.5857,0.7308
"pittsburg-bridges-REL-L",32,"dropToValue",1024,0.01,"rect",0.05,1,0.5846,0.6923
"pittsburg-bridges-REL-L",3,"dropToValue",512,0.1,"rect",0.05,1,0.5786,0.6923
"pittsburg-bridges-REL-L",3,"dropToValue",512,0.01,"cone",0.05,1,0.5714,0.6923
"pittsburg-bridges-REL-L",32,"dropToValue",256,0.01,"cone",0,1,0.5692,0.8462
"pittsburg-bridges-REL-L",16,"dropToValue",256,0.1,"cone",0,1,0.5692,0.7308
"pittsburg-bridges-REL-L",2,"dropToValue",1024,0.1,"rect",0,1,0.5692,0.6923
"pittsburg-bridges-REL-L",3,"dropToValue",256,0.01,"cone",0.05,1,0.5643,0.6538
"pittsburg-bridges-REL-L",3,"dropToValue",512,0.01,"cone",0,1,0.5643,0.6154
"pittsburg-bridges-REL-L",8,"dropToValue",512,0.1,"cone",0.05,1,0.5615,0.8846
"pittsburg-bridges-REL-L",2,"dropToValue",1024,0.1,"rect",0.05,1,0.5615,0.7692
"pittsburg-bridges-REL-L",3,"dropToValue",512,0.01,"rect",0,1,0.5571,0.8077
"pittsburg-bridges-REL-L",3,"dropToValue",256,0.1,"rect",0,1,0.5571,0.7692
"pittsburg-bridges-REL-L",3,"dropToValue",256,0.1,"cone",0,1,0.5571,0.6923
"pittsburg-bridges-REL-L",8,"dropToValue",512,0.01,"cone",0.05,1,0.5538,0.7308
"pittsburg-bridges-REL-L",3,"dropToValue",256,0.1,"cone",0.05,1,0.55,0.6923
"pittsburg-bridges-REL-L",3,"dropToValue",1024,0.01,"rect",0.05,1,0.55,0.5769
"pittsburg-bridges-REL-L",16,"dropToValue",512,0.1,"cone",0,1,0.5462,0.8077
"pittsburg-bridges-REL-L",4,"dropToValue",256,0.1,"rect",0.05,1,0.5462,0.7692
"pittsburg-bridges-REL-L",3,"dropToValue",512,0.1,"cone",0,1,0.5429,0.8077
"pittsburg-bridges-REL-L",32,"dropToValue",512,0.01,"rect",0,1,0.5385,0.7308
"pittsburg-bridges-REL-L",32,"dropToValue",512,0.1,"cone",0.05,1,0.5385,0.7692
"pittsburg-bridges-REL-L",16,"dropToValue",512,0.01,"cone",0.05,1,0.5385,0.7692
"pittsburg-bridges-REL-L",16,"dropToValue",1024,0.01,"cone",0.05,1,0.5385,0.7692
"pittsburg-bridges-REL-L",32,"dropToValue",1024,0.01,"cone",0,1,0.5308,0.7692
"pittsburg-bridges-REL-L",3,"dropToValue",512,0.1,"rect",0,1,0.5286,0.6154
"pittsburg-bridges-REL-L",32,"dropToValue",256,0.01,"rect",0.05,1,0.5231,0.6923
"pittsburg-bridges-REL-L",16,"dropToValue",1024,0.1,"cone",0.05,1,0.5154,0.8462
"pittsburg-bridges-REL-L",3,"dropToValue",256,0.1,"rect",0.05,1,0.5143,0.5
"pittsburg-bridges-REL-L",16,"dropToValue",256,0.01,"cone",0.05,1,0.5,0.7308
"pittsburg-bridges-REL-L",16,"dropToValue",256,0.1,"cone",0.05,1,0.5,0.8077
"pittsburg-bridges-REL-L",32,"dropToValue",1024,0.1,"cone",0.05,1,0.4846,0.8077
"pittsburg-bridges-REL-L",16,"dropToValue",512,0.1,"cone",0.05,1,0.4769,0.6923
"pittsburg-bridges-REL-L",16,"dropToValue",1024,0.1,"cone",0,1,0.4769,0.6923
"pittsburg-bridges-REL-L",32,"dropToValue",256,0.1,"cone",0.05,1,0.4692,0.7692
"pittsburg-bridges-REL-L",32,"dropToValue",256,0.01,"cone",0.05,1,0.4615,0.6538
"pittsburg-bridges-REL-L",32,"dropToValue",512,0.01,"cone",0.05,1,0.4615,0.5769
"pittsburg-bridges-REL-L",32,"dropToValue",512,0.1,"cone",0,1,0.4615,0.5769
"pittsburg-bridges-REL-L",32,"dropToValue",1024,0.1,"cone",0,1,0.4615,0.7692
"pittsburg-bridges-REL-L",4,"dropToValue",1024,1,"cone",0,1,0.4615,0.5769
"pittsburg-bridges-REL-L",2,"dropToValue",256,1,"cone",0.05,1,0.4615,0.5385
"pittsburg-bridges-REL-L",2,"dropToValue",256,1,"cone",0,1,0.4615,0.5769
"pittsburg-bridges-REL-L",32,"dropToValue",1024,0.01,"cone",0.05,1,0.4538,0.7692
"pittsburg-bridges-REL-L",32,"dropToValue",256,1,"cone",0,1,0.4462,0.5769
"pittsburg-bridges-REL-L",32,"dropToValue",256,0.1,"cone",0,1,0.4308,0.5769
"pittsburg-bridges-REL-L",16,"dropToValue",1024,1,"cone",0,1,0.4231,0.5769
"pittsburg-bridges-REL-L",32,"dropToValue",512,1,"cone",0.05,1,0.4,0.5769
"pittsburg-bridges-REL-L",32,"dropToValue",512,1,"cone",0,1,0.4,0.5769
"pittsburg-bridges-REL-L",8,"dropToValue",256,1,"cone",0,1,0.3769,0.5769
"pittsburg-bridges-REL-L",3,"dropToValue",1024,0.1,"rect",0,1,0.3714,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",256,1,"cone",0.05,1,0.3714,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",512,1,"cone",0.05,1,0.3714,0.3077
"pittsburg-bridges-REL-L",8,"dropToValue",256,1,"cone",0.05,1,0.3692,0.5769
"pittsburg-bridges-REL-L",3,"dropToValue",1024,0.1,"rect",0.05,1,0.3643,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",256,1,"cone",0,1,0.3643,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",1024,1,"cone",0.05,1,0.3571,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",256,1,"rect",0.05,1,0.3571,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",512,1,"rect",0.05,1,0.3571,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",1024,1,"rect",0.05,1,0.3571,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",512,1,"cone",0,1,0.3571,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",256,1,"rect",0,1,0.3571,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",512,1,"rect",0,1,0.3571,0.3077
"pittsburg-bridges-REL-L",3,"dropToValue",1024,1,"rect",0,1,0.3571,0.3077
"pittsburg-bridges-REL-L",16,"dropToValue",256,1,"cone",0,1,0.3538,0.5769
"pittsburg-bridges-REL-L",16,"dropToValue",256,1,"cone",0.05,1,0.3231,0.5769
