"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"pittsburg-bridges-SPAN",16,"dropToValue",1024,0.01,"cone",0,1,0.978571438789368,0.69565224647522
"pittsburg-bridges-SPAN",8,"dropToValue",256,0.01,"rect",0.05,1,0.95555557012558,0.56521737575531
"pittsburg-bridges-SPAN",8,"dropToValue",512,0.01,"rect",0.05,1,0.944444477558136,0.52173912525177
"pittsburg-bridges-SPAN",16,"dropToValue",256,0.01,"rect",0.05,1,0.944444453716278,0.652173936367035
"pittsburg-bridges-SPAN",32,"dropToValue",512,0.01,"cone",0,1,0.942857164144516,0.65217387676239
"pittsburg-bridges-SPAN",4,"dropToValue",256,0.01,"rect",0.05,1,0.933333373069763,0.52173912525177
"pittsburg-bridges-SPAN",4,"dropToValue",512,0.01,"rect",0.05,1,0.933333373069763,0.52173912525177
"pittsburg-bridges-SPAN",16,"dropToValue",1024,0.01,"rect",0.05,1,0.933333361148834,0.52173912525177
"pittsburg-bridges-SPAN",4,"dropToValue",1024,0.01,"rect",0.05,1,0.933333349227905,0.652173936367035
"pittsburg-bridges-SPAN",8,"dropToValue",512,0.01,"cone",0,1,0.928571462631226,0.65217387676239
"pittsburg-bridges-SPAN",16,"dropToValue",512,0.01,"cone",0,1,0.928571456670761,0.695652186870575
"pittsburg-bridges-SPAN",2,"dropToValue",1024,0.01,"rect",0.05,1,0.91111114025116,0.60869562625885
"pittsburg-bridges-SPAN",16,"dropToValue",512,0.01,"rect",0.05,1,0.911111122369766,0.69565224647522
"pittsburg-bridges-SPAN",32,"dropToValue",1024,0.01,"cone",0,1,0.9071428835392,0.652173936367035
"pittsburg-bridges-SPAN",4,"dropToValue",512,0.1,"cone",0,1,0.892857187986374,0.69565224647522
"pittsburg-bridges-SPAN",8,"dropToValue",256,0.1,"cone",0,1,0.87857146859169,0.60869562625885
"pittsburg-bridges-SPAN",2,"dropToValue",256,0.1,"rect",0.05,1,0.877777808904648,0.60869562625885
"pittsburg-bridges-SPAN",8,"dropToValue",1024,0.01,"rect",0.05,1,0.877777802944183,0.52173912525177
"pittsburg-bridges-SPAN",16,"dropToValue",1024,0.01,"rect",0,1,0.871428620815277,0.73913049697876
"pittsburg-bridges-SPAN",4,"dropToValue",512,0.01,"cone",0,1,0.864285773038864,0.60869562625885
"pittsburg-bridges-SPAN",16,"dropToValue",256,0.01,"rect",0,1,0.864285755157471,0.43478262424469
"pittsburg-bridges-SPAN",32,"dropToValue",512,0.01,"rect",0,1,0.864285749197006,0.56521737575531
"pittsburg-bridges-SPAN",2,"dropToValue",256,0.1,"cone",0,1,0.864285743236542,0.60869562625885
"pittsburg-bridges-SPAN",4,"dropToValue",256,0.1,"rect",0,1,0.857142895460129,0.695652186870575
"pittsburg-bridges-SPAN",2,"dropToValue",512,0.1,"rect",0.05,1,0.855555593967438,0.52173912525177
"pittsburg-bridges-SPAN",8,"dropToValue",1024,0.1,"cone",0,1,0.850000047683716,0.695652186870575
"pittsburg-bridges-SPAN",4,"dropToValue",1024,0.01,"cone",0,1,0.850000047683716,0.73913049697876
"pittsburg-bridges-SPAN",32,"dropToValue",256,0.01,"rect",0,1,0.850000029802322,0.652173936367035
"pittsburg-bridges-SPAN",2,"dropToValue",512,0.01,"rect",0.05,1,0.844444489479065,0.652173936367035
"pittsburg-bridges-SPAN",8,"dropToValue",1024,0.01,"cone",0.05,1,0.842857205867767,0.695652186870575
"pittsburg-bridges-SPAN",4,"dropToValue",512,0.1,"cone",0.05,1,0.842857199907303,0.695652186870575
"pittsburg-bridges-SPAN",8,"dropToValue",1024,0.01,"cone",0,1,0.842857182025909,0.56521737575531
"pittsburg-bridges-SPAN",16,"dropToValue",512,0.1,"cone",0.05,1,0.842857170104981,0.695652186870575
"pittsburg-bridges-SPAN",16,"dropToValue",1024,0.1,"cone",0.05,1,0.83571429848671,0.739130437374115
"pittsburg-bridges-SPAN",2,"dropToValue",256,0.01,"rect",0.05,1,0.822222256660461,0.56521737575531
"pittsburg-bridges-SPAN",32,"dropToValue",1024,0.01,"rect",0.05,1,0.822222229838371,0.60869562625885
"pittsburg-bridges-SPAN",16,"dropToValue",512,0.01,"rect",0,1,0.821428608894348,0.69565224647522
"pittsburg-bridges-SPAN",8,"dropToValue",512,0.1,"cone",0,1,0.821428596973419,0.56521737575531
"pittsburg-bridges-SPAN",8,"dropToValue",256,0.1,"cone",0.05,1,0.8142857670784,0.652173936367035
"pittsburg-bridges-SPAN",8,"dropToValue",1024,0.1,"cone",0.05,1,0.814285755157471,0.69565224647522
"pittsburg-bridges-SPAN",2,"dropToValue",512,0.1,"cone",0,1,0.814285755157471,0.60869562625885
"pittsburg-bridges-SPAN",32,"dropToValue",256,0.01,"rect",0.05,1,0.811111122369766,0.65217387676239
"pittsburg-bridges-SPAN",32,"dropToValue",512,0.01,"rect",0.05,1,0.811111122369766,0.695652186870575
"pittsburg-bridges-SPAN",2,"dropToValue",256,0.1,"rect",0,1,0.792857199907303,0.47826087474823
"pittsburg-bridges-SPAN",16,"dropToValue",256,0.01,"cone",0,1,0.792857193946839,0.695652186870575
"pittsburg-bridges-SPAN",32,"dropToValue",256,0.01,"cone",0,1,0.792857187986374,0.56521737575531
"pittsburg-bridges-SPAN",8,"dropToValue",512,0.01,"rect",0,1,0.792857187986374,0.73913049697876
"pittsburg-bridges-SPAN",4,"dropToValue",1024,0.01,"rect",0,1,0.792857187986374,0.60869562625885
"pittsburg-bridges-SPAN",4,"dropToValue",256,0.1,"cone",0,1,0.792857187986374,0.65217387676239
"pittsburg-bridges-SPAN",16,"dropToValue",1024,0.01,"cone",0.05,1,0.792857182025909,0.65217387676239
"pittsburg-bridges-SPAN",32,"dropToValue",1024,0.01,"cone",0.05,1,0.792857140302658,0.565217435359955
"pittsburg-bridges-SPAN",4,"dropToValue",512,0.01,"rect",0,1,0.785714334249497,0.60869562625885
"pittsburg-bridges-SPAN",8,"dropToValue",1024,0.01,"rect",0,1,0.785714328289032,0.652173936367035
"pittsburg-bridges-SPAN",16,"dropToValue",512,0.1,"cone",0,1,0.78571429848671,0.652173936367035
"pittsburg-bridges-SPAN",4,"dropToValue",1024,0.1,"cone",0,1,0.77857146859169,0.52173912525177
"pittsburg-bridges-SPAN",2,"dropToValue",1024,0.1,"rect",0,1,0.778571462631226,0.56521737575531
"pittsburg-bridges-SPAN",2,"dropToValue",512,0.1,"rect",0,1,0.778571444749832,0.695652186870575
"pittsburg-bridges-SPAN",8,"dropToValue",256,0.01,"rect",0,1,0.771428614854813,0.695652186870575
"pittsburg-bridges-SPAN",4,"dropToValue",1024,0.1,"cone",0.05,1,0.771428608894348,0.65217387676239
"pittsburg-bridges-SPAN",16,"dropToValue",1024,0.1,"cone",0,1,0.771428579092026,0.739130437374115
"pittsburg-bridges-SPAN",2,"dropToValue",1024,0.1,"rect",0.05,1,0.766666698455811,0.52173912525177
"pittsburg-bridges-SPAN",2,"dropToValue",256,0.1,"cone",0.05,1,0.7642857670784,0.695652186870575
"pittsburg-bridges-SPAN",4,"dropToValue",256,0.01,"rect",0,1,0.764285761117935,0.60869562625885
