"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"pittsburg-bridges-T-OR-D",3,"dropToValue",256,0.01,"cone",0.05,1,1,0.84
"pittsburg-bridges-T-OR-D",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9933,0.8
"pittsburg-bridges-T-OR-D",8,"dropToValue",512,0.01,"cone",0.05,1,0.9688,0.88
"pittsburg-bridges-T-OR-D",3,"dropToValue",512,0.1,"cone",0.05,1,0.96,0.88
"pittsburg-bridges-T-OR-D",32,"dropToValue",256,0.01,"rect",0.05,1,0.95,0.92
"pittsburg-bridges-T-OR-D",2,"dropToValue",256,0.01,"cone",0,1,0.95,0.84
"pittsburg-bridges-T-OR-D",16,"dropToValue",512,0.01,"cone",0.05,1,0.9438,0.8
"pittsburg-bridges-T-OR-D",16,"dropToValue",512,0.01,"rect",0,1,0.9438,0.84
"pittsburg-bridges-T-OR-D",32,"dropToValue",512,0.01,"rect",0.05,1,0.9417,0.88
"pittsburg-bridges-T-OR-D",3,"dropToValue",512,0.01,"cone",0.05,1,0.94,0.8
"pittsburg-bridges-T-OR-D",8,"dropToValue",1024,0.01,"cone",0,1,0.9375,0.8
"pittsburg-bridges-T-OR-D",8,"dropToValue",1024,0.01,"rect",0,1,0.9375,0.84
"pittsburg-bridges-T-OR-D",8,"dropToValue",512,0.1,"cone",0.05,1,0.9375,0.84
"pittsburg-bridges-T-OR-D",8,"dropToValue",256,0.1,"cone",0.05,1,0.9375,0.84
"pittsburg-bridges-T-OR-D",4,"dropToValue",256,0.01,"cone",0.05,1,0.9375,0.88
"pittsburg-bridges-T-OR-D",4,"dropToValue",512,0.1,"cone",0.05,1,0.9375,0.84
"pittsburg-bridges-T-OR-D",2,"dropToValue",256,0.01,"rect",0.05,1,0.9333,0.88
"pittsburg-bridges-T-OR-D",32,"dropToValue",256,0.01,"rect",0,1,0.9312,0.84
"pittsburg-bridges-T-OR-D",16,"dropToValue",1024,0.01,"rect",0,1,0.9312,0.84
"pittsburg-bridges-T-OR-D",2,"dropToValue",512,0.01,"cone",0,1,0.9312,0.88
"pittsburg-bridges-T-OR-D",2,"dropToValue",256,0.1,"cone",0,1,0.9312,0.8
"pittsburg-bridges-T-OR-D",16,"dropToValue",256,0.01,"rect",0.05,1,0.925,0.88
"pittsburg-bridges-T-OR-D",8,"dropToValue",256,0.01,"rect",0,1,0.925,0.84
"pittsburg-bridges-T-OR-D",2,"dropToValue",256,0.1,"cone",0.05,1,0.925,0.84
"pittsburg-bridges-T-OR-D",3,"dropToValue",512,0.01,"rect",0,1,0.92,0.8
"pittsburg-bridges-T-OR-D",4,"dropToValue",512,0.01,"rect",0,1,0.9188,0.8
"pittsburg-bridges-T-OR-D",2,"dropToValue",256,0.1,"rect",0,1,0.9188,0.8
"pittsburg-bridges-T-OR-D",32,"dropToValue",1024,0.01,"rect",0.05,1,0.9167,0.92
"pittsburg-bridges-T-OR-D",32,"dropToValue",256,0.1,"rect",0.05,1,0.9167,0.88
"pittsburg-bridges-T-OR-D",32,"dropToValue",512,0.1,"rect",0.05,1,0.9167,0.88
"pittsburg-bridges-T-OR-D",32,"dropToValue",1024,0.1,"rect",0.05,1,0.9167,0.88
"pittsburg-bridges-T-OR-D",32,"dropToValue",256,1,"rect",0.05,1,0.9167,0.88
"pittsburg-bridges-T-OR-D",32,"dropToValue",512,1,"rect",0.05,1,0.9167,0.88
"pittsburg-bridges-T-OR-D",32,"dropToValue",1024,1,"rect",0.05,1,0.9167,0.88
"pittsburg-bridges-T-OR-D",16,"dropToValue",256,0.1,"rect",0.05,1,0.9167,0.88
"pittsburg-bridges-T-OR-D",16,"dropToValue",512,0.1,"rect",0.05,1,0.9167,0.88
"pittsburg-bridges-T-OR-D",16,"dropToValue",1024,0.1,"rect",0.05,1,0.9167,0.88
"pittsburg-bridges-T-OR-D",16,"dropToValue",256,1,"rect",0.05,1,0.9167,0.88
