"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"pittsburg-bridges-TYPE",32,"dropToValue",1024,0.01,"cone",0,1,0.661111128330231,0.653846204280853
"pittsburg-bridges-TYPE",16,"dropToValue",512,0.1,"cone",0.05,1,0.616666662693024,0.538461565971375
"pittsburg-bridges-TYPE",16,"dropToValue",256,0.01,"rect",0,1,0.611111110448837,0.615384697914124
"pittsburg-bridges-TYPE",16,"dropToValue",256,0.01,"rect",0.05,1,0.605555558204651,0.653846204280853
"pittsburg-bridges-TYPE",8,"dropToValue",512,0.1,"cone",0,1,0.605555558204651,0.692307770252228
"pittsburg-bridges-TYPE",4,"dropToValue",256,0.01,"cone",0.05,1,0.600000017881394,0.615384697914124
"pittsburg-bridges-TYPE",32,"dropToValue",512,0.01,"rect",0.05,1,0.588888895511627,0.615384697914124
"pittsburg-bridges-TYPE",4,"dropToValue",512,0.1,"cone",0,1,0.588888895511627,0.576923131942749
"pittsburg-bridges-TYPE",4,"dropToValue",512,0.1,"cone",0.05,1,0.583333343267441,0.615384638309479
"pittsburg-bridges-TYPE",2,"dropToValue",256,0.01,"rect",0,1,0.583333337306976,0.576923131942749
"pittsburg-bridges-TYPE",16,"dropToValue",512,0.01,"rect",0,1,0.577777791023254,0.653846204280853
"pittsburg-bridges-TYPE",8,"dropToValue",1024,0.1,"cone",0.05,1,0.572222235798836,0.538461565971375
"pittsburg-bridges-TYPE",16,"dropToValue",256,0.01,"cone",0,1,0.566666692495346,0.538461565971375
"pittsburg-bridges-TYPE",2,"dropToValue",1024,0.1,"cone",0.05,1,0.566666680574417,0.46153849363327
"pittsburg-bridges-TYPE",2,"dropToValue",256,0.1,"rect",0,1,0.561111122369766,0.615384697914124
"pittsburg-bridges-TYPE",32,"dropToValue",1024,0.01,"rect",0.05,1,0.561111119389534,0.615384697914124
"pittsburg-bridges-TYPE",32,"dropToValue",512,0.1,"cone",0,1,0.555555582046509,0.5
"pittsburg-bridges-TYPE",16,"dropToValue",512,0.01,"rect",0.05,1,0.555555576086044,0.615384697914124
"pittsburg-bridges-TYPE",8,"dropToValue",256,0.01,"cone",0.05,1,0.555555564165115,0.653846204280853
"pittsburg-bridges-TYPE",4,"dropToValue",1024,0.01,"cone",0.05,1,0.555555561184883,0.653846204280853
"pittsburg-bridges-TYPE",3,"dropToValue",256,0.01,"rect",0.05,1,0.555000013113022,0.615384697914124
"pittsburg-bridges-TYPE",2,"dropToValue",1024,0.01,"cone",0.05,1,0.550000017881394,0.615384697914124
"pittsburg-bridges-TYPE",8,"dropToValue",1024,0.1,"cone",0,1,0.550000017881393,0.576923131942749
"pittsburg-bridges-TYPE",2,"dropToValue",512,0.01,"cone",0.05,1,0.550000005960465,0.576923131942749
"pittsburg-bridges-TYPE",16,"dropToValue",512,0.01,"cone",0.05,1,0.544444465637207,0.538461565971375
"pittsburg-bridges-TYPE",16,"dropToValue",1024,0.1,"cone",0.05,1,0.544444465637207,0.576923131942749
"pittsburg-bridges-TYPE",8,"dropToValue",256,0.01,"rect",0.05,1,0.544444465637207,0.615384697914124
"pittsburg-bridges-TYPE",8,"dropToValue",1024,0.01,"rect",0,1,0.544444465637207,0.615384638309479
"pittsburg-bridges-TYPE",4,"dropToValue",256,0.1,"rect",0,1,0.538888904452324,0.653846204280853
"pittsburg-bridges-TYPE",2,"dropToValue",1024,0.1,"cone",0,1,0.538888901472092,0.692307710647583
"pittsburg-bridges-TYPE",8,"dropToValue",1024,0.01,"cone",0.05,1,0.538888895511627,0.615384697914124
"pittsburg-bridges-TYPE",3,"dropToValue",512,0.01,"cone",0.05,1,0.53500000834465,0.692307710647583
"pittsburg-bridges-TYPE",2,"dropToValue",1024,0.01,"cone",0,1,0.533333352208138,0.615384697914124
"pittsburg-bridges-TYPE",8,"dropToValue",512,0.01,"rect",0,1,0.533333349227905,0.576923131942749
"pittsburg-bridges-TYPE",4,"dropToValue",1024,0.01,"cone",0,1,0.533333349227905,0.692307710647583
"pittsburg-bridges-TYPE",2,"dropToValue",512,0.01,"rect",0,1,0.533333349227905,0.653846204280853
"pittsburg-bridges-TYPE",8,"dropToValue",512,0.01,"cone",0.05,1,0.533333343267441,0.615384697914124
"pittsburg-bridges-TYPE",2,"dropToValue",512,0.1,"cone",0.05,1,0.533333343267441,0.576923131942749
"pittsburg-bridges-TYPE",8,"dropToValue",512,0.1,"cone",0.05,1,0.533333340287209,0.615384697914124
"pittsburg-bridges-TYPE",4,"dropToValue",256,0.1,"rect",0.05,1,0.533333340287209,0.615384638309479
"pittsburg-bridges-TYPE",2,"dropToValue",512,0.1,"cone",0,1,0.533333340287209,0.538461565971375
"pittsburg-bridges-TYPE",2,"dropToValue",512,0.1,"rect",0,1,0.533333340287209,0.615384697914124
"pittsburg-bridges-TYPE",32,"dropToValue",256,0.01,"cone",0,1,0.533333337306976,0.5
"pittsburg-bridges-TYPE",4,"dropToValue",256,0.01,"rect",0.05,1,0.527777794003487,0.615384697914124
"pittsburg-bridges-TYPE",2,"dropToValue",256,0.1,"cone",0.05,1,0.527777794003487,0.538461565971375
"pittsburg-bridges-TYPE",16,"dropToValue",1024,0.01,"rect",0.05,1,0.5222222417593,0.5
"pittsburg-bridges-TYPE",2,"dropToValue",256,0.01,"cone",0.05,1,0.522222232818604,0.615384697914124
"pittsburg-bridges-TYPE",16,"dropToValue",1024,0.1,"cone",0,1,0.522222220897675,0.615384697914124
"pittsburg-bridges-TYPE",4,"dropToValue",512,0.01,"cone",0.05,1,0.522222220897675,0.653846204280853
"pittsburg-bridges-TYPE",3,"dropToValue",256,0.01,"cone",0.05,1,0.520000004768372,0.692307710647583
"pittsburg-bridges-TYPE",3,"dropToValue",256,0.01,"cone",0,1,0.520000004768372,0.692307710647583
"pittsburg-bridges-TYPE",4,"dropToValue",1024,0.1,"cone",0.05,1,0.516666677594185,0.5
