"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"planning",3,"dropToValue",1024,0.01,"cone",0.05,1,0.7133,0.6889
"planning",32,"dropToValue",1024,0.01,"cone",0.05,1,0.7,0.7333
"planning",16,"dropToValue",256,0.1,"cone",0.05,1,0.6963,0.6222
"planning",4,"dropToValue",256,0.01,"cone",0.05,1,0.6963,0.7333
"planning",8,"dropToValue",512,0.01,"cone",0.05,1,0.6963,0.7556
"planning",16,"dropToValue",1024,0.01,"cone",0,1,0.6889,0.7111
"planning",2,"dropToValue",256,0.1,"cone",0.05,1,0.6852,0.6667
"planning",16,"dropToValue",512,0.01,"cone",0,1,0.6852,0.7778
"planning",8,"dropToValue",1024,0.01,"cone",0.05,1,0.6852,0.7333
"planning",2,"dropToValue",512,0.01,"cone",0,1,0.6852,0.7111
"planning",8,"dropToValue",256,0.01,"cone",0,1,0.6852,0.6222
"planning",16,"dropToValue",512,0.01,"cone",0.05,1,0.6815,0.7111
"planning",4,"dropToValue",1024,0.01,"cone",0,1,0.6815,0.6889
"planning",16,"dropToValue",1024,0.01,"cone",0.05,1,0.6778,0.6889
"planning",3,"dropToValue",256,0.01,"cone",0,1,0.6767,0.6222
"planning",16,"dropToValue",1024,0.1,"cone",0.05,1,0.6741,0.7111
"planning",3,"dropToValue",1024,0.01,"cone",0,1,0.6733,0.7111
"planning",32,"dropToValue",512,0.01,"cone",0,1,0.6704,0.6889
"planning",16,"dropToValue",512,0.1,"cone",0.05,1,0.6704,0.7111
"planning",8,"dropToValue",512,0.1,"cone",0.05,1,0.6704,0.6667
"planning",8,"dropToValue",1024,0.1,"cone",0.05,1,0.6704,0.7111
"planning",2,"dropToValue",512,0.1,"cone",0.05,1,0.6704,0.7111
"planning",3,"dropToValue",512,0.01,"rect",0.05,1,0.67,0.6889
"planning",3,"dropToValue",1024,0.1,"cone",0.05,1,0.67,0.6222
"planning",3,"dropToValue",1024,0.1,"rect",0,1,0.6667,0.7111
"planning",3,"dropToValue",256,1,"cone",0.05,1,0.6667,0.7111
"planning",3,"dropToValue",512,1,"cone",0.05,1,0.6667,0.7111
"planning",3,"dropToValue",1024,1,"cone",0.05,1,0.6667,0.7111
"planning",3,"dropToValue",256,1,"rect",0.05,1,0.6667,0.7111
"planning",3,"dropToValue",512,1,"rect",0.05,1,0.6667,0.7111
"planning",3,"dropToValue",1024,1,"rect",0.05,1,0.6667,0.7111
"planning",3,"dropToValue",256,1,"cone",0,1,0.6667,0.7111
"planning",3,"dropToValue",512,1,"cone",0,1,0.6667,0.7111
"planning",3,"dropToValue",1024,1,"cone",0,1,0.6667,0.7111
"planning",3,"dropToValue",256,1,"rect",0,1,0.6667,0.7111
"planning",3,"dropToValue",512,1,"rect",0,1,0.6667,0.7111
"planning",3,"dropToValue",1024,1,"rect",0,1,0.6667,0.7111
"planning",32,"dropToValue",256,0.01,"cone",0.05,1,0.6667,0.7111
"planning",32,"dropToValue",512,0.01,"cone",0.05,1,0.6667,0.7111
"planning",32,"dropToValue",1024,0.01,"cone",0,1,0.6667,0.7111
"planning",32,"dropToValue",256,0.1,"cone",0.05,1,0.6667,0.7111
"planning",32,"dropToValue",512,0.1,"cone",0.05,1,0.6667,0.7111
