"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"plant-margin",4,"dropToValue",256,0.1,"rect",0.05,1,0.8476,0.8125
"plant-margin",4,"dropToValue",512,0.1,"cone",0.05,1,0.8302,0.8325
"plant-margin",4,"dropToValue",512,0.1,"rect",0.05,1,0.8294,0.825
"plant-margin",8,"dropToValue",1024,0.1,"rect",0.05,1,0.8271,0.83
"plant-margin",8,"dropToValue",1024,0.01,"rect",0.05,1,0.8253,0.8325
"plant-margin",2,"dropToValue",1024,0.01,"rect",0.05,1,0.8247,0.8225
"plant-margin",4,"dropToValue",1024,0.1,"rect",0,1,0.824,0.79
"plant-margin",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8229,0.8275
"plant-margin",8,"dropToValue",512,0.1,"rect",0.05,1,0.82,0.815
"plant-margin",2,"dropToValue",512,0.1,"rect",0.05,1,0.8171,0.8375
"plant-margin",8,"dropToValue",1024,0.01,"rect",0,1,0.8124,0.8025
"plant-margin",2,"dropToValue",256,0.1,"cone",0.05,1,0.8124,0.78
"plant-margin",2,"dropToValue",512,0.1,"cone",0.05,1,0.8116,0.815
"plant-margin",4,"dropToValue",1024,0.1,"rect",0.05,1,0.8106,0.8425
"plant-margin",4,"dropToValue",256,0.1,"rect",0,1,0.8103,0.8125
"plant-margin",2,"dropToValue",1024,0.1,"cone",0.05,1,0.8095,0.7975
"plant-margin",16,"dropToValue",1024,0.01,"rect",0,1,0.8087,0.7975
"plant-margin",4,"dropToValue",256,0.1,"cone",0.05,1,0.8087,0.7825
"plant-margin",2,"dropToValue",256,0.1,"rect",0.05,1,0.8076,0.845
"plant-margin",2,"dropToValue",512,0.1,"cone",0,1,0.8074,0.8275
"plant-margin",4,"dropToValue",1024,0.1,"cone",0.05,1,0.8074,0.805
"plant-margin",8,"dropToValue",256,0.1,"rect",0.05,1,0.8065,0.8025
"plant-margin",8,"dropToValue",512,0.01,"rect",0.05,1,0.8041,0.805
"plant-margin",8,"dropToValue",256,0.01,"rect",0.05,1,0.8041,0.7775
"plant-margin",8,"dropToValue",512,0.1,"rect",0,1,0.8033,0.785
"plant-margin",8,"dropToValue",1024,0.1,"cone",0.05,1,0.8017,0.7625
"plant-margin",4,"dropToValue",512,0.01,"rect",0,1,0.8012,0.8075
"plant-margin",8,"dropToValue",256,0.1,"cone",0.05,1,0.8008,0.755
"plant-margin",4,"dropToValue",1024,0.01,"rect",0,1,0.7992,0.7625
"plant-margin",8,"dropToValue",512,0.01,"rect",0,1,0.7983,0.8125
"plant-margin",4,"dropToValue",256,0.1,"cone",0,1,0.7983,0.7675
"plant-margin",2,"dropToValue",1024,0.1,"rect",0.05,1,0.7982,0.855
"plant-margin",2,"dropToValue",512,0.1,"rect",0,1,0.7955,0.795
"plant-margin",4,"dropToValue",512,0.01,"cone",0,1,0.7946,0.75
"plant-margin",3,"dropToValue",1024,0.1,"rect",0.05,1,0.7945,0.81
