"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"plant-shape",8,"dropToValue",256,0.1,"rect",0,1,0.6706,0.7275
"plant-shape",8,"dropToValue",1024,0.01,"cone",0,1,0.6603,0.6925
"plant-shape",4,"dropToValue",1024,0.1,"cone",0,1,0.6589,0.7275
"plant-shape",4,"dropToValue",256,0.1,"rect",0,1,0.6589,0.7
"plant-shape",16,"dropToValue",1024,0.01,"rect",0,1,0.657,0.7375
"plant-shape",8,"dropToValue",512,0.1,"cone",0,1,0.6556,0.725
"plant-shape",8,"dropToValue",1024,0.1,"cone",0,1,0.6556,0.705
"plant-shape",8,"dropToValue",1024,0.01,"rect",0,1,0.6533,0.7
"plant-shape",8,"dropToValue",512,0.01,"rect",0,1,0.6509,0.67
"plant-shape",4,"dropToValue",512,0.1,"cone",0,1,0.6509,0.725
"plant-shape",4,"dropToValue",512,0.1,"rect",0,1,0.65,0.68
"plant-shape",32,"dropToValue",512,0.01,"rect",0,1,0.6495,0.7425
"plant-shape",8,"dropToValue",256,0.1,"cone",0,1,0.6477,0.7125
"plant-shape",32,"dropToValue",1024,0.01,"rect",0,1,0.6444,0.7125
"plant-shape",2,"dropToValue",256,0.1,"rect",0.05,1,0.6402,0.6325
"plant-shape",2,"dropToValue",1024,0.1,"rect",0.05,1,0.6402,0.625
"plant-shape",4,"dropToValue",512,0.1,"rect",0.05,1,0.6335,0.685
"plant-shape",2,"dropToValue",1024,0.1,"rect",0,1,0.6322,0.665
"plant-shape",4,"dropToValue",256,0.1,"rect",0.05,1,0.6317,0.6675
"plant-shape",2,"dropToValue",512,0.1,"rect",0.05,1,0.6299,0.6225
"plant-shape",16,"dropToValue",512,0.01,"rect",0,1,0.629,0.6675
"plant-shape",4,"dropToValue",1024,0.1,"cone",0.05,1,0.628,0.685
"plant-shape",32,"dropToValue",512,0.01,"cone",0,1,0.6266,0.67
"plant-shape",4,"dropToValue",256,0.1,"cone",0,1,0.6266,0.6775
"plant-shape",32,"dropToValue",256,0.01,"rect",0,1,0.6257,0.715
"plant-shape",3,"dropToValue",256,0.1,"cone",0,1,0.6233,0.7
"plant-shape",3,"dropToValue",512,0.1,"cone",0,1,0.6233,0.6975
"plant-shape",2,"dropToValue",1024,0.1,"cone",0,1,0.621,0.6425
"plant-shape",3,"dropToValue",1024,0.1,"rect",0,1,0.6206,0.6775
"plant-shape",8,"dropToValue",256,0.01,"rect",0,1,0.6192,0.68
"plant-shape",3,"dropToValue",1024,0.1,"cone",0,1,0.6191,0.65
"plant-shape",16,"dropToValue",512,0.01,"cone",0,1,0.6178,0.705
"plant-shape",2,"dropToValue",256,0.1,"rect",0,1,0.6173,0.68
"plant-shape",3,"dropToValue",512,0.1,"rect",0,1,0.6168,0.6575
"plant-shape",8,"dropToValue",512,0.01,"cone",0,1,0.6164,0.665
"plant-shape",3,"dropToValue",1024,0.1,"rect",0.05,1,0.616,0.65
"plant-shape",16,"dropToValue",256,0.1,"rect",0,1,0.6159,0.6975
"plant-shape",16,"dropToValue",256,0.01,"cone",0,1,0.6145,0.6925
"plant-shape",4,"dropToValue",256,0.1,"cone",0.05,1,0.6131,0.6875
"plant-shape",4,"dropToValue",1024,0.1,"rect",0.05,1,0.6128,0.655
"plant-shape",3,"dropToValue",256,0.1,"rect",0,1,0.6126,0.685
"plant-shape",2,"dropToValue",512,0.1,"cone",0,1,0.6121,0.6625
"plant-shape",3,"dropToValue",1024,0.1,"cone",0.05,1,0.6111,0.675
"plant-shape",16,"dropToValue",1024,0.1,"cone",0,1,0.6093,0.66
"plant-shape",16,"dropToValue",512,0.1,"cone",0,1,0.6075,0.665
"plant-shape",16,"dropToValue",256,0.1,"cone",0,1,0.6065,0.675
"plant-shape",8,"dropToValue",512,0.1,"rect",0.05,1,0.6055,0.5975
"plant-shape",2,"dropToValue",1024,0.1,"cone",0.05,1,0.6051,0.6575
"plant-shape",16,"dropToValue",256,0.01,"rect",0,1,0.6042,0.67
"plant-shape",3,"dropToValue",512,0.1,"cone",0.05,1,0.6027,0.665
"plant-shape",2,"dropToValue",512,0.1,"rect",0,1,0.6023,0.64
"plant-shape",2,"dropToValue",256,0.1,"cone",0.05,1,0.6019,0.6575
"plant-shape",4,"dropToValue",1024,0.01,"rect",0,1,0.6009,0.6775
"plant-shape",2,"dropToValue",256,0.1,"cone",0,1,0.6005,0.6575
"plant-shape",4,"dropToValue",1024,0.01,"rect",0.05,1,0.5994,0.615
"plant-shape",4,"dropToValue",512,0.1,"cone",0.05,1,0.5986,0.685
"plant-shape",32,"dropToValue",1024,0.01,"cone",0,1,0.5986,0.6
"plant-shape",8,"dropToValue",256,0.01,"cone",0,1,0.5958,0.6375
"plant-shape",3,"dropToValue",256,0.1,"cone",0.05,1,0.595,0.66
