"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"plant-texture",2,"dropToValue",512,0.1,"rect",0.05,1,0.8387,0.8125
"plant-texture",4,"dropToValue",256,0.01,"rect",0.05,1,0.8362,0.8175
"plant-texture",2,"dropToValue",1024,0.01,"rect",0.05,1,0.8276,0.81
"plant-texture",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8246,0.805
"plant-texture",2,"dropToValue",256,0.1,"rect",0.05,1,0.8246,0.795
"plant-texture",4,"dropToValue",512,0.1,"rect",0.05,1,0.8241,0.8375
"plant-texture",4,"dropToValue",256,0.1,"rect",0.05,1,0.8221,0.7975
"plant-texture",4,"dropToValue",1024,0.1,"rect",0.05,1,0.8221,0.8325
"plant-texture",3,"dropToValue",256,0.1,"rect",0,1,0.8202,0.82
"plant-texture",4,"dropToValue",512,0.01,"rect",0.05,1,0.8171,0.8025
"plant-texture",8,"dropToValue",1024,0.01,"rect",0.05,1,0.8151,0.8
"plant-texture",4,"dropToValue",1024,0.1,"cone",0,1,0.812,0.8125
"plant-texture",2,"dropToValue",512,1,"rect",0.05,1,0.8101,0.83
"plant-texture",8,"dropToValue",512,0.1,"rect",0,1,0.8092,0.82
"plant-texture",3,"dropToValue",512,0.1,"rect",0.05,1,0.8091,0.8175
"plant-texture",3,"dropToValue",256,0.1,"rect",0.05,1,0.8083,0.79
"plant-texture",8,"dropToValue",1024,0.01,"rect",0,1,0.8072,0.815
"plant-texture",8,"dropToValue",1024,0.1,"rect",0.05,1,0.807,0.8425
"plant-texture",8,"dropToValue",512,0.01,"rect",0.05,1,0.807,0.81
"plant-texture",16,"dropToValue",1024,0.01,"rect",0.05,1,0.805,0.7925
"plant-texture",3,"dropToValue",1024,0.1,"rect",0,1,0.805,0.8175
"plant-texture",3,"dropToValue",512,0.1,"rect",0,1,0.8045,0.825
"plant-texture",16,"dropToValue",1024,0.01,"rect",0,1,0.8032,0.805
"plant-texture",2,"dropToValue",1024,0.1,"rect",0.05,1,0.803,0.825
"plant-texture",2,"dropToValue",1024,0.01,"rect",0,1,0.8028,0.8025
"plant-texture",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8025,0.8175
"plant-texture",4,"dropToValue",1024,0.1,"rect",0,1,0.802,0.815
