"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"post-operative",3,"dropToValue",1024,0.1,"rect",0.05,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",1024,0.1,"rect",0,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",256,1,"cone",0.05,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",512,1,"cone",0.05,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",1024,1,"cone",0.05,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",256,1,"rect",0.05,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",512,1,"rect",0.05,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",1024,1,"rect",0.05,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",256,1,"cone",0,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",512,1,"cone",0,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",1024,1,"cone",0,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",256,1,"rect",0,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",512,1,"rect",0,1,0.846153914928436,0.727272748947144
"post-operative",3,"dropToValue",1024,1,"rect",0,1,0.846153914928436,0.727272748947144
"post-operative",8,"dropToValue",1024,0.01,"cone",0.05,1,0.738461589813233,0.727272748947144
"post-operative",32,"dropToValue",1024,0.01,"cone",0,1,0.715384650230408,0.727272748947144
"post-operative",16,"dropToValue",256,0.1,"rect",0.05,1,0.700000023841858,0.727272748947144
"post-operative",3,"dropToValue",512,0.1,"rect",0,1,0.692307747900486,0.727272748947144
"post-operative",32,"dropToValue",1024,0.01,"cone",0.05,1,0.692307716608047,0.636363625526428
"post-operative",32,"dropToValue",256,0.01,"cone",0.05,1,0.692307710647583,0.590909123420715
"post-operative",32,"dropToValue",512,0.01,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",256,0.1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",512,0.1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",1024,0.1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",256,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",512,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",1024,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",256,0.1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",512,0.1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",1024,0.1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",256,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",512,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",1024,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",256,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",512,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",1024,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",256,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",512,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",1024,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",256,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",512,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",1024,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",256,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",512,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",32,"dropToValue",1024,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",512,0.1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",512,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",1024,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",256,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",512,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",1024,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",512,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",1024,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",256,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",512,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",1024,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",512,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",1024,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",256,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",512,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",1024,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",256,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",512,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",1024,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",256,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",512,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",1024,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",256,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",512,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",1024,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",256,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",512,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",1024,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",1024,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",256,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",512,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",8,"dropToValue",1024,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",512,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",1024,0.1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",512,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",1024,0.1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",256,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",512,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",1024,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",256,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",512,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",1024,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",256,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",1024,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",256,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",512,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",4,"dropToValue",1024,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",256,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",512,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",1024,1,"cone",0.05,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",256,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",512,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",1024,1,"rect",0.05,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",256,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",512,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",1024,1,"cone",0,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",256,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",512,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",2,"dropToValue",1024,1,"rect",0,1,0.692307710647583,0.727272748947144
"post-operative",16,"dropToValue",1024,0.1,"cone",0.05,1,0.684615421295166,0.681818187236786
"post-operative",32,"dropToValue",512,0.01,"cone",0,1,0.684615409374237,0.727272748947144
"post-operative",32,"dropToValue",256,0.01,"cone",0,1,0.684615409374237,0.681818246841431
"post-operative",16,"dropToValue",256,0.01,"cone",0.05,1,0.684615403413772,0.727272748947144
"post-operative",16,"dropToValue",512,0.01,"cone",0.05,1,0.684615403413772,0.727272748947144
