"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"primary-tumor",32,"dropToValue",512,0.01,"cone",0,1,0.43921571969986,0.52439022064209
"primary-tumor",4,"dropToValue",1024,0.01,"cone",0.05,1,0.437254938483238,0.5
"primary-tumor",16,"dropToValue",512,0.1,"cone",0.05,1,0.431372582912445,0.512195110321045
"primary-tumor",8,"dropToValue",512,0.1,"cone",0.05,1,0.42745101749897,0.512195110321045
"primary-tumor",8,"dropToValue",256,0.1,"cone",0.05,1,0.425490230321884,0.512195110321045
"primary-tumor",4,"dropToValue",256,0.01,"cone",0.05,1,0.417647102475166,0.54878044128418
"primary-tumor",8,"dropToValue",512,0.01,"cone",0.05,1,0.413725525140762,0.536585330963135
"primary-tumor",4,"dropToValue",256,0.01,"cone",0,1,0.413725525140762,0.48780483007431
"primary-tumor",4,"dropToValue",256,0.01,"rect",0,1,0.411764740943909,0.512195110321045
"primary-tumor",2,"dropToValue",512,0.01,"cone",0,1,0.411764740943909,0.512195110321045
"primary-tumor",2,"dropToValue",512,0.01,"rect",0,1,0.407843172550201,0.54878044128418
"primary-tumor",4,"dropToValue",512,0.01,"cone",0.05,1,0.403921604156494,0.512195110321045
"primary-tumor",4,"dropToValue",512,0.01,"cone",0,1,0.39607846736908,0.52439022064209
"primary-tumor",16,"dropToValue",256,0.1,"cone",0.05,1,0.396078464388847,0.451219499111176
"primary-tumor",16,"dropToValue",1024,0.1,"cone",0.05,1,0.394117686152458,0.475609749555588
"primary-tumor",2,"dropToValue",1024,0.01,"cone",0,1,0.394117683172226,0.54878044128418
"primary-tumor",2,"dropToValue",256,0.01,"cone",0.05,1,0.392156898975372,0.499999970197678
"primary-tumor",2,"dropToValue",256,0.1,"cone",0,1,0.390196114778519,0.52439022064209
"primary-tumor",2,"dropToValue",1024,0.01,"cone",0.05,1,0.388235330581665,0.54878044128418
"primary-tumor",3,"dropToValue",256,0.01,"cone",0,1,0.387037044763565,0.487804859876633
"primary-tumor",4,"dropToValue",1024,0.01,"cone",0,1,0.386274543404579,0.499999970197678
"primary-tumor",3,"dropToValue",1024,0.01,"rect",0,1,0.385185185074806,0.46341460943222
"primary-tumor",8,"dropToValue",256,0.01,"rect",0,1,0.384313756227493,0.536585330963135
"primary-tumor",8,"dropToValue",256,0.01,"cone",0,1,0.382352977991104,0.46341460943222
"primary-tumor",4,"dropToValue",512,0.01,"rect",0,1,0.382352977991104,0.560975551605225
"primary-tumor",2,"dropToValue",512,0.01,"cone",0.05,1,0.382352977991104,0.54878044128418
"primary-tumor",8,"dropToValue",1024,0.01,"cone",0.05,1,0.38039219379425,0.48780483007431
"primary-tumor",4,"dropToValue",512,0.1,"cone",0.05,1,0.378431406617165,0.5
"primary-tumor",4,"dropToValue",256,0.1,"cone",0.05,1,0.378431403636932,0.512195110321045
"primary-tumor",3,"dropToValue",512,0.01,"cone",0.05,1,0.377777773141861,0.451219499111176
"primary-tumor",16,"dropToValue",256,0.01,"rect",0,1,0.374509832262993,0.487804859876633
"primary-tumor",3,"dropToValue",512,0.01,"cone",0,1,0.372222229838371,0.46341460943222
"primary-tumor",16,"dropToValue",512,0.1,"cone",0,1,0.37058826982975,0.414634108543396
"primary-tumor",8,"dropToValue",512,0.1,"rect",0.05,1,0.369444462656975,0.414634108543396
"primary-tumor",2,"dropToValue",512,0.1,"cone",0.05,1,0.368627485632896,0.52439022064209
"primary-tumor",16,"dropToValue",512,0.01,"rect",0.05,1,0.366666680574417,0.54878044128418
"primary-tumor",16,"dropToValue",256,0.01,"rect",0.05,1,0.36666667163372,0.512195110321045
"primary-tumor",4,"dropToValue",512,0.01,"rect",0.05,1,0.366666668653488,0.512195110321045
"primary-tumor",3,"dropToValue",256,0.01,"rect",0,1,0.36481483578682,0.46341460943222
"primary-tumor",3,"dropToValue",256,0.1,"cone",0.05,1,0.364814823865891,0.426829278469086
"primary-tumor",32,"dropToValue",512,0.01,"rect",0.05,1,0.363888904452324,0.536585330963135
"primary-tumor",16,"dropToValue",1024,0.1,"cone",0,1,0.362745130062103,0.390243887901306
"primary-tumor",4,"dropToValue",256,0.01,"rect",0.05,1,0.361111125349999,0.512195110321045
"primary-tumor",8,"dropToValue",256,0.01,"rect",0.05,1,0.361111110448837,0.5
"primary-tumor",4,"dropToValue",256,0.1,"cone",0,1,0.36078434586525,0.512195110321045
"primary-tumor",8,"dropToValue",1024,0.1,"cone",0.05,1,0.358823561668396,0.46341460943222
"primary-tumor",2,"dropToValue",512,0.1,"rect",0,1,0.358823561668396,0.451219469308853
"primary-tumor",32,"dropToValue",1024,0.01,"rect",0.05,1,0.35833335518837,0.54878044128418
"primary-tumor",3,"dropToValue",1024,0.01,"cone",0,1,0.357407414913178,0.475609719753265
"primary-tumor",4,"dropToValue",256,0.1,"rect",0.05,1,0.355555573105812,0.439024388790131
"primary-tumor",2,"dropToValue",256,0.1,"rect",0.05,1,0.35555557012558,0.52439022064209
"primary-tumor",16,"dropToValue",512,0.01,"cone",0.05,1,0.354901999235153,0.487804859876633
"primary-tumor",16,"dropToValue",256,0.1,"cone",0,1,0.354901993274689,0.451219499111176
"primary-tumor",16,"dropToValue",256,0.1,"rect",0.05,1,0.352777788043022,0.54878044128418
"primary-tumor",2,"dropToValue",256,0.01,"rect",0.05,1,0.352777776122093,0.512195110321045
"primary-tumor",8,"dropToValue",256,0.01,"cone",0.05,1,0.350980430841446,0.512195110321045
"primary-tumor",2,"dropToValue",256,0.1,"cone",0.05,1,0.350980430841446,0.54878044128418
"primary-tumor",16,"dropToValue",512,0.01,"cone",0,1,0.350980427861214,0.52439022064209
"primary-tumor",3,"dropToValue",256,0.01,"rect",0.05,1,0.350000029802322,0.487804859876633
"primary-tumor",2,"dropToValue",1024,0.01,"rect",0,1,0.34901961684227,0.536585330963135
"primary-tumor",3,"dropToValue",256,0.1,"rect",0.05,1,0.34814815223217,0.46341460943222
"primary-tumor",3,"dropToValue",512,0.1,"rect",0,1,0.34814815223217,0.365853667259216
"primary-tumor",2,"dropToValue",256,0.01,"rect",0,1,0.347058862447739,0.573170721530914
