"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"ringnorm",4,"dropToValue",256,0.1,"cone",0,1,0.9864,0.9751
"ringnorm",2,"dropToValue",256,0.1,"rect",0.05,1,0.9853,0.9822
"ringnorm",32,"dropToValue",1024,0.01,"rect",0.05,1,0.9852,0.9849
"ringnorm",4,"dropToValue",1024,0.01,"cone",0,1,0.985,0.9849
"ringnorm",16,"dropToValue",256,0.1,"cone",0,1,0.9848,0.9778
"ringnorm",3,"dropToValue",1024,0.01,"rect",0.05,1,0.9847,0.9805
"ringnorm",4,"dropToValue",512,0.01,"cone",0,1,0.9846,0.9816
"ringnorm",3,"dropToValue",256,0.01,"cone",0,1,0.9846,0.9751
"ringnorm",3,"dropToValue",1024,0.01,"rect",0,1,0.9846,0.9816
"ringnorm",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9844,0.9816
"ringnorm",8,"dropToValue",256,0.1,"rect",0,1,0.984,0.9768
"ringnorm",16,"dropToValue",1024,0.01,"cone",0.05,1,0.9839,0.9784
"ringnorm",8,"dropToValue",256,0.1,"cone",0.05,1,0.9839,0.9735
"ringnorm",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9839,0.9746
"ringnorm",3,"dropToValue",1024,0.01,"cone",0,1,0.9837,0.9849
"ringnorm",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9837,0.9827
"ringnorm",2,"dropToValue",512,0.01,"cone",0,1,0.9836,0.9838
"ringnorm",3,"dropToValue",512,0.01,"rect",0,1,0.9836,0.9805
"ringnorm",8,"dropToValue",512,0.01,"cone",0.05,1,0.9835,0.9795
"ringnorm",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9835,0.9789
"ringnorm",2,"dropToValue",512,0.1,"rect",0.05,1,0.9834,0.9816
"ringnorm",16,"dropToValue",1024,0.01,"rect",0.05,1,0.9834,0.9881
"ringnorm",16,"dropToValue",512,0.01,"rect",0.05,1,0.9833,0.9849
"ringnorm",4,"dropToValue",1024,0.01,"rect",0.05,1,0.9831,0.9859
"ringnorm",8,"dropToValue",1024,0.1,"cone",0.05,1,0.983,0.9784
"ringnorm",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9829,0.9859
"ringnorm",2,"dropToValue",512,0.01,"rect",0,1,0.9829,0.9816
"ringnorm",4,"dropToValue",1024,0.1,"rect",0,1,0.9827,0.9843
"ringnorm",2,"dropToValue",1024,0.01,"rect",0,1,0.9826,0.9838
"ringnorm",8,"dropToValue",512,0.1,"cone",0.05,1,0.9826,0.9757
"ringnorm",8,"dropToValue",512,0.01,"rect",0.05,1,0.9824,0.987
"ringnorm",16,"dropToValue",1024,0.1,"cone",0,1,0.9823,0.9789
"ringnorm",4,"dropToValue",256,0.1,"rect",0.05,1,0.9822,0.987
"ringnorm",4,"dropToValue",256,0.01,"rect",0.05,1,0.9822,0.9822
"ringnorm",4,"dropToValue",512,0.1,"cone",0.05,1,0.9821,0.9751
"ringnorm",2,"dropToValue",512,0.1,"cone",0.05,1,0.9821,0.9757
"ringnorm",4,"dropToValue",512,0.01,"rect",0.05,1,0.9821,0.9784
"ringnorm",16,"dropToValue",256,0.1,"rect",0.05,1,0.9821,0.9854
"ringnorm",2,"dropToValue",1024,0.1,"rect",0.05,1,0.9821,0.9854
"ringnorm",4,"dropToValue",512,0.01,"rect",0,1,0.982,0.9811
"ringnorm",2,"dropToValue",1024,0.01,"rect",0.05,1,0.9819,0.9849
"ringnorm",3,"dropToValue",256,0.01,"rect",0.05,1,0.9819,0.9751
"ringnorm",2,"dropToValue",256,0.1,"rect",0,1,0.9819,0.9854
"ringnorm",3,"dropToValue",512,0.01,"rect",0.05,1,0.9818,0.9827
"ringnorm",8,"dropToValue",512,0.01,"cone",0,1,0.9818,0.9811
"ringnorm",8,"dropToValue",1024,0.01,"rect",0,1,0.9818,0.9805
"ringnorm",2,"dropToValue",256,0.1,"cone",0.05,1,0.9818,0.9768
"ringnorm",16,"dropToValue",1024,0.01,"cone",0,1,0.9817,0.98
"ringnorm",8,"dropToValue",1024,0.1,"rect",0.05,1,0.9817,0.9822
"ringnorm",16,"dropToValue",512,0.01,"cone",0.05,1,0.9816,0.9757
"ringnorm",2,"dropToValue",1024,0.1,"rect",0,1,0.9816,0.9832
"ringnorm",3,"dropToValue",512,0.01,"cone",0.05,1,0.9816,0.973
"ringnorm",3,"dropToValue",1024,0.1,"cone",0,1,0.9816,0.9822
"ringnorm",4,"dropToValue",256,0.01,"rect",0,1,0.9815,0.9778
"ringnorm",8,"dropToValue",256,0.1,"rect",0.05,1,0.9815,0.9805
"ringnorm",8,"dropToValue",512,0.1,"rect",0.05,1,0.9815,0.9865
"ringnorm",2,"dropToValue",512,0.1,"cone",0,1,0.9815,0.9811
"ringnorm",4,"dropToValue",512,0.1,"cone",0,1,0.9815,0.9795
"ringnorm",4,"dropToValue",512,0.1,"rect",0,1,0.9814,0.98
"ringnorm",8,"dropToValue",512,0.01,"rect",0,1,0.9814,0.9768
"ringnorm",2,"dropToValue",1024,0.01,"cone",0,1,0.9814,0.9849
"ringnorm",3,"dropToValue",256,0.01,"rect",0,1,0.9813,0.9805
"ringnorm",3,"dropToValue",256,0.1,"cone",0.05,1,0.9813,0.9789
"ringnorm",16,"dropToValue",512,0.1,"cone",0.05,1,0.9813,0.9762
"ringnorm",2,"dropToValue",1024,0.1,"cone",0,1,0.9812,0.9816
"ringnorm",4,"dropToValue",512,0.1,"rect",0.05,1,0.9811,0.9843
"ringnorm",8,"dropToValue",256,0.01,"rect",0,1,0.9809,0.9805
"ringnorm",32,"dropToValue",512,0.01,"rect",0.05,1,0.9809,0.9811
"ringnorm",2,"dropToValue",256,0.1,"cone",0,1,0.9808,0.9735
"ringnorm",2,"dropToValue",512,0.1,"rect",0,1,0.9807,0.9822
