"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"seeds",4,"dropToValue",256,0.01,"rect",0.05,1,1,0.884615421295166
"seeds",3,"dropToValue",512,0.01,"cone",0.05,1,1,0.865384697914124
"seeds",2,"dropToValue",256,0.01,"rect",0.05,1,1,0.884615421295166
"seeds",8,"dropToValue",512,0.01,"rect",0.05,1,0.995454549789429,0.923076987266541
"seeds",16,"dropToValue",256,0.01,"rect",0.05,1,0.990909099578857,0.903846204280853
"seeds",8,"dropToValue",256,0.01,"rect",0.05,1,0.990909099578857,0.903846204280853
"seeds",3,"dropToValue",256,0.01,"cone",0.05,1,0.988888895511627,0.846153855323792
"seeds",16,"dropToValue",512,0.01,"rect",0.05,1,0.986363649368286,0.884615421295166
"seeds",4,"dropToValue",512,0.01,"rect",0.05,1,0.986363649368286,0.903846204280853
"seeds",2,"dropToValue",512,0.01,"rect",0.05,1,0.986363649368286,0.923076987266541
"seeds",4,"dropToValue",512,0.01,"cone",0,1,0.983333349227905,0.96153849363327
"seeds",32,"dropToValue",512,0.01,"rect",0.05,1,0.981818199157715,0.865384638309479
"seeds",3,"dropToValue",256,0.01,"rect",0,1,0.981481486558914,0.923076987266541
"seeds",16,"dropToValue",256,0.01,"rect",0,1,0.980000019073486,0.980769276618958
"seeds",8,"dropToValue",512,0.1,"cone",0.05,1,0.980000019073486,0.884615421295166
"seeds",32,"dropToValue",256,0.01,"rect",0.05,1,0.977272748947143,0.923076987266541
"seeds",8,"dropToValue",1024,0.01,"rect",0.05,1,0.977272742986679,0.903846204280853
"seeds",8,"dropToValue",512,0.01,"cone",0,1,0.976666688919067,0.96153849363327
"seeds",4,"dropToValue",256,0.1,"cone",0.05,1,0.976666688919067,0.923076987266541
"seeds",4,"dropToValue",1024,0.01,"cone",0,1,0.973333358764648,0.96153849363327
"seeds",2,"dropToValue",256,0.1,"cone",0,1,0.973333358764648,0.942307770252228
"seeds",2,"dropToValue",512,0.1,"cone",0,1,0.973333358764648,0.903846204280853
"seeds",3,"dropToValue",1024,0.01,"cone",0.05,1,0.970370382070542,0.865384697914124
"seeds",16,"dropToValue",1024,0.01,"cone",0,1,0.970000028610229,0.942307710647583
"seeds",16,"dropToValue",512,0.1,"cone",0.05,1,0.970000028610229,0.884615480899811
"seeds",8,"dropToValue",1024,0.01,"cone",0,1,0.970000028610229,0.96153849363327
"seeds",8,"dropToValue",1024,0.1,"cone",0.05,1,0.970000028610229,0.942307770252228
"seeds",4,"dropToValue",1024,0.1,"cone",0,1,0.970000028610229,0.903846204280853
"seeds",2,"dropToValue",256,0.01,"rect",0,1,0.970000028610229,0.923076987266541
"seeds",2,"dropToValue",256,0.1,"cone",0.05,1,0.970000028610229,0.942307770252228
"seeds",2,"dropToValue",512,0.1,"cone",0.05,1,0.970000028610229,0.96153849363327
"seeds",2,"dropToValue",1024,0.01,"rect",0.05,1,0.968181848526001,0.884615421295166
"seeds",16,"dropToValue",1024,0.01,"cone",0.05,1,0.96666669845581,0.865384697914124
"seeds",16,"dropToValue",512,0.01,"cone",0,1,0.96666669845581,0.942307770252228
"seeds",8,"dropToValue",256,0.01,"cone",0.05,1,0.96666669845581,0.846153855323792
"seeds",8,"dropToValue",512,0.01,"cone",0.05,1,0.96666669845581,0.846153855323792
"seeds",8,"dropToValue",256,0.01,"cone",0,1,0.96666669845581,0.884615421295166
"seeds",8,"dropToValue",256,0.01,"rect",0,1,0.96666669845581,0.96153849363327
"seeds",4,"dropToValue",256,0.01,"cone",0,1,0.96666669845581,0.846153855323792
"seeds",2,"dropToValue",256,0.01,"cone",0.05,1,0.96666669845581,0.865384697914124
"seeds",2,"dropToValue",512,0.01,"cone",0.05,1,0.96666669845581,0.865384697914124
"seeds",2,"dropToValue",1024,0.01,"cone",0.05,1,0.96666669845581,0.846153855323792
"seeds",2,"dropToValue",256,0.01,"cone",0,1,0.96666669845581,0.846153855323792
"seeds",2,"dropToValue",512,0.01,"cone",0,1,0.96666669845581,0.865384697914124
"seeds",3,"dropToValue",512,0.01,"rect",0.05,1,0.966666680574417,0.846153855323792
"seeds",16,"dropToValue",256,0.1,"cone",0.05,1,0.963333368301391,0.884615421295166
"seeds",8,"dropToValue",512,0.01,"rect",0,1,0.963333368301391,0.942307710647583
"seeds",8,"dropToValue",256,0.1,"cone",0,1,0.963333368301391,0.96153849363327
"seeds",4,"dropToValue",1024,0.01,"cone",0.05,1,0.963333368301391,0.865384697914124
"seeds",2,"dropToValue",1024,0.1,"cone",0,1,0.963333368301391,0.942307770252228
"seeds",2,"dropToValue",512,0.1,"rect",0,1,0.963333368301391,0.980769276618958
"seeds",3,"dropToValue",256,0.01,"cone",0,1,0.962962985038758,0.846153855323792
"seeds",3,"dropToValue",512,0.01,"cone",0,1,0.962962985038758,0.846153855323792
"seeds",16,"dropToValue",1024,0.1,"cone",0.05,1,0.960000038146973,0.903846204280853
"seeds",4,"dropToValue",512,0.1,"cone",0.05,1,0.960000032186508,0.903846263885498
"seeds",4,"dropToValue",512,0.1,"cone",0,1,0.960000032186508,0.923076927661896
"seeds",3,"dropToValue",256,0.01,"rect",0.05,1,0.95925926566124,0.865384697914124
