"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"semeion",16,"dropToValue",1024,0.01,"rect",0.05,1,0.9379,0.9196
"semeion",4,"dropToValue",512,0.1,"cone",0.05,1,0.9324,0.9422
"semeion",4,"dropToValue",512,0.1,"rect",0.05,1,0.932,0.9171
"semeion",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9286,0.9422
"semeion",8,"dropToValue",256,0.01,"rect",0.05,1,0.9271,0.902
"semeion",16,"dropToValue",512,0.1,"rect",0.05,1,0.9246,0.9221
"semeion",8,"dropToValue",512,0.01,"rect",0.05,1,0.9246,0.9246
"semeion",8,"dropToValue",1024,0.1,"rect",0.05,1,0.9232,0.9322
"semeion",8,"dropToValue",1024,0.1,"cone",0.05,1,0.921,0.9447
"semeion",8,"dropToValue",256,0.1,"rect",0.05,1,0.9202,0.9271
"semeion",4,"dropToValue",256,0.1,"rect",0.05,1,0.9202,0.9322
"semeion",4,"dropToValue",256,0.1,"cone",0.05,1,0.9176,0.9497
"semeion",8,"dropToValue",256,0.1,"cone",0.05,1,0.9164,0.9573
"semeion",4,"dropToValue",1024,0.01,"cone",0.05,1,0.9164,0.9472
"semeion",2,"dropToValue",512,0.1,"cone",0.05,1,0.9145,0.9372
"semeion",2,"dropToValue",1024,0.1,"rect",0.05,1,0.9143,0.9296
"semeion",2,"dropToValue",256,0.1,"rect",0.05,1,0.9128,0.9322
"semeion",3,"dropToValue",1024,0.01,"rect",0.05,1,0.9127,0.9372
"semeion",3,"dropToValue",1024,0.1,"cone",0,1,0.9127,0.9347
"semeion",4,"dropToValue",1024,0.1,"cone",0.05,1,0.9115,0.9523
"semeion",4,"dropToValue",512,0.01,"rect",0.05,1,0.9113,0.9271
"semeion",16,"dropToValue",256,0.1,"rect",0.05,1,0.9113,0.9095
"semeion",4,"dropToValue",1024,0.1,"rect",0.05,1,0.9108,0.9271
"semeion",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9107,0.9523
"semeion",2,"dropToValue",256,0.1,"cone",0,1,0.9099,0.9422
"semeion",16,"dropToValue",256,0.01,"rect",0.05,1,0.9099,0.9121
"semeion",4,"dropToValue",1024,0.1,"cone",0,1,0.9084,0.9523
"semeion",32,"dropToValue",256,0.1,"rect",0.05,1,0.9084,0.9095
"semeion",4,"dropToValue",1024,0.1,"rect",0,1,0.9076,0.9497
"semeion",8,"dropToValue",512,0.1,"rect",0.05,1,0.9074,0.9347
"semeion",2,"dropToValue",1024,0.1,"cone",0,1,0.9073,0.9497
"semeion",4,"dropToValue",1024,0.01,"rect",0.05,1,0.9064,0.9196
"semeion",16,"dropToValue",1024,0.01,"rect",0,1,0.9046,0.9171
"semeion",3,"dropToValue",256,0.1,"rect",0.05,1,0.9045,0.9372
"semeion",16,"dropToValue",512,0.01,"rect",0.05,1,0.9039,0.9271
"semeion",3,"dropToValue",512,0.01,"rect",0.05,1,0.9036,0.9472
"semeion",2,"dropToValue",512,0.01,"cone",0,1,0.9027,0.9271
"semeion",4,"dropToValue",256,0.01,"rect",0.05,1,0.9025,0.9246
"semeion",2,"dropToValue",256,0.1,"cone",0.05,1,0.9023,0.9598
"semeion",2,"dropToValue",512,0.1,"rect",0.05,1,0.902,0.9171
"semeion",8,"dropToValue",1024,0.01,"rect",0,1,0.9015,0.9296
"semeion",2,"dropToValue",1024,0.01,"rect",0.05,1,0.9015,0.9246
"semeion",8,"dropToValue",256,0.1,"rect",0,1,0.9008,0.9422
"semeion",2,"dropToValue",256,0.1,"rect",0,1,0.9008,0.9523
"semeion",4,"dropToValue",256,0.1,"rect",0,1,0.9008,0.9347
"semeion",4,"dropToValue",512,0.1,"rect",0,1,0.9008,0.9548
"semeion",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9005,0.9271
"semeion",3,"dropToValue",512,0.1,"cone",0.05,1,0.9005,0.9296
"semeion",2,"dropToValue",1024,0.1,"rect",0,1,0.9004,0.9422
"semeion",2,"dropToValue",1024,0.01,"cone",0,1,0.9,0.9422
"semeion",3,"dropToValue",512,0.1,"cone",0,1,0.8995,0.9372
"semeion",4,"dropToValue",512,0.1,"cone",0,1,0.8989,0.9523
"semeion",3,"dropToValue",512,0.1,"rect",0.05,1,0.8986,0.9372
"semeion",4,"dropToValue",1024,0.01,"cone",0,1,0.8969,0.9271
"semeion",2,"dropToValue",1024,0.01,"cone",0.05,1,0.8969,0.9422
"semeion",2,"dropToValue",256,0.01,"rect",0.05,1,0.8966,0.9246
"semeion",3,"dropToValue",1024,0.1,"rect",0.05,1,0.8964,0.9598
"semeion",3,"dropToValue",1024,0.1,"rect",0,1,0.8959,0.9472
"semeion",2,"dropToValue",512,0.01,"rect",0.05,1,0.8956,0.9221
"semeion",3,"dropToValue",256,0.01,"rect",0.05,1,0.8955,0.9372
"semeion",3,"dropToValue",256,0.1,"cone",0,1,0.8955,0.9246
"semeion",3,"dropToValue",512,0.1,"rect",0,1,0.8955,0.9271
"semeion",2,"dropToValue",512,0.1,"rect",0,1,0.8954,0.9447
"semeion",2,"dropToValue",1024,0.01,"rect",0,1,0.8954,0.9322
"semeion",8,"dropToValue",512,0.1,"cone",0.05,1,0.8943,0.9472
"semeion",3,"dropToValue",1024,0.1,"cone",0.05,1,0.8941,0.9573
"semeion",16,"dropToValue",1024,0.1,"cone",0.05,1,0.8935,0.9221
"semeion",8,"dropToValue",1024,0.01,"cone",0,1,0.8931,0.9322
"semeion",16,"dropToValue",512,0.1,"cone",0,1,0.8927,0.9221
"semeion",2,"dropToValue",512,0.1,"cone",0,1,0.8924,0.9397
"semeion",8,"dropToValue",1024,0.01,"cone",0.05,1,0.8924,0.9296
"semeion",4,"dropToValue",512,0.01,"cone",0.05,1,0.892,0.9347
"semeion",4,"dropToValue",256,0.01,"rect",0,1,0.892,0.9045
"semeion",3,"dropToValue",512,0.01,"cone",0.05,1,0.8909,0.9146
"semeion",3,"dropToValue",256,0.01,"cone",0,1,0.8909,0.9322
"semeion",8,"dropToValue",512,0.1,"rect",0,1,0.8908,0.9523
"semeion",2,"dropToValue",512,0.01,"cone",0.05,1,0.8901,0.9271
"semeion",3,"dropToValue",256,0.1,"rect",0,1,0.8886,0.9196
"semeion",3,"dropToValue",256,0.01,"cone",0.05,1,0.8882,0.9296
"semeion",32,"dropToValue",512,0.01,"rect",0.05,1,0.8877,0.9171
"semeion",3,"dropToValue",512,0.01,"rect",0,1,0.8864,0.9322
"semeion",4,"dropToValue",512,0.01,"rect",0,1,0.8863,0.9196
"semeion",2,"dropToValue",512,0.01,"rect",0,1,0.8859,0.9171
"semeion",16,"dropToValue",512,0.01,"rect",0,1,0.8855,0.9095
"semeion",4,"dropToValue",256,0.01,"cone",0,1,0.8855,0.9322
"semeion",16,"dropToValue",512,0.1,"cone",0.05,1,0.8847,0.9322
"semeion",3,"dropToValue",1024,0.01,"rect",0,1,0.8818,0.9372
"semeion",8,"dropToValue",256,0.01,"rect",0,1,0.8817,0.9121
"semeion",4,"dropToValue",512,0.01,"cone",0,1,0.8817,0.9296
"semeion",4,"dropToValue",1024,0.01,"rect",0,1,0.8817,0.9523
"semeion",16,"dropToValue",1024,0.1,"cone",0,1,0.8817,0.9397
"semeion",2,"dropToValue",256,0.01,"rect",0,1,0.8817,0.9246
"semeion",3,"dropToValue",1024,0.01,"cone",0,1,0.8814,0.9296
"semeion",2,"dropToValue",256,0.01,"cone",0.05,1,0.8779,0.9447
"semeion",4,"dropToValue",256,0.1,"cone",0,1,0.8779,0.9347
"semeion",3,"dropToValue",256,0.01,"rect",0,1,0.8773,0.9347
"semeion",16,"dropToValue",256,0.1,"cone",0.05,1,0.8752,0.8643
"semeion",8,"dropToValue",512,0.1,"cone",0,1,0.8752,0.9196
"semeion",3,"dropToValue",512,0.01,"cone",0,1,0.8741,0.9196
"semeion",3,"dropToValue",256,0.1,"cone",0.05,1,0.8732,0.9322
"semeion",8,"dropToValue",1024,0.1,"cone",0,1,0.871,0.9271
"semeion",8,"dropToValue",256,0.1,"cone",0,1,0.8706,0.8995
"semeion",4,"dropToValue",256,0.01,"cone",0.05,1,0.8698,0.9347
"semeion",32,"dropToValue",1024,0.01,"rect",0,1,0.8683,0.8869
"semeion",8,"dropToValue",512,0.01,"rect",0,1,0.8664,0.9246
"semeion",8,"dropToValue",512,0.01,"cone",0.05,1,0.8656,0.9196
"semeion",2,"dropToValue",256,0.01,"cone",0,1,0.8622,0.9095
"semeion",32,"dropToValue",512,0.01,"rect",0,1,0.855,0.8945
"semeion",32,"dropToValue",1024,0.01,"rect",0.05,1,0.8502,0.907
"semeion",8,"dropToValue",512,0.01,"cone",0,1,0.8458,0.8844
"semeion",16,"dropToValue",1024,0.01,"cone",0.05,1,0.8412,0.8819
"semeion",8,"dropToValue",256,0.01,"cone",0,1,0.8401,0.9095
"semeion",16,"dropToValue",256,0.1,"cone",0,1,0.8397,0.897
"semeion",16,"dropToValue",1024,0.01,"cone",0,1,0.8397,0.897
"semeion",16,"dropToValue",256,0.01,"rect",0,1,0.8309,0.8769
"semeion",8,"dropToValue",256,0.01,"cone",0.05,1,0.8176,0.907
"semeion",32,"dropToValue",256,0.01,"rect",0.05,1,0.8123,0.8643
"semeion",16,"dropToValue",512,0.01,"cone",0,1,0.8092,0.8492
"semeion",32,"dropToValue",256,0.01,"rect",0,1,0.7977,0.8392
"semeion",16,"dropToValue",256,0.01,"cone",0,1,0.7885,0.8367
"semeion",32,"dropToValue",1024,0.01,"cone",0,1,0.7798,0.809
"semeion",32,"dropToValue",512,0.01,"cone",0,1,0.7595,0.7588
"semeion",16,"dropToValue",512,0.01,"cone",0.05,1,0.724,0.7789
"semeion",16,"dropToValue",256,0.01,"cone",0.05,1,0.6813,0.7312
"semeion",32,"dropToValue",256,0.01,"cone",0,1,0.6328,0.6834
"semeion",32,"dropToValue",512,0.1,"cone",0,1,0.5221,0.4799
"semeion",32,"dropToValue",256,0.1,"cone",0,1,0.4118,0.5176
"semeion",32,"dropToValue",1024,0.1,"cone",0,1,0.3244,0.2613
"semeion",32,"dropToValue",512,0.1,"cone",0.05,1,0.3221,0.3241
"semeion",32,"dropToValue",1024,0.01,"cone",0.05,1,0.2553,0.3116
"semeion",32,"dropToValue",512,0.01,"cone",0.05,1,0.2073,0.1834
"semeion",32,"dropToValue",256,0.1,"cone",0.05,1,0.2027,0.1859
"semeion",32,"dropToValue",256,0.01,"cone",0.05,1,0.1912,0.1935
"semeion",32,"dropToValue",256,1,"cone",0.05,1,0.1775,0.1985
"semeion",32,"dropToValue",1024,0.1,"cone",0.05,1,0.1641,0.1859
"semeion",32,"dropToValue",512,1,"cone",0.05,1,0.1531,0.1809
"semeion",16,"dropToValue",256,1,"cone",0.05,1,0.129,0.2588
"semeion",3,"dropToValue",256,1,"cone",0.05,1,0.1268,0.1005
"semeion",32,"dropToValue",512,0.1,"rect",0.05,1,0.1212,0.1005
"semeion",3,"dropToValue",512,1,"cone",0,1,0.1136,0.1131
"semeion",8,"dropToValue",1024,0.1,"rect",0,1,0.1103,0.1005
"semeion",16,"dropToValue",1024,0.1,"rect",0.05,1,0.1079,0.1005
"semeion",8,"dropToValue",256,1,"cone",0,1,0.1061,0.098
"semeion",16,"dropToValue",256,0.1,"rect",0,1,0.1053,0.1005
"semeion",2,"dropToValue",512,1,"cone",0.05,1,0.1038,0.098
"semeion",16,"dropToValue",1024,1,"cone",0.05,1,0.1031,0.1005
"semeion",3,"dropToValue",1024,1,"cone",0.05,1,0.1,0.0955
"semeion",32,"dropToValue",1024,0.1,"rect",0.05,1,0.0966,0.1005
"semeion",2,"dropToValue",256,1,"rect",0.05,1,0.0966,0.1005
"semeion",2,"dropToValue",1024,1,"rect",0.05,1,0.0956,0.1005
"semeion",2,"dropToValue",1024,1,"cone",0.05,1,0.0954,0.1005
"semeion",2,"dropToValue",512,1,"rect",0.05,1,0.0951,0.1005
"semeion",2,"dropToValue",256,1,"cone",0,1,0.0947,0.1005
"semeion",16,"dropToValue",256,1,"rect",0.05,1,0.0936,0.1005
"semeion",32,"dropToValue",256,1,"rect",0.05,1,0.0936,0.1005
"semeion",4,"dropToValue",512,1,"rect",0.05,1,0.0936,0.1005
"semeion",32,"dropToValue",1024,1,"rect",0.05,1,0.0936,0.1005
"semeion",4,"dropToValue",1024,1,"rect",0.05,1,0.0936,0.1005
"semeion",16,"dropToValue",512,1,"rect",0.05,1,0.0936,0.1005
"semeion",16,"dropToValue",1024,1,"rect",0.05,1,0.0936,0.1005
"semeion",8,"dropToValue",256,1,"rect",0.05,1,0.0936,0.1005
"semeion",8,"dropToValue",1024,1,"rect",0.05,1,0.0936,0.1005
"semeion",32,"dropToValue",512,1,"rect",0.05,1,0.0936,0.1005
"semeion",8,"dropToValue",512,1,"rect",0.05,1,0.0936,0.1005
"semeion",4,"dropToValue",256,1,"rect",0.05,1,0.0936,0.1005
"semeion",32,"dropToValue",1024,1,"cone",0.05,1,0.0931,0.1005
"semeion",2,"dropToValue",256,1,"rect",0,1,0.092,0.1005
"semeion",8,"dropToValue",256,1,"cone",0.05,1,0.0916,0.1005
"semeion",4,"dropToValue",1024,1,"cone",0.05,1,0.0912,0.1005
"semeion",16,"dropToValue",512,1,"cone",0.05,1,0.0893,0.1005
"semeion",2,"dropToValue",1024,1,"cone",0,1,0.0889,0.1005
"semeion",32,"dropToValue",512,0.1,"rect",0,1,0.0878,0.1005
"semeion",32,"dropToValue",512,1,"cone",0,1,0.0878,0.1005
"semeion",32,"dropToValue",256,1,"rect",0,1,0.0878,0.1005
"semeion",32,"dropToValue",512,1,"rect",0,1,0.0878,0.1005
"semeion",16,"dropToValue",512,0.1,"rect",0,1,0.0878,0.1005
"semeion",16,"dropToValue",1024,0.1,"rect",0,1,0.0878,0.1005
"semeion",16,"dropToValue",256,1,"cone",0,1,0.0878,0.1005
"semeion",16,"dropToValue",1024,1,"cone",0,1,0.0878,0.1005
"semeion",16,"dropToValue",1024,1,"rect",0,1,0.0878,0.1005
"semeion",8,"dropToValue",256,1,"rect",0,1,0.0878,0.1005
"semeion",8,"dropToValue",1024,1,"rect",0,1,0.0878,0.1005
"semeion",4,"dropToValue",256,1,"cone",0.05,1,0.0878,0.1005
"semeion",4,"dropToValue",256,1,"rect",0,1,0.0878,0.1005
"semeion",2,"dropToValue",256,1,"cone",0.05,1,0.0878,0.1005
