"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"soybean",16,"dropToValue",512,0.1,"cone",0,1,0.9491525888443,0.851063847541809
"soybean",8,"dropToValue",256,0.01,"rect",0,1,0.9491525888443,0.890957355499268
"soybean",2,"dropToValue",1024,0.1,"cone",0,1,0.944067817926407,0.88829779624939
"soybean",4,"dropToValue",512,0.1,"rect",0.05,1,0.940677946805954,0.888297915458679
"soybean",16,"dropToValue",1024,0.01,"cone",0,1,0.933898335695267,0.872340321540833
"soybean",4,"dropToValue",1024,0.1,"cone",0,1,0.932203418016434,0.890957355499268
"soybean",2,"dropToValue",512,0.1,"cone",0,1,0.92033903002739,0.890957474708557
"soybean",2,"dropToValue",1024,0.1,"cone",0.05,1,0.920339018106461,0.896276593208313
"soybean",4,"dropToValue",1024,0.01,"rect",0,1,0.920339012145996,0.917553186416626
"soybean",4,"dropToValue",256,0.1,"cone",0,1,0.920339012145996,0.872340440750122
"soybean",8,"dropToValue",1024,0.1,"cone",0.05,1,0.920338988304138,0.89361697435379
"soybean",4,"dropToValue",256,0.1,"rect",0,1,0.920338988304138,0.885638236999512
"soybean",2,"dropToValue",512,0.1,"rect",0,1,0.916949194669724,0.898936152458191
"soybean",4,"dropToValue",1024,0.1,"rect",0.05,1,0.916949182748795,0.882978677749634
"soybean",2,"dropToValue",512,0.1,"cone",0.05,1,0.915254282951355,0.896276593208313
"soybean",16,"dropToValue",1024,0.01,"rect",0,1,0.915254235267639,0.875
"soybean",8,"dropToValue",512,0.1,"cone",0,1,0.915254235267639,0.877659559249878
"soybean",2,"dropToValue",256,0.1,"rect",0.05,1,0.913559359312058,0.904255270957947
"soybean",2,"dropToValue",256,0.1,"cone",0,1,0.9135593354702,0.877659559249878
"soybean",8,"dropToValue",1024,0.01,"cone",0,1,0.913559323549271,0.890957415103912
"soybean",8,"dropToValue",256,0.1,"rect",0,1,0.913559317588806,0.83776593208313
"soybean",4,"dropToValue",1024,0.01,"rect",0.05,1,0.911864429712296,0.893617033958435
"soybean",4,"dropToValue",512,0.1,"rect",0,1,0.911864405870438,0.882978677749634
"soybean",4,"dropToValue",256,0.1,"cone",0.05,1,0.910169517993927,0.898936152458191
"soybean",16,"dropToValue",1024,0.01,"rect",0.05,1,0.910169500112534,0.893617033958435
"soybean",2,"dropToValue",1024,0.1,"rect",0,1,0.91016948223114,0.882978677749634
"soybean",2,"dropToValue",1024,0.1,"rect",0.05,1,0.908474606275559,0.893617033958435
"soybean",32,"dropToValue",1024,0.01,"rect",0.05,1,0.90847459435463,0.877659559249878
"soybean",8,"dropToValue",512,0.1,"rect",0.05,1,0.906779676675797,0.885638236999512
"soybean",8,"dropToValue",512,0.01,"rect",0,1,0.906779658794403,0.893617033958435
"soybean",4,"dropToValue",512,0.01,"rect",0,1,0.906779658794403,0.904255270957947
"soybean",8,"dropToValue",256,0.01,"cone",0,1,0.905084753036499,0.856382966041565
"soybean",16,"dropToValue",256,0.01,"rect",0.05,1,0.905084747076035,0.83776593208313
"soybean",8,"dropToValue",256,0.1,"rect",0.05,1,0.90338985323906,0.885638236999512
"soybean",16,"dropToValue",512,0.01,"rect",0.05,1,0.901694929599762,0.91223406791687
"soybean",8,"dropToValue",1024,0.01,"rect",0.05,1,0.900000029802323,0.91223406791687
"soybean",8,"dropToValue",512,0.01,"rect",0.05,1,0.900000017881394,0.904255270957947
"soybean",4,"dropToValue",1024,0.1,"rect",0,1,0.900000005960465,0.872340321540833
"soybean",4,"dropToValue",512,0.1,"cone",0.05,1,0.898305130004883,0.896276593208313
"soybean",2,"dropToValue",256,0.01,"cone",0.05,1,0.898305118083954,0.898936152458191
"soybean",2,"dropToValue",1024,0.01,"rect",0.05,1,0.898305118083954,0.904255270957947
"soybean",2,"dropToValue",256,0.01,"rect",0,1,0.898305118083954,0.890957415103912
"soybean",2,"dropToValue",512,0.01,"rect",0,1,0.898305118083954,0.901595711708069
"soybean",2,"dropToValue",1024,0.01,"rect",0,1,0.898305118083954,0.904255270957947
"soybean",16,"dropToValue",256,0.01,"rect",0,1,0.898305058479309,0.864361643791199
"soybean",4,"dropToValue",1024,0.1,"cone",0.05,1,0.894915276765823,0.898936152458191
"soybean",16,"dropToValue",256,0.1,"cone",0,1,0.894915270805359,0.848404228687286
"soybean",8,"dropToValue",256,0.1,"cone",0,1,0.894915264844895,0.877659618854523
"soybean",8,"dropToValue",1024,0.1,"cone",0,1,0.894915223121643,0.877659559249878
"soybean",4,"dropToValue",256,0.01,"cone",0,1,0.893220382928848,0.904255270957947
"soybean",2,"dropToValue",512,0.1,"rect",0.05,1,0.893220347166062,0.904255270957947
"soybean",4,"dropToValue",256,0.1,"rect",0.05,1,0.893220341205597,0.893616914749146
"soybean",4,"dropToValue",512,0.01,"cone",0,1,0.893220323324204,0.893617033958435
"soybean",2,"dropToValue",512,0.01,"rect",0.05,1,0.889830559492111,0.896276533603668
"soybean",8,"dropToValue",512,0.01,"cone",0,1,0.889830541610718,0.856382966041565
"soybean",8,"dropToValue",1024,0.01,"rect",0,1,0.889830499887467,0.885638236999512
"soybean",4,"dropToValue",512,0.1,"cone",0,1,0.889830487966538,0.861702084541321
"soybean",4,"dropToValue",512,0.01,"rect",0.05,1,0.888135647773743,0.898936152458191
"soybean",8,"dropToValue",512,0.1,"cone",0.05,1,0.888135582208634,0.890957415103912
"soybean",8,"dropToValue",256,0.01,"rect",0.05,1,0.886440706253052,0.896276593208313
"soybean",16,"dropToValue",1024,0.1,"cone",0,1,0.884745782613754,0.869680821895599
"soybean",16,"dropToValue",256,0.1,"rect",0.05,1,0.883050853013992,0.885638236999512
"soybean",4,"dropToValue",1024,0.01,"cone",0.05,1,0.881356000900269,0.896276533603668
"soybean",4,"dropToValue",256,0.01,"rect",0.05,1,0.881356000900269,0.890957415103912
"soybean",2,"dropToValue",512,0.01,"cone",0.05,1,0.881356000900269,0.89361697435379
"soybean",2,"dropToValue",1024,0.01,"cone",0.05,1,0.881356000900269,0.898936152458191
"soybean",2,"dropToValue",256,0.01,"rect",0.05,1,0.881356000900269,0.898936152458191
"soybean",2,"dropToValue",512,0.01,"cone",0,1,0.881356000900269,0.896276533603668
"soybean",2,"dropToValue",256,0.1,"cone",0.05,1,0.881356000900269,0.901595711708069
"soybean",8,"dropToValue",256,0.1,"cone",0.05,1,0.881355941295624,0.885638236999512
"soybean",32,"dropToValue",512,0.01,"rect",0,1,0.881355881690979,0.861702144145966
"soybean",32,"dropToValue",1024,0.01,"rect",0,1,0.881355881690979,0.853723406791687
"soybean",3,"dropToValue",512,0.01,"rect",0.05,1,0.880555558204651,0.875
"soybean",32,"dropToValue",512,0.01,"cone",0,1,0.87966098189354,0.803191423416138
"soybean",4,"dropToValue",256,0.01,"rect",0,1,0.877966165542603,0.88829779624939
"soybean",3,"dropToValue",512,0.01,"rect",0,1,0.877777808904648,0.869680821895599
"soybean",3,"dropToValue",256,0.01,"rect",0.05,1,0.877777773141861,0.882978677749634
"soybean",2,"dropToValue",256,0.1,"rect",0,1,0.874576300382614,0.885638296604156
"soybean",3,"dropToValue",1024,0.1,"cone",0.05,1,0.873611116409302,0.869680821895599
"soybean",3,"dropToValue",1024,0.01,"cone",0,1,0.87083335518837,0.859042525291443
"soybean",3,"dropToValue",1024,0.01,"rect",0,1,0.868055593967438,0.874999940395355
"soybean",16,"dropToValue",1024,0.1,"cone",0.05,1,0.867796629667282,0.898936152458191
"soybean",8,"dropToValue",1024,0.01,"cone",0.05,1,0.864406824111938,0.888297855854034
"soybean",4,"dropToValue",512,0.01,"cone",0.05,1,0.864406824111938,0.890957415103912
"soybean",2,"dropToValue",1024,0.01,"cone",0,1,0.864406824111938,0.885638296604156
"soybean",16,"dropToValue",512,0.01,"rect",0,1,0.864406764507294,0.867021203041077
"soybean",16,"dropToValue",256,0.01,"cone",0,1,0.862711852788925,0.867021262645721
"soybean",3,"dropToValue",1024,0.01,"cone",0.05,1,0.861111104488373,0.885638296604156
"soybean",16,"dropToValue",512,0.1,"cone",0.05,1,0.857627141475678,0.845744609832764
"soybean",3,"dropToValue",256,0.1,"rect",0.05,1,0.856944441795349,0.896276593208313
"soybean",3,"dropToValue",1024,0.01,"rect",0.05,1,0.855555552244187,0.880319178104401
"soybean",16,"dropToValue",256,0.1,"cone",0.05,1,0.854237294197083,0.805850982666016
"soybean",4,"dropToValue",1024,0.01,"cone",0,1,0.854237294197083,0.901595711708069
"soybean",3,"dropToValue",256,0.1,"cone",0,1,0.854166686534882,0.880319118499756
"soybean",3,"dropToValue",256,0.1,"cone",0.05,1,0.851388913393021,0.880319118499756
"soybean",3,"dropToValue",1024,0.1,"cone",0,1,0.850000005960465,0.89361697435379
"soybean",32,"dropToValue",256,0.01,"cone",0,1,0.847457647323608,0.803191483020782
"soybean",3,"dropToValue",1024,0.1,"rect",0.05,1,0.843055558204651,0.885638236999512
"soybean",3,"dropToValue",1024,0.1,"rect",0,1,0.843055540323257,0.869680821895599
"soybean",3,"dropToValue",512,0.1,"cone",0.05,1,0.840277802944183,0.898936152458191
"soybean",3,"dropToValue",256,0.01,"rect",0,1,0.836111146211624,0.861702084541321
"soybean",3,"dropToValue",256,0.1,"rect",0,1,0.836111098527908,0.880319118499756
"soybean",3,"dropToValue",512,0.01,"cone",0.05,1,0.834722250699997,0.859042525291443
"soybean",3,"dropToValue",512,0.1,"cone",0,1,0.834722226858139,0.877659559249878
"soybean",3,"dropToValue",512,0.1,"rect",0,1,0.833333349227905,0.875
"soybean",8,"dropToValue",256,0.01,"cone",0.05,1,0.823728859424591,0.861702084541321
"soybean",3,"dropToValue",512,0.1,"rect",0.05,1,0.822222226858139,0.877659559249878
"soybean",32,"dropToValue",256,0.01,"rect",0,1,0.813559293746948,0.827127635478973
"soybean",3,"dropToValue",256,0.01,"cone",0,1,0.809722232818604,0.856382966041565
"soybean",3,"dropToValue",512,0.01,"cone",0,1,0.809722220897674,0.875
"soybean",3,"dropToValue",256,0.01,"cone",0.05,1,0.808333337306976,0.840425491333008
"soybean",32,"dropToValue",1024,0.01,"cone",0,1,0.803389823436737,0.840425491333008
"soybean",16,"dropToValue",512,0.01,"cone",0,1,0.801694869995117,0.835106372833252
"soybean",4,"dropToValue",256,0.01,"cone",0.05,1,0.796610176563263,0.867021262645721
"soybean",8,"dropToValue",512,0.01,"cone",0.05,1,0.794915264844894,0.88829779624939
"soybean",16,"dropToValue",1024,0.01,"cone",0.05,1,0.789830529689789,0.856382966041565
"soybean",2,"dropToValue",256,0.01,"cone",0,1,0.784745794534683,0.875
"soybean",32,"dropToValue",512,0.01,"rect",0.05,1,0.764406800270081,0.827127635478973
"soybean",16,"dropToValue",256,0.01,"cone",0.05,1,0.637288117408753,0.726063847541809
"soybean",32,"dropToValue",256,0.01,"rect",0.05,1,0.58474577665329,0.611702144145966
"soybean",16,"dropToValue",512,0.01,"cone",0.05,1,0.525423765182495,0.494680881500244
"soybean",32,"dropToValue",512,0.1,"cone",0.05,1,0.371186438202858,0.329787224531174
"soybean",32,"dropToValue",1024,0.1,"cone",0.05,1,0.361016950011253,0.324468106031418
"soybean",32,"dropToValue",1024,0.1,"cone",0,1,0.315254241228104,0.417553216218948
"soybean",32,"dropToValue",256,0.1,"cone",0.05,1,0.313559320569038,0.303191483020782
"soybean",32,"dropToValue",1024,0.01,"cone",0.05,1,0.308474573493004,0.337765961885452
"soybean",32,"dropToValue",512,0.01,"cone",0.05,1,0.261016955971718,0.228723421692848
"soybean",32,"dropToValue",256,0.01,"cone",0.05,1,0.254237294197083,0.263297885656357
"soybean",32,"dropToValue",512,0.1,"cone",0,1,0.232203386723995,0.364361703395844
"soybean",32,"dropToValue",256,0.1,"cone",0,1,0.227118644118309,0.140957444906235
"soybean",2,"dropToValue",256,1,"cone",0.05,1,0.169491526857019,0.0664893612265587
"soybean",2,"dropToValue",1024,1,"cone",0,1,0.0847457647323609,0.0638297870755196
"soybean",2,"dropToValue",512,1,"cone",0.05,1,0.0711864426732063,0.0664893612265587
"soybean",32,"dropToValue",256,0.1,"rect",0.05,1,0.0711864400655031,0.0664893612265587
"soybean",3,"dropToValue",1024,1,"cone",0.05,1,0.0680555563420057,0.0638297870755196
"soybean",8,"dropToValue",512,0.1,"rect",0,1,0.0677966106683016,0.0664893612265587
"soybean",8,"dropToValue",1024,0.1,"rect",0.05,1,0.0677966099232435,0.0664893612265587
"soybean",3,"dropToValue",256,1,"cone",0,1,0.0638888906687498,0.0664893612265587
"soybean",2,"dropToValue",256,1,"cone",0,1,0.0610169507563114,0.0664893612265587
"soybean",3,"dropToValue",256,1,"cone",0.05,1,0.0597222238779068,0.0664893612265587
"soybean",2,"dropToValue",1024,1,"rect",0,1,0.0542372893542051,0.0664893612265587
"soybean",3,"dropToValue",512,1,"cone",0.05,1,0.0541666682809591,0.0664893612265587
"soybean",3,"dropToValue",512,1,"rect",0.05,1,0.0527777802199125,0.0664893612265587
"soybean",3,"dropToValue",256,1,"rect",0.05,1,0.0500000011175871,0.0664893612265587
"soybean",3,"dropToValue",512,1,"rect",0,1,0.0500000011175871,0.0664893612265587
"soybean",2,"dropToValue",1024,1,"cone",0.05,1,0.045762711763382,0.0664893612265587
"soybean",3,"dropToValue",1024,1,"cone",0,1,0.0444444458931684,0.0664893612265587
"soybean",32,"dropToValue",512,0.1,"rect",0.05,1,0.0440677966922522,0.0664893612265587
"soybean",4,"dropToValue",512,1,"cone",0.05,1,0.0440677966922522,0.0664893612265587
"soybean",4,"dropToValue",512,1,"cone",0,1,0.0440677966922522,0.0664893612265587
"soybean",2,"dropToValue",256,1,"rect",0,1,0.0440677963197231,0.0664893612265587
"soybean",8,"dropToValue",512,1,"cone",0.05,1,0.0423728812485933,0.0664893612265587
"soybean",4,"dropToValue",1024,1,"cone",0.05,1,0.0423728812485933,0.0664893612265587
"soybean",4,"dropToValue",256,1,"rect",0,1,0.0423728812485933,0.0664893612265587
"soybean",2,"dropToValue",512,1,"rect",0,1,0.0423728812485933,0.0664893612265587
"soybean",3,"dropToValue",1024,1,"rect",0.05,1,0.0416666679084301,0.0664893612265587
"soybean",3,"dropToValue",512,1,"cone",0,1,0.0416666679084301,0.0664893612265587
"soybean",3,"dropToValue",256,1,"rect",0,1,0.0416666679084301,0.0664893612265587
"soybean",3,"dropToValue",1024,1,"rect",0,1,0.0416666679084301,0.0664893612265587
"soybean",2,"dropToValue",512,1,"cone",0,1,0.0406779661774635,0.0664893612265587
"soybean",32,"dropToValue",512,1,"cone",0.05,1,0.0406779658049345,0.0664893612265587
"soybean",16,"dropToValue",256,0.1,"rect",0,1,0.0406779658049345,0.0664893612265587
"soybean",16,"dropToValue",512,0.1,"rect",0.05,1,0.0372881352901459,0.0664893612265587
"soybean",32,"dropToValue",256,0.1,"rect",0,1,0.0355932202190161,0.0664893612265587
"soybean",16,"dropToValue",1024,0.1,"rect",0.05,1,0.0355932202190161,0.0664893612265587
"soybean",4,"dropToValue",256,1,"cone",0.05,1,0.0355932202190161,0.0664893612265587
"soybean",2,"dropToValue",512,1,"rect",0.05,1,0.0355932202190161,0.0664893612265587
"soybean",32,"dropToValue",1024,0.1,"rect",0.05,1,0.0338983051478863,0.0664893612265587
"soybean",32,"dropToValue",512,0.1,"rect",0,1,0.0338983051478863,0.0664893612265587
"soybean",32,"dropToValue",1024,0.1,"rect",0,1,0.0338983051478863,0.0664893612265587
"soybean",32,"dropToValue",256,1,"cone",0.05,1,0.0338983051478863,0.0664893612265587
"soybean",32,"dropToValue",1024,1,"cone",0.05,1,0.0338983051478863,0.0664893612265587
