"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"spambase",3,"dropToValue",512,0.1,"rect",0,1,0.937122344970703,0.940869569778442
"spambase",3,"dropToValue",1024,0.01,"rect",0,1,0.936834573745728,0.941739201545715
"spambase",32,"dropToValue",1024,0.01,"rect",0,1,0.936827611923218,0.943478345870972
"spambase",3,"dropToValue",1024,0.1,"rect",0,1,0.936690682172775,0.940869629383087
"spambase",8,"dropToValue",256,0.1,"rect",0,1,0.935724180936813,0.940000057220459
"spambase",16,"dropToValue",1024,0.01,"rect",0,1,0.934620720148087,0.935652315616608
"spambase",4,"dropToValue",1024,0.1,"cone",0,1,0.934620714187622,0.93739128112793
"spambase",32,"dropToValue",512,0.01,"rect",0,1,0.932965552806854,0.938260912895203
"spambase",8,"dropToValue",256,0.1,"cone",0,1,0.93296554684639,0.937391340732574
"spambase",16,"dropToValue",1024,0.01,"cone",0,1,0.93282762169838,0.940000057220459
"spambase",3,"dropToValue",256,1,"cone",0.05,1,0.932518029212952,0.939999997615814
"spambase",16,"dropToValue",512,0.1,"cone",0,1,0.931862103939057,0.936521768569946
"spambase",8,"dropToValue",1024,0.01,"rect",0,1,0.93144833445549,0.941739082336426
"spambase",3,"dropToValue",1024,0.1,"rect",0.05,1,0.931223076581955,0.941739201545715
"spambase",16,"dropToValue",1024,0.1,"cone",0,1,0.931172448396683,0.93217396736145
"spambase",16,"dropToValue",256,0.1,"cone",0,1,0.931172442436218,0.943478286266327
"spambase",3,"dropToValue",512,0.1,"cone",0,1,0.930935329198838,0.940000057220459
"spambase",16,"dropToValue",512,0.01,"rect",0,1,0.930896610021591,0.93478262424469
"spambase",3,"dropToValue",256,0.1,"rect",0,1,0.930791407823563,0.936521768569946
"spambase",8,"dropToValue",1024,0.1,"cone",0.05,1,0.930620741844177,0.928695797920227
"spambase",2,"dropToValue",256,0.1,"rect",0.05,1,0.930206942558289,0.93217396736145
"spambase",4,"dropToValue",1024,0.1,"rect",0,1,0.93006900548935,0.940869688987732
"spambase",3,"dropToValue",1024,0.1,"cone",0,1,0.929928082227707,0.939130485057831
"spambase",3,"dropToValue",256,0.1,"rect",0.05,1,0.929784226417542,0.936521768569946
"spambase",8,"dropToValue",1024,0.01,"cone",0,1,0.92965521812439,0.938260912895203
"spambase",2,"dropToValue",1024,0.01,"cone",0.05,1,0.92951728105545,0.93478262424469
"spambase",32,"dropToValue",256,0.01,"rect",0,1,0.929379338026047,0.930434882640839
"spambase",2,"dropToValue",256,0.01,"rect",0.05,1,0.929379338026047,0.93478262424469
"spambase",8,"dropToValue",1024,0.1,"cone",0,1,0.929103475809097,0.941739201545715
"spambase",2,"dropToValue",256,0.01,"cone",0.05,1,0.928827631473541,0.933913111686707
"spambase",4,"dropToValue",512,0.01,"rect",0.05,1,0.928827613592148,0.934782743453979
"spambase",2,"dropToValue",1024,0.01,"cone",0,1,0.928689712285996,0.933043479919434
"spambase",3,"dropToValue",1024,0.1,"cone",0.05,1,0.928633153438568,0.938260912895203
"spambase",4,"dropToValue",1024,0.01,"rect",0.05,1,0.928551787137985,0.93478262424469
"spambase",2,"dropToValue",512,0.1,"rect",0.05,1,0.928551781177521,0.935652136802673
"spambase",3,"dropToValue",512,0.1,"rect",0.05,1,0.928489261865616,0.941739141941071
"spambase",2,"dropToValue",256,0.01,"cone",0,1,0.928137969970703,0.933043479919434
"spambase",8,"dropToValue",512,0.01,"rect",0,1,0.927724158763886,0.938260972499847
"spambase",4,"dropToValue",512,0.01,"cone",0.05,1,0.927448332309723,0.933043539524078
"spambase",2,"dropToValue",512,0.01,"rect",0,1,0.927448326349258,0.93217396736145
"spambase",2,"dropToValue",1024,0.01,"rect",0.05,1,0.927172487974167,0.934782743453979
"spambase",4,"dropToValue",256,0.01,"rect",0.05,1,0.927172458171844,0.933912992477417
"spambase",32,"dropToValue",1024,0.01,"cone",0,1,0.927034509181976,0.931304335594177
"spambase",4,"dropToValue",1024,0.01,"cone",0.05,1,0.926896578073502,0.931304335594177
"spambase",32,"dropToValue",512,0.01,"cone",0,1,0.926758646965027,0.929565250873566
"spambase",2,"dropToValue",512,0.1,"cone",0,1,0.926620721817017,0.940869688987732
"spambase",2,"dropToValue",1024,0.01,"rect",0,1,0.92634488940239,0.935652256011963
"spambase",8,"dropToValue",512,0.01,"cone",0.05,1,0.926344871520996,0.928695678710938
"spambase",8,"dropToValue",256,1,"cone",0.05,1,0.926344853639603,0.936521887779236
"spambase",4,"dropToValue",512,0.1,"cone",0,1,0.926069003343582,0.933043599128723
"spambase",16,"dropToValue",256,0.01,"cone",0,1,0.926068997383118,0.933043479919434
"spambase",3,"dropToValue",256,0.1,"cone",0,1,0.926043200492859,0.938260912895203
"spambase",4,"dropToValue",256,0.01,"cone",0.05,1,0.92579317688942,0.933913111686707
"spambase",4,"dropToValue",512,0.1,"rect",0.05,1,0.925793153047562,0.930434823036194
"spambase",2,"dropToValue",256,0.1,"cone",0.05,1,0.925655227899552,0.93478262424469
"spambase",2,"dropToValue",1024,0.1,"cone",0.05,1,0.925655221939087,0.933913111686707
"spambase",8,"dropToValue",1024,0.01,"cone",0.05,1,0.925517290830612,0.930434823036194
"spambase",4,"dropToValue",512,0.1,"rect",0,1,0.92537933588028,0.946087002754211
"spambase",3,"dropToValue",256,0.1,"cone",0.05,1,0.925036013126373,0.936521768569946
"spambase",16,"dropToValue",1024,0.01,"rect",0.05,1,0.924965554475784,0.930434823036194
"spambase",8,"dropToValue",256,0.01,"rect",0,1,0.924965554475784,0.941739201545715
"spambase",16,"dropToValue",512,0.1,"rect",0.05,1,0.92482762336731,0.933043599128723
"spambase",8,"dropToValue",256,0.1,"rect",0.05,1,0.924827611446381,0.928695678710938
"spambase",16,"dropToValue",256,0.01,"rect",0,1,0.924689674377442,0.938260912895203
"spambase",2,"dropToValue",512,0.01,"cone",0,1,0.924551784992218,0.933043599128723
"spambase",8,"dropToValue",1024,0.01,"rect",0.05,1,0.924413865804672,0.93217396736145
"spambase",4,"dropToValue",256,0.1,"cone",0.05,1,0.92441383600235,0.930434823036194
"spambase",32,"dropToValue",256,0.01,"rect",0.05,1,0.924275904893875,0.931304454803467
"spambase",16,"dropToValue",256,0.1,"rect",0.05,1,0.924275892972946,0.931304335594177
"spambase",8,"dropToValue",256,0.01,"rect",0.05,1,0.924137985706329,0.930434823036194
"spambase",4,"dropToValue",1024,0.01,"rect",0,1,0.924137979745865,0.93217396736145
"spambase",4,"dropToValue",512,0.1,"cone",0.05,1,0.924137979745865,0.92956531047821
"spambase",16,"dropToValue",512,0.01,"rect",0.05,1,0.924137955904007,0.933043479919434
"spambase",4,"dropToValue",512,0.01,"rect",0,1,0.923862111568451,0.93217396736145
"spambase",8,"dropToValue",512,0.1,"cone",0,1,0.923862105607986,0.941739201545715
"spambase",4,"dropToValue",1024,0.1,"cone",0.05,1,0.923862093687058,0.936521887779236
"spambase",3,"dropToValue",512,0.01,"cone",0,1,0.923741018772125,0.932174026966095
"spambase",4,"dropToValue",1024,0.01,"cone",0,1,0.923724180459976,0.928695797920227
"spambase",4,"dropToValue",256,0.1,"cone",0,1,0.923724168539047,0.931304335594177
"spambase",3,"dropToValue",512,0.01,"rect",0,1,0.923597192764282,0.931304395198822
"spambase",8,"dropToValue",512,0.01,"rect",0.05,1,0.923586249351501,0.933913111686707
"spambase",32,"dropToValue",512,0.01,"rect",0.05,1,0.923586225509644,0.930434823036194
"spambase",32,"dropToValue",256,0.01,"cone",0,1,0.923310375213623,0.940000057220459
"spambase",4,"dropToValue",1024,0.1,"rect",0.05,1,0.923172450065613,0.93217396736145
"spambase",2,"dropToValue",1024,0.1,"cone",0,1,0.922758680582046,0.930434823036194
"spambase",8,"dropToValue",256,0.01,"cone",0.05,1,0.922758674621582,0.930434823036194
"spambase",16,"dropToValue",256,0.1,"cone",0.05,1,0.922758650779724,0.936521768569946
