"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"spect",8,"dropToValue",512,0.01,"cone",0,1,0.86,0.6398
"spect",2,"dropToValue",256,0.1,"cone",0,1,0.83,0.629
"spect",2,"dropToValue",1024,0.1,"rect",0.05,1,0.82,0.672
"spect",3,"dropToValue",256,0.01,"cone",0.05,1,0.8167,0.6183
"spect",2,"dropToValue",512,0.1,"rect",0,1,0.81,0.5591
"spect",4,"dropToValue",256,0.01,"rect",0,1,0.81,0.6613
"spect",2,"dropToValue",1024,0.01,"rect",0,1,0.81,0.6667
"spect",3,"dropToValue",256,0.01,"rect",0.05,1,0.8083,0.6022
"spect",32,"dropToValue",1024,0.01,"rect",0.05,1,0.8,0.7151
"spect",32,"dropToValue",512,0.01,"cone",0,1,0.8,0.5914
"spect",32,"dropToValue",1024,0.01,"cone",0,1,0.8,0.6505
"spect",16,"dropToValue",512,0.01,"cone",0.05,1,0.8,0.6613
"spect",16,"dropToValue",1024,0.01,"cone",0,1,0.8,0.672
"spect",16,"dropToValue",1024,0.1,"cone",0.05,1,0.8,0.6559
"spect",8,"dropToValue",1024,0.01,"cone",0,1,0.8,0.6935
"spect",8,"dropToValue",256,0.01,"rect",0,1,0.8,0.6559
"spect",4,"dropToValue",256,0.01,"cone",0.05,1,0.8,0.6667
"spect",4,"dropToValue",512,0.01,"cone",0,1,0.8,0.6559
"spect",4,"dropToValue",1024,0.1,"cone",0.05,1,0.8,0.6935
"spect",4,"dropToValue",1024,0.1,"cone",0,1,0.8,0.7204
"spect",2,"dropToValue",256,0.01,"rect",0.05,1,0.8,0.6667
"spect",2,"dropToValue",1024,0.01,"cone",0,1,0.8,0.6882
"spect",2,"dropToValue",512,0.1,"cone",0.05,1,0.8,0.6452
"spect",2,"dropToValue",1024,0.1,"cone",0.05,1,0.8,0.7043
"spect",32,"dropToValue",256,0.01,"rect",0.05,1,0.79,0.629
"spect",32,"dropToValue",512,0.01,"rect",0,1,0.79,0.629
"spect",16,"dropToValue",1024,0.01,"rect",0.05,1,0.79,0.629
"spect",16,"dropToValue",256,0.1,"cone",0,1,0.79,0.6667
"spect",8,"dropToValue",1024,0.1,"cone",0.05,1,0.79,0.7258
"spect",2,"dropToValue",512,0.01,"rect",0,1,0.79,0.6344
"spect",16,"dropToValue",512,0.01,"rect",0.05,1,0.78,0.6667
"spect",4,"dropToValue",1024,0.01,"rect",0.05,1,0.78,0.6398
"spect",2,"dropToValue",512,0.1,"rect",0.05,1,0.78,0.5645
"spect",3,"dropToValue",256,0.1,"cone",0.05,1,0.775,0.6505
"spect",32,"dropToValue",512,0.01,"cone",0.05,1,0.77,0.5914
"spect",4,"dropToValue",256,0.01,"rect",0.05,1,0.77,0.6559
"spect",4,"dropToValue",1024,0.01,"rect",0,1,0.77,0.6505
"spect",2,"dropToValue",256,0.1,"rect",0.05,1,0.77,0.586
"spect",2,"dropToValue",1024,0.1,"rect",0,1,0.77,0.6613
"spect",4,"dropToValue",256,0.1,"rect",0.05,1,0.77,0.5968
"spect",3,"dropToValue",1024,0.01,"cone",0.05,1,0.7667,0.6452
"spect",8,"dropToValue",1024,0.1,"cone",0,1,0.76,0.6774
"spect",3,"dropToValue",512,0.1,"cone",0.05,1,0.7583,0.6452
"spect",3,"dropToValue",512,0.1,"cone",0,1,0.7583,0.6022
"spect",32,"dropToValue",512,0.01,"rect",0.05,1,0.75,0.6613
"spect",8,"dropToValue",512,0.01,"rect",0,1,0.75,0.6828
"spect",8,"dropToValue",512,0.1,"cone",0.05,1,0.75,0.7204
"spect",4,"dropToValue",512,0.01,"rect",0,1,0.75,0.5968
"spect",2,"dropToValue",1024,0.1,"cone",0,1,0.75,0.6452
"spect",2,"dropToValue",512,0.1,"cone",0,1,0.75,0.6075
"spect",8,"dropToValue",1024,0.01,"rect",0.05,1,0.75,0.6559
"spect",3,"dropToValue",1024,0.1,"rect",0.05,1,0.75,0.5484
"spect",3,"dropToValue",512,0.1,"rect",0,1,0.75,0.5484
"spect",3,"dropToValue",1024,0.1,"rect",0,1,0.75,0.5484
"spect",3,"dropToValue",256,1,"cone",0.05,1,0.75,0.5484
"spect",3,"dropToValue",512,1,"cone",0.05,1,0.75,0.5484
"spect",3,"dropToValue",1024,1,"cone",0.05,1,0.75,0.5484
"spect",3,"dropToValue",256,1,"rect",0.05,1,0.75,0.5484
