"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"spectf",2,"dropToValue",512,0.01,"rect",0,1,0.723809570074081,0.497326195240021
"spectf",4,"dropToValue",256,0.01,"cone",0,1,0.719047653675079,0.540107011795044
"spectf",4,"dropToValue",256,0.01,"rect",0,1,0.709523850679397,0.502673745155334
"spectf",4,"dropToValue",512,0.01,"rect",0,1,0.704761934280395,0.572192490100861
"spectf",2,"dropToValue",1024,0.01,"cone",0,1,0.700000041723251,0.513368964195251
"spectf",2,"dropToValue",512,0.01,"cone",0,1,0.700000035762787,0.508021414279938
"spectf",2,"dropToValue",1024,0.01,"rect",0,1,0.695238155126572,0.540106952190399
"spectf",2,"dropToValue",512,0.1,"rect",0,1,0.695238143205643,0.577540099620819
"spectf",4,"dropToValue",256,0.01,"cone",0.05,1,0.695238137245178,0.609625697135925
"spectf",2,"dropToValue",512,0.01,"cone",0.05,1,0.69047623872757,0.534759402275085
"spectf",4,"dropToValue",512,0.01,"rect",0.05,1,0.690476214885712,0.55614972114563
"spectf",2,"dropToValue",256,0.01,"cone",0,1,0.680952435731888,0.48128342628479
"spectf",3,"dropToValue",256,0.01,"cone",0,1,0.676923108100891,0.524064183235168
"spectf",2,"dropToValue",256,0.01,"rect",0.05,1,0.67619052529335,0.51871657371521
"spectf",2,"dropToValue",1024,0.01,"cone",0.05,1,0.671428620815277,0.572192549705505
"spectf",4,"dropToValue",1024,0.01,"rect",0,1,0.671428596973419,0.572192490100861
"spectf",2,"dropToValue",1024,0.01,"rect",0.05,1,0.666666710376739,0.561497330665588
"spectf",8,"dropToValue",256,0.01,"cone",0,1,0.666666704416275,0.577540099620819
"spectf",2,"dropToValue",256,0.01,"rect",0,1,0.666666704416275,0.524064123630524
"spectf",4,"dropToValue",1024,0.01,"cone",0,1,0.666666698455811,0.636363625526428
"spectf",16,"dropToValue",512,0.01,"cone",0.05,1,0.666666692495346,0.524064183235168
"spectf",2,"dropToValue",256,0.01,"cone",0.05,1,0.666666686534881,0.51871657371521
"spectf",8,"dropToValue",512,0.01,"cone",0,1,0.661904788017273,0.51871657371521
"spectf",4,"dropToValue",256,0.01,"rect",0.05,1,0.65238099694252,0.566844880580902
"spectf",8,"dropToValue",1024,0.01,"rect",0.05,1,0.652380985021591,0.534759342670441
"spectf",16,"dropToValue",256,0.01,"cone",0,1,0.647619086503982,0.641711235046387
"spectf",4,"dropToValue",512,0.01,"cone",0.05,1,0.647619068622589,0.550802111625671
"spectf",3,"dropToValue",1024,0.01,"cone",0,1,0.646153879165649,0.529411733150482
"spectf",3,"dropToValue",256,0.01,"rect",0,1,0.646153879165649,0.550802171230316
"spectf",3,"dropToValue",512,0.01,"rect",0.05,1,0.64615386724472,0.497326225042343
