"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-australian-credit",16,"dropToValue",1024,0.01,"cone",0.05,1,0.739622664451599,0.598837196826935
"statlog-australian-credit",8,"dropToValue",256,0.01,"rect",0.05,1,0.727777802944183,0.656976759433746
"statlog-australian-credit",16,"dropToValue",1024,0.01,"rect",0.05,1,0.725000017881394,0.67441862821579
"statlog-australian-credit",16,"dropToValue",512,0.01,"rect",0.05,1,0.725,0.633720934391022
"statlog-australian-credit",4,"dropToValue",512,0.01,"cone",0,1,0.718867951631546,0.651162803173065
"statlog-australian-credit",4,"dropToValue",512,0.01,"rect",0.05,1,0.713888919353485,0.691860496997833
"statlog-australian-credit",32,"dropToValue",1024,0.01,"rect",0.05,1,0.712500017881394,0.627906978130341
"statlog-australian-credit",4,"dropToValue",256,0.01,"rect",0.05,1,0.711111152172089,0.703488409519196
"statlog-australian-credit",16,"dropToValue",256,0.01,"rect",0.05,1,0.709722232818604,0.668604671955109
"statlog-australian-credit",2,"dropToValue",512,0.01,"rect",0.05,1,0.70833335518837,0.662790715694427
"statlog-australian-credit",8,"dropToValue",512,0.01,"rect",0.05,1,0.706944441795349,0.668604671955109
"statlog-australian-credit",2,"dropToValue",1024,0.01,"cone",0,1,0.705660384893417,0.639534890651703
"statlog-australian-credit",8,"dropToValue",1024,0.01,"rect",0.05,1,0.705555576086044,0.645348846912384
"statlog-australian-credit",32,"dropToValue",512,0.01,"rect",0.05,1,0.705555558204651,0.67441862821579
"statlog-australian-credit",4,"dropToValue",1024,0.01,"rect",0.05,1,0.705555558204651,0.656976759433746
"statlog-australian-credit",2,"dropToValue",512,0.1,"cone",0,1,0.702830219268799,0.633720934391022
"statlog-australian-credit",8,"dropToValue",256,0.1,"cone",0,1,0.700000005960465,0.662790715694427
"statlog-australian-credit",8,"dropToValue",512,0.01,"cone",0.05,1,0.700000005960464,0.593023240566254
"statlog-australian-credit",8,"dropToValue",1024,1,"cone",0.05,1,0.699999988079071,0.680232584476471
"statlog-australian-credit",8,"dropToValue",1024,0.1,"cone",0.05,1,0.699056607484817,0.703488409519196
"statlog-australian-credit",2,"dropToValue",1024,0.01,"rect",0.05,1,0.698611128330231,0.668604671955109
"statlog-australian-credit",4,"dropToValue",256,0.01,"cone",0,1,0.694339627027512,0.587209284305573
"statlog-australian-credit",2,"dropToValue",512,0.01,"rect",0,1,0.693396240472794,0.627906978130341
"statlog-australian-credit",2,"dropToValue",256,0.01,"cone",0.05,1,0.693396234512329,0.616279065608978
"statlog-australian-credit",16,"dropToValue",512,0.01,"cone",0.05,1,0.692452812194824,0.668604671955109
"statlog-australian-credit",2,"dropToValue",256,0.1,"cone",0.05,1,0.691509449481964,0.627906978130341
"statlog-australian-credit",32,"dropToValue",1024,0.01,"cone",0,1,0.691509437561035,0.627906978130341
"statlog-australian-credit",16,"dropToValue",512,1,"cone",0.05,1,0.691509407758713,0.680232584476471
"statlog-australian-credit",8,"dropToValue",256,0.1,"cone",0.05,1,0.69056601524353,0.680232584476471
"statlog-australian-credit",32,"dropToValue",512,0.1,"cone",0,1,0.690566009283066,0.686046540737152
"statlog-australian-credit",32,"dropToValue",1024,0.1,"cone",0,1,0.68867923617363,0.680232584476471
"statlog-australian-credit",32,"dropToValue",256,0.01,"cone",0.05,1,0.688679218292236,0.680232584476471
"statlog-australian-credit",32,"dropToValue",512,0.01,"cone",0.05,1,0.688679218292236,0.680232584476471
"statlog-australian-credit",32,"dropToValue",1024,0.01,"cone",0.05,1,0.688679218292236,0.680232584476471
"statlog-australian-credit",32,"dropToValue",256,0.1,"cone",0.05,1,0.688679218292236,0.680232584476471
"statlog-australian-credit",32,"dropToValue",512,0.1,"cone",0.05,1,0.688679218292236,0.680232584476471
"statlog-australian-credit",32,"dropToValue",1024,0.1,"cone",0.05,1,0.688679218292236,0.680232584476471
"statlog-australian-credit",32,"dropToValue",256,0.1,"cone",0,1,0.688679218292236,0.680232584476471
"statlog-australian-credit",32,"dropToValue",256,1,"cone",0.05,1,0.688679218292236,0.680232584476471
"statlog-australian-credit",32,"dropToValue",512,1,"cone",0.05,1,0.688679218292236,0.680232584476471
