"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-heart",8,"dropToValue",1024,0.1,"cone",0.05,1,0.868421077728272,0.925373136997223
"statlog-heart",32,"dropToValue",1024,0.01,"rect",0.05,1,0.863157916069031,0.910447776317596
"statlog-heart",8,"dropToValue",256,0.1,"cone",0.05,1,0.863157916069031,0.850746333599091
"statlog-heart",32,"dropToValue",512,0.01,"rect",0.05,1,0.860526335239411,0.910447776317596
"statlog-heart",8,"dropToValue",512,0.01,"cone",0.05,1,0.860526335239411,0.910447776317596
"statlog-heart",8,"dropToValue",512,0.1,"cone",0.05,1,0.860526335239411,0.89552241563797
"statlog-heart",2,"dropToValue",512,0.1,"cone",0.05,1,0.860526335239411,0.910447776317596
"statlog-heart",16,"dropToValue",512,0.01,"cone",0,1,0.85263159275055,0.865671694278717
"statlog-heart",8,"dropToValue",1024,0.01,"cone",0.05,1,0.852631592750549,0.910447776317596
"statlog-heart",4,"dropToValue",512,0.1,"cone",0,1,0.850000017881394,0.895522356033325
"statlog-heart",16,"dropToValue",256,0.01,"rect",0.05,1,0.850000011920929,0.89552241563797
"statlog-heart",4,"dropToValue",1024,0.01,"cone",0.05,1,0.850000011920929,0.910447776317596
"statlog-heart",4,"dropToValue",256,0.1,"cone",0.05,1,0.850000011920929,0.89552241563797
"statlog-heart",4,"dropToValue",512,0.1,"cone",0.05,1,0.850000011920929,0.880596995353699
"statlog-heart",2,"dropToValue",512,0.01,"cone",0,1,0.850000011920929,0.910447776317596
"statlog-heart",4,"dropToValue",256,0.1,"cone",0,1,0.847368437051773,0.910447716712952
"statlog-heart",2,"dropToValue",256,0.01,"cone",0,1,0.847368431091309,0.89552241563797
"statlog-heart",16,"dropToValue",256,0.1,"cone",0.05,1,0.844736850261688,0.880597054958344
"statlog-heart",2,"dropToValue",256,0.1,"cone",0.05,1,0.844736850261688,0.89552241563797
"statlog-heart",8,"dropToValue",256,0.01,"cone",0.05,1,0.842105269432068,0.880596995353699
"statlog-heart",4,"dropToValue",256,0.01,"cone",0,1,0.842105269432068,0.89552241563797
"statlog-heart",2,"dropToValue",1024,0.01,"rect",0,1,0.842105269432068,0.880597054958344
"statlog-heart",2,"dropToValue",1024,0.01,"cone",0.05,1,0.839473694562912,0.895522356033325
"statlog-heart",2,"dropToValue",256,0.1,"cone",0,1,0.839473694562912,0.865671694278717
"statlog-heart",16,"dropToValue",1024,0.01,"rect",0.05,1,0.836842125654221,0.89552241563797
"statlog-heart",4,"dropToValue",1024,0.1,"cone",0.05,1,0.836842119693756,0.925373136997223
"statlog-heart",2,"dropToValue",512,0.01,"rect",0.05,1,0.836842113733292,0.925373136997223
"statlog-heart",8,"dropToValue",512,0.01,"cone",0,1,0.836842107772827,0.89552241563797
"statlog-heart",2,"dropToValue",256,0.1,"rect",0,1,0.834210538864136,0.895522356033325
"statlog-heart",4,"dropToValue",512,0.01,"rect",0,1,0.834210532903671,0.89552241563797
"statlog-heart",8,"dropToValue",1024,0.01,"rect",0.05,1,0.834210526943207,0.910447776317596
"statlog-heart",4,"dropToValue",1024,0.01,"cone",0,1,0.834210526943207,0.910447776317596
"statlog-heart",4,"dropToValue",1024,0.01,"rect",0.05,1,0.831578952074051,0.895522356033325
"statlog-heart",16,"dropToValue",512,0.1,"cone",0.05,1,0.831578946113587,0.880597054958344
"statlog-heart",16,"dropToValue",1024,0.1,"cone",0.05,1,0.831578946113586,0.850746333599091
"statlog-heart",2,"dropToValue",1024,0.01,"rect",0.05,1,0.828947377204895,0.910447776317596
"statlog-heart",32,"dropToValue",1024,0.1,"cone",0,1,0.82894737124443,0.880597054958344
"statlog-heart",32,"dropToValue",256,0.1,"cone",0,1,0.828947365283966,0.552238762378693
"statlog-heart",8,"dropToValue",256,0.01,"rect",0.05,1,0.828947365283966,0.89552241563797
"statlog-heart",2,"dropToValue",512,0.1,"cone",0,1,0.826315802335739,0.910447776317596
"statlog-heart",2,"dropToValue",1024,0.1,"cone",0.05,1,0.823684227466583,0.89552241563797
"statlog-heart",4,"dropToValue",256,0.1,"rect",0.05,1,0.823684221506119,0.89552241563797
"statlog-heart",8,"dropToValue",512,0.01,"rect",0.05,1,0.823684203624725,0.89552241563797
"statlog-heart",2,"dropToValue",256,0.01,"rect",0,1,0.823684203624725,0.895522356033325
"statlog-heart",2,"dropToValue",256,0.01,"rect",0.05,1,0.821052670478821,0.880596995353699
"statlog-heart",2,"dropToValue",1024,0.01,"cone",0,1,0.821052634716034,0.865671634674072
"statlog-heart",8,"dropToValue",256,0.1,"rect",0.05,1,0.82105262875557,0.925373136997223
"statlog-heart",2,"dropToValue",256,0.1,"rect",0.05,1,0.82105262875557,0.865671694278717
"statlog-heart",16,"dropToValue",512,0.01,"rect",0.05,1,0.821052622795105,0.880596995353699
"statlog-heart",4,"dropToValue",512,0.01,"cone",0,1,0.821052622795105,0.880597054958344
"statlog-heart",16,"dropToValue",256,0.01,"rect",0,1,0.8184210896492,0.850746333599091
"statlog-heart",8,"dropToValue",256,0.01,"rect",0,1,0.818421065807343,0.835820913314819
"statlog-heart",4,"dropToValue",512,0.01,"rect",0.05,1,0.818421059846878,0.925373136997223
"statlog-heart",16,"dropToValue",512,0.1,"cone",0,1,0.818421041965485,0.865671634674072
"statlog-heart",2,"dropToValue",512,0.01,"rect",0,1,0.815789520740509,0.910447776317596
"statlog-heart",8,"dropToValue",512,0.1,"cone",0,1,0.815789473056793,0.880596995353699
"statlog-heart",4,"dropToValue",256,0.01,"rect",0.05,1,0.815789467096329,0.925373136997223
"statlog-heart",2,"dropToValue",1024,0.1,"rect",0.05,1,0.815789467096329,0.805970132350922
"statlog-heart",32,"dropToValue",256,0.01,"rect",0.05,1,0.815789461135864,0.865671694278717
"statlog-heart",16,"dropToValue",512,1,"cone",0.05,1,0.815789461135864,0.731343269348145
"statlog-heart",4,"dropToValue",256,0.01,"cone",0.05,1,0.815789461135864,0.880596995353699
"statlog-heart",4,"dropToValue",512,0.01,"cone",0.05,1,0.815789461135864,0.89552241563797
"statlog-heart",8,"dropToValue",256,0.1,"cone",0,1,0.813157904148102,0.850746273994446
"statlog-heart",4,"dropToValue",1024,0.01,"rect",0,1,0.810526341199875,0.940298497676849
"statlog-heart",8,"dropToValue",1024,0.01,"rect",0,1,0.810526305437088,0.880597054958344
"statlog-heart",2,"dropToValue",512,0.1,"rect",0.05,1,0.807894748449326,0.865671694278717
"statlog-heart",16,"dropToValue",1024,0.01,"cone",0.05,1,0.805263161659241,0.925373136997223
"statlog-heart",2,"dropToValue",1024,0.1,"cone",0,1,0.805263161659241,0.895522356033325
"statlog-heart",32,"dropToValue",512,0.01,"rect",0,1,0.805263155698776,0.880597054958344
"statlog-heart",16,"dropToValue",256,0.01,"cone",0.05,1,0.805263155698776,0.910447716712952
"statlog-heart",32,"dropToValue",512,0.1,"cone",0.05,1,0.805263149738312,0.835820913314819
"statlog-heart",32,"dropToValue",512,0.01,"cone",0,1,0.80263158082962,0.835820913314819
"statlog-heart",32,"dropToValue",1024,0.01,"cone",0.05,1,0.802631556987762,0.656716406345367
"statlog-heart",8,"dropToValue",512,0.01,"rect",0,1,0.802631556987762,0.925373136997223
"statlog-heart",16,"dropToValue",512,0.01,"rect",0,1,0.800000023841858,0.865671694278717
"statlog-heart",8,"dropToValue",256,0.01,"cone",0,1,0.800000023841858,0.925373136997223
"statlog-heart",3,"dropToValue",256,0.01,"cone",0,1,0.800000023841858,0.865671634674072
"statlog-heart",2,"dropToValue",512,0.1,"rect",0,1,0.800000005960464,0.880597054958344
"statlog-heart",16,"dropToValue",1024,0.1,"cone",0,1,0.8,0.910447776317596
"statlog-heart",32,"dropToValue",1024,0.1,"cone",0.05,1,0.797368443012238,0.910447776317596
"statlog-heart",4,"dropToValue",1024,0.1,"cone",0,1,0.797368425130844,0.880597054958344
"statlog-heart",2,"dropToValue",256,0.01,"cone",0.05,1,0.797368395328522,0.910447776317596
"statlog-heart",8,"dropToValue",1024,0.01,"cone",0,1,0.794736874103546,0.835820853710175
"statlog-heart",4,"dropToValue",256,0.01,"rect",0,1,0.794736862182617,0.850746273994446
"statlog-heart",32,"dropToValue",256,0.01,"rect",0,1,0.794736850261688,0.865671634674072
"statlog-heart",32,"dropToValue",1024,0.01,"rect",0,1,0.794736832380295,0.850746333599091
"statlog-heart",4,"dropToValue",256,0.1,"rect",0,1,0.794736832380295,0.805970072746277
"statlog-heart",3,"dropToValue",256,0.01,"rect",0,1,0.793023276329041,0.865671694278717
"statlog-heart",2,"dropToValue",512,0.01,"cone",0.05,1,0.792105287313461,0.910447776317596
"statlog-heart",32,"dropToValue",256,0.01,"cone",0.05,1,0.792105251550674,0.776119351387024
"statlog-heart",4,"dropToValue",512,0.1,"rect",0.05,1,0.792105251550674,0.746268630027771
"statlog-heart",2,"dropToValue",1024,0.1,"rect",0,1,0.789473700523377,0.79104471206665
"statlog-heart",16,"dropToValue",256,0.1,"cone",0,1,0.784210515022278,0.835820913314819
"statlog-heart",16,"dropToValue",256,0.01,"cone",0,1,0.781578969955444,0.835820972919464
"statlog-heart",32,"dropToValue",256,0.01,"cone",0,1,0.778947371244431,0.865671694278717
"statlog-heart",3,"dropToValue",256,0.01,"rect",0.05,1,0.772093039751053,0.880596995353699
"statlog-heart",16,"dropToValue",1024,0.01,"rect",0,1,0.771052628755569,0.880596995353699
"statlog-heart",3,"dropToValue",1024,0.01,"cone",0.05,1,0.767441868782044,0.895522356033325
"statlog-heart",3,"dropToValue",512,0.01,"rect",0.05,1,0.767441868782044,0.865671634674072
"statlog-heart",16,"dropToValue",1024,0.01,"cone",0,1,0.765789484977722,0.865671694278717
"statlog-heart",16,"dropToValue",512,0.01,"cone",0.05,1,0.765789479017258,0.940298438072205
"statlog-heart",16,"dropToValue",1024,1,"cone",0.05,1,0.763157904148102,0.925373136997223
"statlog-heart",8,"dropToValue",1024,0.1,"cone",0,1,0.760526323318481,0.850746214389801
"statlog-heart",3,"dropToValue",256,0.01,"cone",0.05,1,0.760465121269226,0.925373136997223
"statlog-heart",3,"dropToValue",512,0.01,"cone",0,1,0.760465121269226,0.880596995353699
"statlog-heart",3,"dropToValue",1024,0.01,"rect",0,1,0.760465121269226,0.820895552635193
"statlog-heart",3,"dropToValue",256,0.1,"cone",0.05,1,0.760465121269226,0.880596995353699
"statlog-heart",3,"dropToValue",256,0.1,"rect",0,1,0.760465121269226,0.835820913314819
"statlog-heart",3,"dropToValue",512,0.01,"rect",0,1,0.758139538764954,0.865671634674072
"statlog-heart",3,"dropToValue",512,0.1,"rect",0.05,1,0.755813956260681,0.880597054958344
"statlog-heart",3,"dropToValue",512,0.1,"cone",0.05,1,0.753488373756409,0.880596995353699
"statlog-heart",3,"dropToValue",1024,0.1,"cone",0.05,1,0.753488373756409,0.910447716712952
"statlog-heart",3,"dropToValue",256,0.1,"cone",0,1,0.751162791252136,0.865671634674072
"statlog-heart",3,"dropToValue",1024,0.1,"rect",0.05,1,0.748837226629257,0.791044771671295
"statlog-heart",3,"dropToValue",512,0.01,"cone",0.05,1,0.748837208747864,0.865671634674072
"statlog-heart",3,"dropToValue",1024,0.1,"cone",0,1,0.748837208747864,0.880596995353699
"statlog-heart",3,"dropToValue",1024,0.01,"rect",0.05,1,0.746511626243591,0.865671694278717
"statlog-heart",3,"dropToValue",512,0.1,"rect",0,1,0.746511626243591,0.880597054958344
"statlog-heart",3,"dropToValue",256,0.1,"rect",0.05,1,0.744186049699783,0.791044771671295
"statlog-heart",32,"dropToValue",512,0.1,"cone",0,1,0.742105281352997,0.62686562538147
"statlog-heart",32,"dropToValue",1024,0.01,"cone",0,1,0.739473676681519,0.880597054958344
"statlog-heart",3,"dropToValue",1024,0.01,"cone",0,1,0.734883713722229,0.880596995353699
"statlog-heart",3,"dropToValue",512,0.1,"cone",0,1,0.730232554674149,0.835820913314819
"statlog-heart",2,"dropToValue",512,1,"cone",0.05,1,0.686842119693756,0.552238762378693
"statlog-heart",32,"dropToValue",512,0.01,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",256,0.1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",256,0.1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",512,0.1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",1024,0.1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",256,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",512,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",1024,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",1024,1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",256,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",512,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",1024,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",1024,1,"cone",0,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",256,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",512,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",1024,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",256,0.1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",512,0.1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",1024,0.1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",256,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",512,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",1024,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",256,1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",256,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",512,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",1024,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",256,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",512,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",16,"dropToValue",1024,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",512,0.1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",1024,0.1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",256,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",512,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",1024,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",256,1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",512,1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",1024,1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",256,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",512,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",1024,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",512,1,"cone",0,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",256,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",512,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",8,"dropToValue",1024,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",1024,0.1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",512,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",1024,0.1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",512,1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",1024,1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",256,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",512,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",1024,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",512,1,"cone",0,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",1024,1,"cone",0,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",256,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",512,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",4,"dropToValue",1024,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",2,"dropToValue",256,1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",2,"dropToValue",1024,1,"cone",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",2,"dropToValue",256,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",2,"dropToValue",512,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",2,"dropToValue",1024,1,"rect",0.05,1,0.684210538864136,0.552238762378693
"statlog-heart",2,"dropToValue",1024,1,"cone",0,1,0.684210538864136,0.552238762378693
"statlog-heart",2,"dropToValue",256,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",2,"dropToValue",512,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",2,"dropToValue",1024,1,"rect",0,1,0.684210538864136,0.552238762378693
"statlog-heart",32,"dropToValue",512,1,"cone",0.05,1,0.647368434071541,0.552238762378693
"statlog-heart",3,"dropToValue",1024,0.1,"rect",0,1,0.641860473155975,0.835820913314819
"statlog-heart",16,"dropToValue",256,1,"cone",0,1,0.628947374224663,0.447761178016663
"statlog-heart",32,"dropToValue",512,1,"cone",0,1,0.610526329278946,0.552238762378693
"statlog-heart",32,"dropToValue",256,1,"cone",0.05,1,0.6,0.552238821983337
"statlog-heart",16,"dropToValue",1024,1,"cone",0,1,0.536842119693756,0.552238762378693
"statlog-heart",8,"dropToValue",256,1,"cone",0,1,0.536842119693756,0.552238762378693
"statlog-heart",8,"dropToValue",1024,1,"cone",0,1,0.536842119693756,0.552238762378693
"statlog-heart",32,"dropToValue",256,1,"cone",0,1,0.510526326298714,0.447761178016663
