"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-image",3,"dropToValue",1024,0.01,"cone",0,1,0.9802,0.9549
"statlog-image",3,"dropToValue",1024,0.01,"rect",0,1,0.9776,0.9584
"statlog-image",3,"dropToValue",512,0.1,"cone",0.05,1,0.9773,0.9584
"statlog-image",3,"dropToValue",512,0.1,"rect",0,1,0.9771,0.9619
"statlog-image",3,"dropToValue",256,0.01,"rect",0,1,0.9768,0.9567
"statlog-image",32,"dropToValue",1024,0.01,"rect",0,1,0.9762,0.9653
"statlog-image",4,"dropToValue",1024,0.1,"cone",0,1,0.976,0.9653
"statlog-image",3,"dropToValue",512,0.01,"rect",0,1,0.9756,0.9549
"statlog-image",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9756,0.9601
"statlog-image",3,"dropToValue",1024,0.1,"rect",0,1,0.9751,0.9515
"statlog-image",3,"dropToValue",256,0.1,"rect",0.05,1,0.9745,0.9584
"statlog-image",3,"dropToValue",512,0.1,"cone",0,1,0.9745,0.9567
"statlog-image",3,"dropToValue",1024,0.01,"rect",0.05,1,0.9742,0.948
"statlog-image",3,"dropToValue",1024,0.1,"rect",0.05,1,0.9739,0.9601
"statlog-image",3,"dropToValue",256,0.1,"rect",0,1,0.9739,0.9567
"statlog-image",3,"dropToValue",256,0.1,"cone",0.05,1,0.9737,0.9567
"statlog-image",3,"dropToValue",1024,0.1,"cone",0,1,0.9737,0.9532
"statlog-image",3,"dropToValue",256,0.1,"cone",0,1,0.9737,0.9497
"statlog-image",3,"dropToValue",512,0.01,"rect",0.05,1,0.9728,0.948
"statlog-image",3,"dropToValue",512,0.1,"rect",0.05,1,0.9722,0.9497
"statlog-image",16,"dropToValue",1024,0.01,"rect",0,1,0.9713,0.9636
"statlog-image",32,"dropToValue",1024,0.01,"cone",0,1,0.9702,0.9619
"statlog-image",3,"dropToValue",512,0.01,"cone",0,1,0.9694,0.9445
"statlog-image",32,"dropToValue",512,0.01,"rect",0,1,0.9691,0.9636
"statlog-image",4,"dropToValue",512,0.1,"rect",0,1,0.9691,0.9567
"statlog-image",16,"dropToValue",1024,0.01,"cone",0,1,0.9682,0.9636
"statlog-image",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9674,0.948
"statlog-image",8,"dropToValue",512,0.1,"cone",0,1,0.9641,0.9549
"statlog-image",4,"dropToValue",512,0.01,"rect",0.05,1,0.964,0.9549
"statlog-image",16,"dropToValue",512,0.01,"rect",0,1,0.9638,0.9619
"statlog-image",8,"dropToValue",1024,0.1,"cone",0,1,0.9638,0.9532
"statlog-image",3,"dropToValue",512,0.01,"cone",0.05,1,0.9632,0.9445
"statlog-image",4,"dropToValue",512,0.1,"cone",0,1,0.963,0.9619
"statlog-image",3,"dropToValue",256,0.01,"cone",0,1,0.9629,0.9376
"statlog-image",4,"dropToValue",1024,0.01,"rect",0.05,1,0.9626,0.9463
"statlog-image",3,"dropToValue",256,0.01,"rect",0.05,1,0.9618,0.9324
"statlog-image",8,"dropToValue",256,0.1,"cone",0,1,0.9616,0.948
"statlog-image",8,"dropToValue",512,0.1,"rect",0.05,1,0.9612,0.948
"statlog-image",2,"dropToValue",1024,0.01,"rect",0.05,1,0.9612,0.9463
"statlog-image",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9608,0.9601
"statlog-image",8,"dropToValue",256,0.01,"rect",0,1,0.9608,0.9584
"statlog-image",2,"dropToValue",1024,0.1,"cone",0.05,1,0.9608,0.9601
"statlog-image",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9605,0.9463
"statlog-image",4,"dropToValue",512,0.1,"cone",0.05,1,0.9605,0.9601
"statlog-image",16,"dropToValue",1024,0.01,"rect",0.05,1,0.9604,0.9653
"statlog-image",2,"dropToValue",1024,0.1,"cone",0,1,0.9602,0.9601
"statlog-image",2,"dropToValue",256,0.1,"rect",0.05,1,0.9601,0.9445
"statlog-image",16,"dropToValue",256,0.01,"rect",0,1,0.9599,0.9601
"statlog-image",8,"dropToValue",512,0.01,"rect",0.05,1,0.9597,0.9584
"statlog-image",16,"dropToValue",256,0.1,"rect",0.05,1,0.9597,0.9636
"statlog-image",8,"dropToValue",256,0.1,"cone",0.05,1,0.9597,0.9584
"statlog-image",4,"dropToValue",1024,0.01,"cone",0,1,0.9591,0.9653
"statlog-image",8,"dropToValue",1024,0.01,"rect",0,1,0.9583,0.9601
"statlog-image",4,"dropToValue",1024,0.1,"cone",0.05,1,0.958,0.9549
"statlog-image",2,"dropToValue",512,0.01,"cone",0,1,0.958,0.9428
"statlog-image",8,"dropToValue",256,0.1,"rect",0.05,1,0.9579,0.9705
"statlog-image",16,"dropToValue",512,0.01,"rect",0.05,1,0.9579,0.948
"statlog-image",16,"dropToValue",512,0.01,"cone",0,1,0.9577,0.9497
"statlog-image",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9577,0.9497
"statlog-image",4,"dropToValue",256,0.1,"cone",0.05,1,0.9577,0.9567
"statlog-image",32,"dropToValue",256,0.01,"rect",0,1,0.9575,0.9601
"statlog-image",32,"dropToValue",1024,0.01,"rect",0.05,1,0.9572,0.9549
"statlog-image",4,"dropToValue",256,0.1,"cone",0,1,0.9572,0.9619
"statlog-image",2,"dropToValue",256,0.1,"cone",0.05,1,0.9572,0.9497
"statlog-image",16,"dropToValue",256,0.1,"cone",0,1,0.9569,0.9619
"statlog-image",2,"dropToValue",512,0.01,"rect",0,1,0.9569,0.948
"statlog-image",2,"dropToValue",512,0.1,"rect",0.05,1,0.9568,0.948
"statlog-image",16,"dropToValue",256,0.01,"cone",0,1,0.9566,0.9688
"statlog-image",8,"dropToValue",512,0.01,"cone",0,1,0.9566,0.9497
"statlog-image",8,"dropToValue",256,0.01,"rect",0.05,1,0.9565,0.9515
"statlog-image",4,"dropToValue",256,0.01,"rect",0.05,1,0.9565,0.948
"statlog-image",4,"dropToValue",256,0.01,"rect",0,1,0.9564,0.9549
"statlog-image",4,"dropToValue",512,0.01,"rect",0,1,0.9564,0.9584
"statlog-image",2,"dropToValue",512,0.1,"cone",0.05,1,0.9561,0.9515
"statlog-image",16,"dropToValue",512,0.1,"cone",0,1,0.9561,0.9515
"statlog-image",32,"dropToValue",256,0.01,"cone",0,1,0.9558,0.9549
"statlog-image",2,"dropToValue",1024,0.01,"rect",0,1,0.9558,0.9445
"statlog-image",4,"dropToValue",1024,0.01,"cone",0.05,1,0.9558,0.9549
"statlog-image",4,"dropToValue",256,0.1,"rect",0.05,1,0.9558,0.9636
"statlog-image",2,"dropToValue",1024,0.01,"cone",0,1,0.9555,0.9532
"statlog-image",2,"dropToValue",1024,0.01,"cone",0.05,1,0.9552,0.9497
"statlog-image",4,"dropToValue",256,0.01,"cone",0,1,0.955,0.9463
"statlog-image",8,"dropToValue",256,0.01,"cone",0,1,0.9547,0.9584
