"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-landsat",16,"dropToValue",1024,0.01,"rect",0,1,0.938802659511566,0.910000026226044
"statlog-landsat",8,"dropToValue",1024,0.1,"cone",0,1,0.931707322597504,0.900500059127808
"statlog-landsat",8,"dropToValue",1024,0.01,"rect",0,1,0.931263864040375,0.910500109195709
"statlog-landsat",16,"dropToValue",1024,0.01,"cone",0,1,0.931152999401093,0.915499985218048
"statlog-landsat",32,"dropToValue",512,0.01,"rect",0,1,0.928824841976166,0.918500065803528
"statlog-landsat",16,"dropToValue",512,0.01,"rect",0,1,0.926940143108368,0.909000098705292
"statlog-landsat",16,"dropToValue",512,0.1,"cone",0,1,0.923059874773026,0.910000085830688
"statlog-landsat",4,"dropToValue",1024,0.1,"cone",0,1,0.921618640422821,0.91100001335144
"statlog-landsat",32,"dropToValue",256,0.01,"rect",0,1,0.921396911144257,0.898000001907349
"statlog-landsat",16,"dropToValue",256,0.01,"rect",0,1,0.920953452587128,0.907000064849854
"statlog-landsat",4,"dropToValue",512,0.1,"cone",0,1,0.920620858669281,0.900499999523163
"statlog-landsat",8,"dropToValue",256,0.1,"rect",0.05,1,0.918847024440765,0.895000040531158
"statlog-landsat",3,"dropToValue",1024,0.1,"cone",0.05,1,0.918714708089828,0.895500004291534
"statlog-landsat",8,"dropToValue",512,0.1,"cone",0,1,0.917627513408661,0.91049998998642
"statlog-landsat",3,"dropToValue",512,0.1,"cone",0,1,0.917474514245987,0.894500076770782
"statlog-landsat",32,"dropToValue",512,0.01,"cone",0,1,0.917405784130096,0.912000119686127
"statlog-landsat",4,"dropToValue",512,0.1,"rect",0.05,1,0.916408002376556,0.900000095367432
"statlog-landsat",8,"dropToValue",512,0.01,"rect",0,1,0.915853679180145,0.911500036716461
"statlog-landsat",8,"dropToValue",1024,0.1,"cone",0.05,1,0.915853679180145,0.900500059127808
"statlog-landsat",3,"dropToValue",1024,0.1,"rect",0.05,1,0.915445256233215,0.896000027656555
"statlog-landsat",8,"dropToValue",512,0.1,"cone",0.05,1,0.914079838991165,0.894500076770782
"statlog-landsat",32,"dropToValue",256,0.01,"cone",0,1,0.913525515794754,0.903000056743622
"statlog-landsat",4,"dropToValue",256,0.1,"cone",0,1,0.913414657115936,0.89900004863739
"statlog-landsat",16,"dropToValue",512,0.01,"cone",0,1,0.913303792476654,0.900500059127808
"statlog-landsat",4,"dropToValue",256,0.1,"rect",0,1,0.913192921876907,0.899500012397766
"statlog-landsat",8,"dropToValue",1024,0.01,"cone",0,1,0.912860333919525,0.906000018119812
"statlog-landsat",4,"dropToValue",512,0.1,"cone",0.05,1,0.912860333919525,0.899000108242035
"statlog-landsat",32,"dropToValue",1024,0.01,"cone",0,1,0.911640816926956,0.881500065326691
"statlog-landsat",3,"dropToValue",1024,0.1,"cone",0,1,0.911612111330032,0.889999985694885
"statlog-landsat",4,"dropToValue",1024,0.01,"cone",0,1,0.911197364330292,0.903500020503998
"statlog-landsat",4,"dropToValue",1024,0.1,"cone",0.05,1,0.911197364330292,0.903499960899353
"statlog-landsat",2,"dropToValue",512,0.1,"cone",0.05,1,0.910975623130798,0.902500033378601
"statlog-landsat",8,"dropToValue",256,0.01,"cone",0,1,0.910864746570587,0.904500067234039
"statlog-landsat",4,"dropToValue",256,0.1,"cone",0.05,1,0.910753887891769,0.894000053405762
"statlog-landsat",3,"dropToValue",256,0.1,"cone",0.05,1,0.910710191726685,0.892499983310699
"statlog-landsat",32,"dropToValue",1024,0.01,"rect",0,1,0.910532164573669,0.901500105857849
"statlog-landsat",3,"dropToValue",1024,0.01,"rect",0,1,0.910484707355499,0.89300012588501
"statlog-landsat",4,"dropToValue",256,0.1,"rect",0.05,1,0.910310447216034,0.893500089645386
"statlog-landsat",3,"dropToValue",256,0.1,"rect",0,1,0.91014649271965,0.886000156402588
"statlog-landsat",2,"dropToValue",256,0.1,"cone",0.05,1,0.909977835416794,0.901500105857849
"statlog-landsat",3,"dropToValue",512,0.01,"rect",0,1,0.909244585037231,0.891000092029572
"statlog-landsat",3,"dropToValue",512,0.1,"cone",0.05,1,0.908906382322311,0.894000053405762
"statlog-landsat",8,"dropToValue",256,0.01,"rect",0,1,0.908869183063507,0.90500009059906
"statlog-landsat",3,"dropToValue",512,0.1,"rect",0,1,0.908680844306946,0.901000022888184
"statlog-landsat",3,"dropToValue",256,0.1,"cone",0,1,0.908342623710632,0.902000069618225
"statlog-landsat",16,"dropToValue",256,0.01,"cone",0,1,0.908093154430389,0.897000074386597
"statlog-landsat",8,"dropToValue",256,0.1,"cone",0,1,0.908093154430389,0.891500115394592
"statlog-landsat",2,"dropToValue",1024,0.1,"rect",0,1,0.907982277870178,0.89900004863739
"statlog-landsat",3,"dropToValue",256,0.01,"rect",0,1,0.907666218280792,0.887500047683716
"statlog-landsat",2,"dropToValue",1024,0.1,"cone",0.05,1,0.907427966594696,0.902500033378601
"statlog-landsat",16,"dropToValue",1024,0.1,"cone",0.05,1,0.907206201553345,0.882500052452087
"statlog-landsat",8,"dropToValue",256,0.1,"cone",0.05,1,0.906984508037567,0.892000019550323
"statlog-landsat",2,"dropToValue",256,0.1,"rect",0.05,1,0.906984508037567,0.891000032424927
"statlog-landsat",2,"dropToValue",1024,0.1,"cone",0,1,0.906541049480438,0.899500012397766
"statlog-landsat",2,"dropToValue",512,0.1,"cone",0,1,0.906430184841156,0.897499978542328
"statlog-landsat",16,"dropToValue",256,0.1,"cone",0,1,0.906319314241409,0.894500136375427
"statlog-landsat",3,"dropToValue",1024,0.01,"cone",0,1,0.906087875366211,0.89300000667572
"statlog-landsat",8,"dropToValue",1024,0.01,"rect",0.05,1,0.905543261766434,0.894000053405762
"statlog-landsat",8,"dropToValue",512,0.01,"cone",0,1,0.905099809169769,0.89900004863739
"statlog-landsat",3,"dropToValue",1024,0.01,"rect",0.05,1,0.904847741127014,0.888000071048737
"statlog-landsat",4,"dropToValue",512,0.01,"rect",0,1,0.904323756694794,0.902000069618225
"statlog-landsat",3,"dropToValue",512,0.1,"rect",0.05,1,0.904171293973923,0.898499965667725
"statlog-landsat",3,"dropToValue",256,0.1,"rect",0.05,1,0.903720337152481,0.88100004196167
"statlog-landsat",3,"dropToValue",512,0.01,"rect",0.05,1,0.903043919801712,0.883500039577484
"statlog-landsat",2,"dropToValue",512,0.1,"rect",0.05,1,0.90277162194252,0.891000092029572
"statlog-landsat",4,"dropToValue",1024,0.01,"rect",0,1,0.902549910545349,0.892000079154968
"statlog-landsat",3,"dropToValue",1024,0.01,"cone",0.05,1,0.900789093971253,0.882000029087067
"statlog-landsat",16,"dropToValue",512,0.01,"rect",0.05,1,0.900554358959198,0.875000059604645
"statlog-landsat",16,"dropToValue",1024,0.01,"rect",0.05,1,0.900221759080887,0.886000037193298
"statlog-landsat",4,"dropToValue",512,0.01,"cone",0,1,0.899445700645447,0.893000066280365
"statlog-landsat",4,"dropToValue",256,0.01,"rect",0,1,0.899002248048782,0.895000040531158
"statlog-landsat",8,"dropToValue",512,0.01,"rect",0.05,1,0.899002194404602,0.879500031471252
"statlog-landsat",3,"dropToValue",256,0.01,"cone",0,1,0.898985266685486,0.889500081539154
"statlog-landsat",3,"dropToValue",512,0.01,"cone",0,1,0.898985254764557,0.892000019550323
"statlog-landsat",16,"dropToValue",1024,0.1,"cone",0,1,0.898115319013596,0.88700008392334
"statlog-landsat",3,"dropToValue",256,0.01,"rect",0.05,1,0.896955937147141,0.874000012874603
"statlog-landsat",2,"dropToValue",256,0.1,"cone",0,1,0.896452361345291,0.886500060558319
"statlog-landsat",2,"dropToValue",256,0.1,"rect",0,1,0.896119743585587,0.900000035762787
"statlog-landsat",32,"dropToValue",1024,0.01,"rect",0.05,1,0.893902426958084,0.866000056266785
"statlog-landsat",4,"dropToValue",1024,0.01,"cone",0.05,1,0.893680691719055,0.886500000953674
"statlog-landsat",4,"dropToValue",512,0.01,"rect",0.05,1,0.893680691719055,0.889000058174133
"statlog-landsat",3,"dropToValue",512,0.01,"cone",0.05,1,0.893235570192337,0.87500011920929
"statlog-landsat",8,"dropToValue",256,0.01,"rect",0.05,1,0.892572045326233,0.880000054836273
"statlog-landsat",2,"dropToValue",1024,0.1,"rect",0.05,1,0.892350345849991,0.89300012588501
"statlog-landsat",4,"dropToValue",256,0.01,"cone",0,1,0.892128646373749,0.895000040531158
"statlog-landsat",16,"dropToValue",512,0.1,"cone",0.05,1,0.891463416814804,0.874500036239624
"statlog-landsat",4,"dropToValue",256,0.01,"rect",0.05,1,0.889467835426331,0.880500078201294
"statlog-landsat",2,"dropToValue",1024,0.01,"rect",0,1,0.889246106147766,0.874000072479248
"statlog-landsat",4,"dropToValue",1024,0.01,"rect",0.05,1,0.888580918312073,0.888000011444092
"statlog-landsat",4,"dropToValue",512,0.01,"cone",0.05,1,0.888137459754944,0.877500057220459
"statlog-landsat",2,"dropToValue",512,0.01,"cone",0,1,0.886031031608582,0.878000020980835
"statlog-landsat",2,"dropToValue",1024,0.01,"cone",0.05,1,0.885365843772888,0.86900007724762
"statlog-landsat",16,"dropToValue",256,0.01,"rect",0.05,1,0.884035468101502,0.862000048160553
"statlog-landsat",3,"dropToValue",256,0.01,"cone",0.05,1,0.88387815952301,0.860000014305115
"statlog-landsat",32,"dropToValue",512,0.01,"rect",0.05,1,0.88348114490509,0.860500037670135
"statlog-landsat",2,"dropToValue",256,0.01,"rect",0,1,0.88348114490509,0.87200003862381
"statlog-landsat",2,"dropToValue",512,0.01,"rect",0.05,1,0.882039904594421,0.864000082015991
"statlog-landsat",32,"dropToValue",256,0.01,"rect",0.05,1,0.881263852119446,0.847500085830688
"statlog-landsat",2,"dropToValue",1024,0.01,"cone",0,1,0.881263852119446,0.875500082969666
"statlog-landsat",2,"dropToValue",512,0.01,"rect",0,1,0.881152987480164,0.880500078201294
"statlog-landsat",2,"dropToValue",512,0.01,"cone",0.05,1,0.881042122840881,0.874000012874603
"statlog-landsat",2,"dropToValue",512,0.1,"rect",0,1,0.879379159212113,0.891500055789948
"statlog-landsat",2,"dropToValue",1024,0.01,"rect",0.05,1,0.879379153251648,0.873499989509583
"statlog-landsat",4,"dropToValue",256,0.01,"cone",0.05,1,0.878935694694519,0.86300003528595
"statlog-landsat",8,"dropToValue",1024,0.01,"cone",0.05,1,0.87549889087677,0.861999988555908
"statlog-landsat",2,"dropToValue",256,0.01,"rect",0.05,1,0.875166296958923,0.861999988555908
"statlog-landsat",16,"dropToValue",1024,0.01,"cone",0.05,1,0.871840357780457,0.847500085830688
"statlog-landsat",16,"dropToValue",512,0.01,"cone",0.05,1,0.870731711387634,0.84250009059906
"statlog-landsat",8,"dropToValue",256,0.01,"cone",0.05,1,0.870399117469788,0.841500043869019
"statlog-landsat",8,"dropToValue",512,0.01,"cone",0.05,1,0.86951220035553,0.842000126838684
"statlog-landsat",2,"dropToValue",256,0.01,"cone",0.05,1,0.867849230766296,0.854000091552734
"statlog-landsat",16,"dropToValue",256,0.1,"cone",0.05,1,0.865631937980652,0.833000004291534
"statlog-landsat",16,"dropToValue",256,0.01,"cone",0.05,1,0.863747239112854,0.835500001907349
"statlog-landsat",2,"dropToValue",256,0.01,"cone",0,1,0.85953438282013,0.84550005197525
"statlog-landsat",32,"dropToValue",1024,0.01,"cone",0.05,1,0.791685223579407,0.748500108718872
"statlog-landsat",32,"dropToValue",1024,0.1,"cone",0.05,1,0.656541049480438,0.601500034332275
"statlog-landsat",32,"dropToValue",1024,0.1,"cone",0,1,0.626496690511704,0.523000061511993
"statlog-landsat",32,"dropToValue",512,0.01,"cone",0.05,1,0.482705122232437,0.453500002622604
"statlog-landsat",32,"dropToValue",256,0.1,"cone",0,1,0.464523285627365,0.501499950885773
"statlog-landsat",32,"dropToValue",256,0.01,"cone",0.05,1,0.461973428726196,0.454000025987625
"statlog-landsat",32,"dropToValue",512,0.1,"cone",0.05,1,0.446895790100098,0.422000020742416
"statlog-landsat",32,"dropToValue",256,0.1,"cone",0.05,1,0.435920193791389,0.462000012397766
"statlog-landsat",32,"dropToValue",512,0.1,"cone",0,1,0.354656340181828,0.230500012636185
"statlog-landsat",32,"dropToValue",512,1,"cone",0.05,1,0.26685144752264,0.230499997735023
"statlog-landsat",3,"dropToValue",1024,1,"cone",0,1,0.252536615729332,0.230500012636185
"statlog-landsat",3,"dropToValue",512,1,"rect",0.05,1,0.2525366127491,0.230500012636185
"statlog-landsat",3,"dropToValue",1024,1,"cone",0.05,1,0.2525366127491,0.230500012636185
