"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-shuttle",3,"dropToValue",512,0.1,"rect",0,1,0.999725407361984,0.998966038227081
"statlog-shuttle",3,"dropToValue",256,0.1,"cone",0,1,0.999713963270187,0.998897075653076
"statlog-shuttle",8,"dropToValue",512,0.01,"rect",0,1,0.999647068977356,0.998966038227081
"statlog-shuttle",3,"dropToValue",256,0.01,"rect",0,1,0.999633860588074,0.998690187931061
"statlog-shuttle",8,"dropToValue",1024,0.01,"rect",0,1,0.999612879753113,0.999172925949097
"statlog-shuttle",3,"dropToValue",256,0.1,"rect",0,1,0.999599522352219,0.998897075653076
"statlog-shuttle",32,"dropToValue",512,0.01,"rect",0,1,0.999567294120789,0.998483300209045
"statlog-shuttle",3,"dropToValue",512,0.1,"cone",0,1,0.999542343616486,0.998828113079071
"statlog-shuttle",16,"dropToValue",256,0.01,"rect",0,1,0.999533104896545,0.998828113079071
"statlog-shuttle",16,"dropToValue",512,0.01,"cone",0,1,0.999533104896545,0.999035000801086
"statlog-shuttle",16,"dropToValue",1024,0.01,"rect",0,1,0.999521708488464,0.998828113079071
"statlog-shuttle",8,"dropToValue",256,0.01,"rect",0,1,0.999510312080383,0.998966038227081
"statlog-shuttle",16,"dropToValue",512,0.01,"rect",0,1,0.999487513303757,0.998759150505066
"statlog-shuttle",3,"dropToValue",1024,0.01,"rect",0,1,0.999485117197037,0.998897075653076
"statlog-shuttle",3,"dropToValue",512,0.01,"cone",0,1,0.999485099315643,0.998621225357056
"statlog-shuttle",32,"dropToValue",512,0.01,"cone",0,1,0.99947612285614,0.999035000801086
"statlog-shuttle",8,"dropToValue",512,0.01,"cone",0,1,0.99947612285614,0.998897075653076
"statlog-shuttle",4,"dropToValue",1024,0.1,"cone",0,1,0.99947612285614,0.998621225357056
"statlog-shuttle",2,"dropToValue",512,0.1,"rect",0,1,0.99947612285614,0.999103963375092
"statlog-shuttle",3,"dropToValue",1024,0.1,"cone",0,1,0.999473690986633,0.999172925949097
"statlog-shuttle",3,"dropToValue",1024,0.01,"cone",0,1,0.999473643302917,0.998552262783051
"statlog-shuttle",2,"dropToValue",1024,0.1,"cone",0,1,0.999430537223816,0.999172925949097
"statlog-shuttle",3,"dropToValue",512,0.01,"rect",0,1,0.999427890777588,0.998690187931061
"statlog-shuttle",4,"dropToValue",256,0.1,"rect",0,1,0.999407738447189,0.998897075653076
"statlog-shuttle",32,"dropToValue",1024,0.01,"rect",0,1,0.999384939670563,0.998759150505066
"statlog-shuttle",4,"dropToValue",512,0.1,"cone",0,1,0.999384933710098,0.998966038227081
"statlog-shuttle",4,"dropToValue",512,0.1,"rect",0,1,0.999373555183411,0.998828113079071
"statlog-shuttle",16,"dropToValue",1024,0.01,"cone",0,1,0.999373531341553,0.998552262783051
"statlog-shuttle",8,"dropToValue",256,0.01,"cone",0,1,0.99936215877533,0.998759150505066
"statlog-shuttle",3,"dropToValue",1024,0.1,"rect",0,1,0.999347829818726,0.998759150505066
"statlog-shuttle",4,"dropToValue",256,0.1,"cone",0,1,0.99933934211731,0.998690187931061
"statlog-shuttle",32,"dropToValue",1024,0.01,"cone",0,1,0.999327969551086,0.998552262783051
"statlog-shuttle",8,"dropToValue",256,0.1,"cone",0,1,0.999327939748764,0.999035000801086
"statlog-shuttle",16,"dropToValue",256,0.01,"cone",0,1,0.999305146932602,0.998759150505066
"statlog-shuttle",2,"dropToValue",1024,0.1,"rect",0,1,0.999282383918762,0.999103963375092
"statlog-shuttle",8,"dropToValue",1024,0.01,"cone",0,1,0.999282371997833,0.998759150505066
"statlog-shuttle",8,"dropToValue",512,0.1,"cone",0,1,0.999282360076904,0.998621225357056
"statlog-shuttle",4,"dropToValue",1024,0.01,"rect",0,1,0.999225401878357,0.999172925949097
