"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-vehicle",8,"dropToValue",256,0.01,"cone",0,1,0.831404936313629,0.800947844982147
"statlog-vehicle",3,"dropToValue",1024,0.1,"cone",0.05,1,0.81875,0.791469216346741
"statlog-vehicle",3,"dropToValue",1024,0.1,"cone",0,1,0.814583337306976,0.805687189102173
"statlog-vehicle",3,"dropToValue",256,0.1,"cone",0,1,0.811805552244186,0.800947904586792
"statlog-vehicle",32,"dropToValue",256,0.01,"rect",0,1,0.809917330741882,0.777251243591309
"statlog-vehicle",3,"dropToValue",1024,0.01,"cone",0,1,0.809722232818604,0.800947904586792
"statlog-vehicle",3,"dropToValue",512,0.1,"cone",0,1,0.802777767181397,0.781990528106689
"statlog-vehicle",2,"dropToValue",256,0.1,"cone",0.05,1,0.796694177389145,0.815165877342224
"statlog-vehicle",3,"dropToValue",1024,0.01,"rect",0,1,0.79444442987442,0.781990528106689
"statlog-vehicle",16,"dropToValue",256,0.01,"rect",0,1,0.790082627534866,0.78672993183136
"statlog-vehicle",3,"dropToValue",512,0.01,"cone",0,1,0.78958335518837,0.791469216346741
"statlog-vehicle",8,"dropToValue",512,0.1,"cone",0,1,0.78925616145134,0.781990587711334
"statlog-vehicle",3,"dropToValue",256,0.01,"rect",0.05,1,0.788888889551163,0.777251183986664
"statlog-vehicle",8,"dropToValue",512,0.01,"cone",0,1,0.788429719209671,0.791469216346741
"statlog-vehicle",3,"dropToValue",1024,0.01,"cone",0.05,1,0.787500005960465,0.791469275951385
"statlog-vehicle",3,"dropToValue",512,0.01,"rect",0.05,1,0.786111116409302,0.777251243591309
"statlog-vehicle",3,"dropToValue",256,0.1,"rect",0,1,0.785416698455811,0.781990528106689
"statlog-vehicle",3,"dropToValue",512,0.1,"rect",0.05,1,0.784722226858139,0.781990528106689
"statlog-vehicle",3,"dropToValue",512,0.1,"cone",0.05,1,0.78402778506279,0.781990587711334
"statlog-vehicle",3,"dropToValue",512,0.01,"rect",0,1,0.784027773141861,0.767772555351257
"statlog-vehicle",2,"dropToValue",1024,0.1,"cone",0.05,1,0.78347105383873,0.758293867111206
"statlog-vehicle",16,"dropToValue",1024,0.1,"cone",0,1,0.783471041917801,0.767772555351257
"statlog-vehicle",3,"dropToValue",1024,0.01,"rect",0.05,1,0.783333325386047,0.796208500862122
"statlog-vehicle",8,"dropToValue",1024,0.01,"cone",0,1,0.781818157434464,0.758293807506561
"statlog-vehicle",8,"dropToValue",512,0.01,"rect",0,1,0.779338818788529,0.753554463386536
"statlog-vehicle",8,"dropToValue",256,0.1,"cone",0,1,0.778512364625931,0.800947904586792
"statlog-vehicle",4,"dropToValue",256,0.1,"cone",0,1,0.778512364625931,0.810426592826843
"statlog-vehicle",32,"dropToValue",1024,0.01,"cone",0,1,0.777685922384262,0.796208500862122
"statlog-vehicle",8,"dropToValue",1024,0.1,"cone",0.05,1,0.777685922384262,0.843601882457733
"statlog-vehicle",4,"dropToValue",256,0.1,"cone",0.05,1,0.7768594622612,0.781990528106689
"statlog-vehicle",8,"dropToValue",1024,0.1,"cone",0,1,0.77603303194046,0.800947904586792
"statlog-vehicle",16,"dropToValue",512,0.1,"cone",0,1,0.776033020019531,0.744075834751129
"statlog-vehicle",3,"dropToValue",512,0.01,"cone",0.05,1,0.772916656732559,0.796208500862122
"statlog-vehicle",2,"dropToValue",256,0.1,"cone",0,1,0.772727257013321,0.748815178871155
"statlog-vehicle",2,"dropToValue",512,0.1,"cone",0,1,0.771900826692581,0.800947904586792
"statlog-vehicle",4,"dropToValue",256,0.1,"rect",0,1,0.771900802850723,0.791469275951385
"statlog-vehicle",3,"dropToValue",256,0.01,"rect",0,1,0.771527767181396,0.772511899471283
"statlog-vehicle",4,"dropToValue",256,0.01,"cone",0,1,0.771074330806732,0.791469156742096
"statlog-vehicle",4,"dropToValue",512,0.01,"rect",0,1,0.770247894525528,0.777251183986664
"statlog-vehicle",3,"dropToValue",256,0.1,"rect",0.05,1,0.770138871669769,0.796208500862122
"statlog-vehicle",4,"dropToValue",1024,0.1,"cone",0,1,0.769421470165253,0.744075834751129
"statlog-vehicle",2,"dropToValue",1024,0.1,"rect",0,1,0.769421464204788,0.720379114151001
"statlog-vehicle",16,"dropToValue",1024,0.01,"rect",0,1,0.768594998121262,0.805687248706818
"statlog-vehicle",4,"dropToValue",512,0.1,"rect",0.05,1,0.766115671396256,0.75355452299118
"statlog-vehicle",2,"dropToValue",1024,0.1,"rect",0.05,1,0.765289235115051,0.777251243591309
"statlog-vehicle",8,"dropToValue",256,0.01,"rect",0,1,0.765289229154587,0.81990522146225
"statlog-vehicle",3,"dropToValue",1024,0.1,"rect",0.05,1,0.765277791023254,0.67772513628006
"statlog-vehicle",2,"dropToValue",256,0.01,"cone",0,1,0.764462786912918,0.767772495746613
"statlog-vehicle",2,"dropToValue",512,0.1,"rect",0.05,1,0.763636344671249,0.772511839866638
"statlog-vehicle",4,"dropToValue",256,0.1,"rect",0.05,1,0.763636338710785,0.758293926715851
"statlog-vehicle",16,"dropToValue",512,0.01,"rect",0,1,0.761156988143921,0.744075834751129
"statlog-vehicle",3,"dropToValue",512,0.1,"rect",0,1,0.761111110448837,0.777251243591309
"statlog-vehicle",4,"dropToValue",1024,0.1,"cone",0.05,1,0.758677661418915,0.758293867111206
"statlog-vehicle",4,"dropToValue",512,0.01,"cone",0,1,0.757851225137711,0.758293867111206
"statlog-vehicle",2,"dropToValue",512,0.1,"rect",0,1,0.757851201295853,0.800947904586792
"statlog-vehicle",4,"dropToValue",256,0.01,"cone",0.05,1,0.757024776935577,0.734597146511078
"statlog-vehicle",4,"dropToValue",512,0.1,"cone",0,1,0.757024765014648,0.786729872226715
"statlog-vehicle",16,"dropToValue",256,0.1,"cone",0,1,0.757024759054184,0.739336490631104
"statlog-vehicle",3,"dropToValue",256,0.1,"cone",0.05,1,0.756944441795349,0.786729872226715
"statlog-vehicle",8,"dropToValue",1024,0.01,"rect",0,1,0.755371880531311,0.777251124382019
"statlog-vehicle",3,"dropToValue",256,0.01,"cone",0,1,0.754861116409302,0.767772495746613
"statlog-vehicle",2,"dropToValue",1024,0.01,"rect",0.05,1,0.754545426368713,0.763033211231232
"statlog-vehicle",2,"dropToValue",256,0.01,"rect",0,1,0.75371897816658,0.781990528106689
"statlog-vehicle",16,"dropToValue",512,0.01,"cone",0,1,0.752066081762314,0.781990587711334
