"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"steel-plates",16,"dropToValue",1024,0.01,"rect",0,1,0.759,0.7835
"steel-plates",32,"dropToValue",256,0.01,"rect",0,1,0.7508,0.7299
"steel-plates",4,"dropToValue",1024,0.01,"rect",0,1,0.7459,0.7588
"steel-plates",8,"dropToValue",512,0.01,"rect",0,1,0.7449,0.7753
"steel-plates",16,"dropToValue",512,0.01,"rect",0,1,0.7446,0.7464
"steel-plates",8,"dropToValue",1024,0.01,"rect",0,1,0.7439,0.7711
"steel-plates",3,"dropToValue",256,0.1,"rect",0.05,1,0.7409,0.7485
"steel-plates",3,"dropToValue",256,0.1,"cone",0.05,1,0.7391,0.7485
"steel-plates",3,"dropToValue",512,0.1,"rect",0.05,1,0.7384,0.7423
"steel-plates",8,"dropToValue",256,0.1,"rect",0,1,0.7384,0.7732
"steel-plates",16,"dropToValue",256,0.01,"rect",0,1,0.738,0.767
"steel-plates",16,"dropToValue",1024,0.1,"cone",0.05,1,0.7361,0.7526
"steel-plates",8,"dropToValue",512,0.1,"cone",0,1,0.7344,0.7505
"steel-plates",4,"dropToValue",256,0.1,"rect",0,1,0.7344,0.7732
"steel-plates",8,"dropToValue",512,0.1,"cone",0.05,1,0.7338,0.7629
"steel-plates",3,"dropToValue",1024,0.1,"cone",0.05,1,0.7317,0.7691
"steel-plates",32,"dropToValue",1024,0.01,"rect",0,1,0.7308,0.7423
"steel-plates",2,"dropToValue",256,0.1,"rect",0,1,0.7305,0.7134
"steel-plates",3,"dropToValue",512,0.1,"cone",0.05,1,0.7285,0.7485
"steel-plates",4,"dropToValue",512,0.01,"rect",0,1,0.7275,0.7588
"steel-plates",4,"dropToValue",512,0.1,"rect",0.05,1,0.7272,0.7567
"steel-plates",16,"dropToValue",512,0.01,"cone",0,1,0.7256,0.7464
"steel-plates",4,"dropToValue",512,0.1,"cone",0,1,0.7252,0.7423
"steel-plates",32,"dropToValue",1024,0.01,"cone",0,1,0.7249,0.767
"steel-plates",3,"dropToValue",256,0.01,"rect",0.05,1,0.7249,0.7423
"steel-plates",8,"dropToValue",256,0.01,"rect",0,1,0.7243,0.7608
"steel-plates",3,"dropToValue",1024,0.1,"rect",0,1,0.7228,0.7196
"steel-plates",3,"dropToValue",256,0.1,"cone",0,1,0.7224,0.732
"steel-plates",4,"dropToValue",256,0.1,"cone",0.05,1,0.7223,0.7711
"steel-plates",4,"dropToValue",256,0.1,"cone",0,1,0.7223,0.7443
"steel-plates",3,"dropToValue",1024,0.01,"rect",0,1,0.7221,0.7361
"steel-plates",3,"dropToValue",1024,0.1,"cone",0,1,0.7221,0.7299
"steel-plates",3,"dropToValue",512,0.01,"rect",0,1,0.7214,0.7361
"steel-plates",8,"dropToValue",512,0.01,"rect",0.05,1,0.7213,0.7629
"steel-plates",8,"dropToValue",256,0.1,"rect",0.05,1,0.721,0.7588
"steel-plates",4,"dropToValue",1024,0.1,"cone",0.05,1,0.721,0.7753
"steel-plates",3,"dropToValue",512,0.01,"cone",0,1,0.7206,0.7381
"steel-plates",3,"dropToValue",1024,0.01,"rect",0.05,1,0.7206,0.7485
"steel-plates",8,"dropToValue",512,0.1,"rect",0.05,1,0.7197,0.7464
"steel-plates",4,"dropToValue",256,0.01,"cone",0,1,0.7193,0.734
"steel-plates",3,"dropToValue",256,0.1,"rect",0,1,0.7192,0.7299
"steel-plates",2,"dropToValue",512,0.1,"cone",0,1,0.7184,0.7381
"steel-plates",2,"dropToValue",1024,0.01,"cone",0.05,1,0.718,0.7258
"steel-plates",3,"dropToValue",512,0.1,"cone",0,1,0.7174,0.7381
"steel-plates",8,"dropToValue",1024,0.1,"cone",0.05,1,0.7164,0.7464
"steel-plates",4,"dropToValue",1024,0.1,"rect",0,1,0.7164,0.767
"steel-plates",3,"dropToValue",512,0.1,"rect",0,1,0.7164,0.7546
"steel-plates",8,"dropToValue",256,0.1,"cone",0,1,0.7161,0.7299
"steel-plates",8,"dropToValue",256,0.1,"cone",0.05,1,0.7154,0.7258
"steel-plates",4,"dropToValue",1024,0.01,"cone",0,1,0.7148,0.7505
"steel-plates",2,"dropToValue",256,0.1,"cone",0.05,1,0.7148,0.7485
"steel-plates",3,"dropToValue",512,0.01,"cone",0.05,1,0.7146,0.7381
"steel-plates",2,"dropToValue",1024,0.1,"cone",0.05,1,0.7144,0.7567
"steel-plates",32,"dropToValue",512,0.01,"rect",0,1,0.7141,0.7567
"steel-plates",16,"dropToValue",1024,0.01,"cone",0,1,0.7134,0.732
"steel-plates",4,"dropToValue",256,0.1,"rect",0.05,1,0.7128,0.7423
"steel-plates",2,"dropToValue",512,0.1,"cone",0.05,1,0.7128,0.767
"steel-plates",16,"dropToValue",256,0.01,"cone",0,1,0.7125,0.7237
"steel-plates",3,"dropToValue",1024,0.1,"rect",0.05,1,0.7125,0.7175
"steel-plates",4,"dropToValue",512,0.1,"cone",0.05,1,0.7115,0.7505
"steel-plates",3,"dropToValue",512,0.01,"rect",0.05,1,0.7114,0.7278
"steel-plates",16,"dropToValue",512,0.1,"cone",0,1,0.7108,0.7546
"steel-plates",3,"dropToValue",256,0.01,"cone",0.05,1,0.7103,0.7196
"steel-plates",4,"dropToValue",1024,0.01,"cone",0.05,1,0.7102,0.7361
"steel-plates",2,"dropToValue",512,0.01,"rect",0,1,0.7102,0.7216
"steel-plates",4,"dropToValue",1024,0.1,"cone",0,1,0.7098,0.7155
"steel-plates",4,"dropToValue",256,0.01,"rect",0,1,0.7079,0.7485
"steel-plates",16,"dropToValue",1024,0.1,"cone",0,1,0.7075,0.734
"steel-plates",3,"dropToValue",256,0.01,"rect",0,1,0.7075,0.7258
"steel-plates",2,"dropToValue",1024,0.01,"rect",0.05,1,0.7072,0.732
"steel-plates",8,"dropToValue",1024,0.01,"cone",0,1,0.7066,0.7402
"steel-plates",2,"dropToValue",256,0.01,"rect",0,1,0.7062,0.7278
"steel-plates",2,"dropToValue",256,0.01,"rect",0.05,1,0.7059,0.7196
"steel-plates",4,"dropToValue",512,0.1,"rect",0,1,0.7059,0.7381
"steel-plates",2,"dropToValue",1024,0.1,"rect",0,1,0.7052,0.732
"steel-plates",3,"dropToValue",1024,0.01,"cone",0,1,0.705,0.7505
"steel-plates",32,"dropToValue",512,0.1,"cone",0,1,0.7046,0.732
"steel-plates",16,"dropToValue",256,0.1,"cone",0,1,0.7043,0.7196
"steel-plates",16,"dropToValue",512,0.01,"rect",0.05,1,0.7043,0.7423
"steel-plates",8,"dropToValue",256,0.01,"cone",0,1,0.7039,0.7216
"steel-plates",8,"dropToValue",512,0.01,"cone",0,1,0.7036,0.7402
"steel-plates",2,"dropToValue",1024,0.1,"cone",0,1,0.7036,0.7505
"steel-plates",32,"dropToValue",512,0.01,"cone",0,1,0.7013,0.7196
"steel-plates",4,"dropToValue",256,0.01,"rect",0.05,1,0.701,0.7423
"steel-plates",32,"dropToValue",1024,0.01,"rect",0.05,1,0.7007,0.732
"steel-plates",3,"dropToValue",1024,0.01,"cone",0.05,1,0.7004,0.732
"steel-plates",2,"dropToValue",1024,0.01,"rect",0,1,0.7,0.7402
"steel-plates",8,"dropToValue",1024,0.1,"cone",0,1,0.6993,0.7608
"steel-plates",16,"dropToValue",256,0.1,"rect",0.05,1,0.699,0.7072
"steel-plates",2,"dropToValue",512,0.01,"rect",0.05,1,0.698,0.7155
"steel-plates",2,"dropToValue",256,0.01,"cone",0,1,0.6977,0.7196
"steel-plates",2,"dropToValue",1024,0.01,"cone",0,1,0.6967,0.7361
"steel-plates",2,"dropToValue",1024,0.1,"rect",0.05,1,0.6964,0.6845
"steel-plates",8,"dropToValue",1024,0.01,"rect",0.05,1,0.6964,0.732
"steel-plates",2,"dropToValue",512,0.01,"cone",0,1,0.6957,0.7196
"steel-plates",16,"dropToValue",1024,0.01,"rect",0.05,1,0.6951,0.7505
"steel-plates",2,"dropToValue",512,0.1,"rect",0,1,0.6941,0.6804
"steel-plates",2,"dropToValue",256,0.1,"rect",0.05,1,0.6938,0.734
"steel-plates",4,"dropToValue",512,0.01,"cone",0,1,0.6934,0.7299
"steel-plates",3,"dropToValue",256,0.01,"cone",0,1,0.6929,0.7381
"steel-plates",2,"dropToValue",512,0.01,"cone",0.05,1,0.6925,0.7134
"steel-plates",2,"dropToValue",512,0.1,"rect",0.05,1,0.6898,0.7175
"steel-plates",16,"dropToValue",512,0.1,"rect",0.05,1,0.6895,0.7361
"steel-plates",8,"dropToValue",1024,0.01,"cone",0.05,1,0.6885,0.732
"steel-plates",8,"dropToValue",256,0.01,"rect",0.05,1,0.6866,0.7505
"steel-plates",2,"dropToValue",256,0.1,"cone",0,1,0.6852,0.732
"steel-plates",4,"dropToValue",512,0.01,"rect",0.05,1,0.6836,0.7443
"steel-plates",4,"dropToValue",1024,0.01,"rect",0.05,1,0.6823,0.7196
"steel-plates",16,"dropToValue",512,0.1,"cone",0.05,1,0.6803,0.7237
"steel-plates",4,"dropToValue",1024,0.1,"rect",0.05,1,0.6787,0.7175
"steel-plates",2,"dropToValue",256,0.01,"cone",0.05,1,0.6777,0.7093
"steel-plates",4,"dropToValue",512,0.01,"cone",0.05,1,0.6748,0.699
"steel-plates",4,"dropToValue",256,0.01,"cone",0.05,1,0.6685,0.7216
"steel-plates",8,"dropToValue",512,0.01,"cone",0.05,1,0.6643,0.7216
"steel-plates",16,"dropToValue",256,0.1,"cone",0.05,1,0.6593,0.6784
"steel-plates",16,"dropToValue",256,0.01,"rect",0.05,1,0.6502,0.701
"steel-plates",16,"dropToValue",1024,0.01,"cone",0.05,1,0.6387,0.6928
"steel-plates",32,"dropToValue",256,0.01,"cone",0,1,0.6367,0.6825
"steel-plates",8,"dropToValue",256,0.01,"cone",0.05,1,0.6246,0.6598
"steel-plates",32,"dropToValue",256,0.1,"rect",0.05,1,0.619,0.6103
"steel-plates",32,"dropToValue",256,0.01,"rect",0.05,1,0.619,0.633
"steel-plates",32,"dropToValue",1024,0.1,"cone",0,1,0.6085,0.6845
"steel-plates",16,"dropToValue",512,0.01,"cone",0.05,1,0.598,0.6515
"steel-plates",32,"dropToValue",512,0.01,"rect",0.05,1,0.5944,0.6268
"steel-plates",16,"dropToValue",256,0.01,"cone",0.05,1,0.5311,0.5361
"steel-plates",32,"dropToValue",1024,0.1,"cone",0.05,1,0.5279,0.5464
"steel-plates",32,"dropToValue",1024,0.01,"cone",0.05,1,0.4934,0.5175
"steel-plates",32,"dropToValue",256,0.1,"cone",0,1,0.4839,0.5196
"steel-plates",32,"dropToValue",512,0.1,"cone",0.05,1,0.482,0.5175
"steel-plates",32,"dropToValue",512,0.01,"cone",0.05,1,0.4548,0.4948
"steel-plates",32,"dropToValue",256,1,"cone",0.05,1,0.4282,0.4845
"steel-plates",32,"dropToValue",256,0.1,"cone",0.05,1,0.4197,0.4619
"steel-plates",32,"dropToValue",256,0.01,"cone",0.05,1,0.4095,0.4351
"steel-plates",32,"dropToValue",1024,1,"cone",0.05,1,0.3331,0.3856
"steel-plates",2,"dropToValue",1024,1,"cone",0,1,0.2197,0.2062
"steel-plates",3,"dropToValue",256,1,"cone",0.05,1,0.2078,0.0804
"steel-plates",32,"dropToValue",512,0.1,"rect",0.05,1,0.1984,0.0804
"steel-plates",3,"dropToValue",512,1,"cone",0.05,1,0.1922,0.2062
"steel-plates",3,"dropToValue",512,1,"cone",0,1,0.1922,0.2
"steel-plates",32,"dropToValue",512,1,"cone",0.05,1,0.1816,0.0804
"steel-plates",16,"dropToValue",256,1,"cone",0.05,1,0.1443,0.0804
"steel-plates",8,"dropToValue",1024,0.1,"rect",0.05,1,0.14,0.0804
"steel-plates",32,"dropToValue",1024,0.1,"rect",0.05,1,0.1331,0.0804
"steel-plates",16,"dropToValue",256,0.1,"rect",0,1,0.1311,0.0804
"steel-plates",2,"dropToValue",256,1,"rect",0.05,1,0.1311,0.0804
"steel-plates",2,"dropToValue",512,1,"cone",0,1,0.1262,0.0804
"steel-plates",2,"dropToValue",256,1,"rect",0,1,0.1193,0.0804
"steel-plates",2,"dropToValue",256,1,"cone",0,1,0.119,0.0969
"steel-plates",2,"dropToValue",512,1,"rect",0.05,1,0.1151,0.0804
"steel-plates",3,"dropToValue",1024,1,"cone",0.05,1,0.1139,0.0804
"steel-plates",3,"dropToValue",256,1,"rect",0.05,1,0.1139,0.0804
"steel-plates",3,"dropToValue",512,1,"rect",0.05,1,0.1139,0.0804
"steel-plates",3,"dropToValue",1024,1,"rect",0.05,1,0.1139,0.0804
"steel-plates",3,"dropToValue",256,1,"cone",0,1,0.1139,0.0804
"steel-plates",3,"dropToValue",1024,1,"cone",0,1,0.1139,0.0804
"steel-plates",3,"dropToValue",256,1,"rect",0,1,0.1139,0.0804
"steel-plates",3,"dropToValue",512,1,"rect",0,1,0.1139,0.0804
"steel-plates",3,"dropToValue",1024,1,"rect",0,1,0.1139,0.0804
"steel-plates",16,"dropToValue",1024,0.1,"rect",0.05,1,0.1115,0.0804
"steel-plates",32,"dropToValue",256,0.1,"rect",0,1,0.1082,0.0804
"steel-plates",32,"dropToValue",512,0.1,"rect",0,1,0.1082,0.0804
"steel-plates",32,"dropToValue",1024,0.1,"rect",0,1,0.1082,0.0804
"steel-plates",32,"dropToValue",256,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",32,"dropToValue",512,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",32,"dropToValue",1024,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",32,"dropToValue",256,1,"cone",0,1,0.1082,0.0804
"steel-plates",32,"dropToValue",512,1,"cone",0,1,0.1082,0.0804
"steel-plates",32,"dropToValue",1024,1,"cone",0,1,0.1082,0.0804
"steel-plates",32,"dropToValue",256,1,"rect",0,1,0.1082,0.0804
"steel-plates",32,"dropToValue",512,1,"rect",0,1,0.1082,0.0804
"steel-plates",32,"dropToValue",1024,1,"rect",0,1,0.1082,0.0804
"steel-plates",16,"dropToValue",512,0.1,"rect",0,1,0.1082,0.0804
"steel-plates",16,"dropToValue",1024,0.1,"rect",0,1,0.1082,0.0804
"steel-plates",16,"dropToValue",512,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",16,"dropToValue",1024,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",16,"dropToValue",256,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",16,"dropToValue",512,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",16,"dropToValue",1024,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",16,"dropToValue",256,1,"cone",0,1,0.1082,0.0804
"steel-plates",16,"dropToValue",512,1,"cone",0,1,0.1082,0.0804
"steel-plates",16,"dropToValue",1024,1,"cone",0,1,0.1082,0.0804
"steel-plates",16,"dropToValue",256,1,"rect",0,1,0.1082,0.0804
"steel-plates",16,"dropToValue",512,1,"rect",0,1,0.1082,0.0804
"steel-plates",16,"dropToValue",1024,1,"rect",0,1,0.1082,0.0804
"steel-plates",8,"dropToValue",512,0.1,"rect",0,1,0.1082,0.0804
"steel-plates",8,"dropToValue",1024,0.1,"rect",0,1,0.1082,0.0804
"steel-plates",8,"dropToValue",256,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",8,"dropToValue",512,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",8,"dropToValue",1024,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",8,"dropToValue",256,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",8,"dropToValue",512,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",8,"dropToValue",1024,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",8,"dropToValue",256,1,"cone",0,1,0.1082,0.0804
"steel-plates",8,"dropToValue",512,1,"cone",0,1,0.1082,0.0804
"steel-plates",8,"dropToValue",1024,1,"cone",0,1,0.1082,0.0804
"steel-plates",8,"dropToValue",256,1,"rect",0,1,0.1082,0.0804
"steel-plates",8,"dropToValue",512,1,"rect",0,1,0.1082,0.0804
"steel-plates",8,"dropToValue",1024,1,"rect",0,1,0.1082,0.0804
"steel-plates",4,"dropToValue",256,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",4,"dropToValue",512,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",4,"dropToValue",1024,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",4,"dropToValue",256,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",4,"dropToValue",512,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",4,"dropToValue",1024,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",4,"dropToValue",256,1,"cone",0,1,0.1082,0.0804
"steel-plates",4,"dropToValue",512,1,"cone",0,1,0.1082,0.0804
"steel-plates",4,"dropToValue",1024,1,"cone",0,1,0.1082,0.0804
"steel-plates",4,"dropToValue",256,1,"rect",0,1,0.1082,0.0804
"steel-plates",4,"dropToValue",512,1,"rect",0,1,0.1082,0.0804
"steel-plates",4,"dropToValue",1024,1,"rect",0,1,0.1082,0.0804
"steel-plates",2,"dropToValue",256,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",2,"dropToValue",512,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",2,"dropToValue",1024,1,"cone",0.05,1,0.1082,0.0804
"steel-plates",2,"dropToValue",1024,1,"rect",0.05,1,0.1082,0.0804
"steel-plates",2,"dropToValue",512,1,"rect",0,1,0.1082,0.0804
"steel-plates",2,"dropToValue",1024,1,"rect",0,1,0.1082,0.0804
