"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"synthetic-control",8,"dropToValue",512,0.01,"cone",0,1,0.9878,0.9867
"synthetic-control",8,"dropToValue",512,0.1,"cone",0,1,0.9878,0.9733
"synthetic-control",4,"dropToValue",256,0.1,"cone",0,1,0.9841,0.9867
"synthetic-control",32,"dropToValue",512,0.01,"rect",0.05,1,0.9829,0.9733
"synthetic-control",2,"dropToValue",512,0.1,"cone",0.05,1,0.9829,0.9933
"synthetic-control",16,"dropToValue",256,0.01,"rect",0,1,0.9756,0.9733
"synthetic-control",8,"dropToValue",1024,0.01,"cone",0,1,0.9756,0.9733
"synthetic-control",4,"dropToValue",512,0.01,"rect",0,1,0.9744,0.9867
"synthetic-control",8,"dropToValue",256,0.01,"rect",0,1,0.9732,0.9733
"synthetic-control",32,"dropToValue",1024,0.01,"rect",0.05,1,0.9732,0.9867
"synthetic-control",2,"dropToValue",256,0.1,"rect",0.05,1,0.9707,0.9933
"synthetic-control",2,"dropToValue",1024,0.1,"cone",0,1,0.9707,0.9933
"synthetic-control",16,"dropToValue",1024,0.01,"rect",0.05,1,0.9695,0.9867
"synthetic-control",2,"dropToValue",512,0.1,"rect",0.05,1,0.9695,0.9933
"synthetic-control",3,"dropToValue",512,0.1,"cone",0.05,1,0.9695,1
"synthetic-control",3,"dropToValue",256,0.1,"rect",0.05,1,0.9695,0.9867
"synthetic-control",3,"dropToValue",1024,0.1,"cone",0,1,0.9684,0.9933
"synthetic-control",8,"dropToValue",512,0.1,"cone",0.05,1,0.9683,0.98
"synthetic-control",3,"dropToValue",256,0.1,"cone",0.05,1,0.9674,0.9933
"synthetic-control",8,"dropToValue",256,0.1,"rect",0.05,1,0.9671,0.9867
"synthetic-control",4,"dropToValue",512,0.1,"rect",0.05,1,0.9659,0.9867
"synthetic-control",4,"dropToValue",256,0.01,"rect",0.05,1,0.9646,0.9733
"synthetic-control",8,"dropToValue",256,0.1,"cone",0.05,1,0.9634,0.9933
"synthetic-control",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9634,0.9867
"synthetic-control",8,"dropToValue",256,0.1,"cone",0,1,0.9634,0.98
"synthetic-control",2,"dropToValue",1024,0.1,"rect",0.05,1,0.9634,0.9933
"synthetic-control",2,"dropToValue",512,0.1,"rect",0,1,0.9634,0.9933
"synthetic-control",3,"dropToValue",512,0.01,"rect",0,1,0.9611,0.9867
"synthetic-control",8,"dropToValue",256,0.01,"cone",0.05,1,0.961,0.9733
"synthetic-control",8,"dropToValue",512,0.01,"rect",0.05,1,0.961,0.9933
"synthetic-control",2,"dropToValue",1024,0.1,"cone",0.05,1,0.961,0.9933
"synthetic-control",3,"dropToValue",1024,0.1,"rect",0.05,1,0.96,0.9933
"synthetic-control",3,"dropToValue",512,0.1,"rect",0.05,1,0.96,0.9933
"synthetic-control",3,"dropToValue",512,0.1,"cone",0,1,0.96,1
"synthetic-control",4,"dropToValue",1024,0.01,"rect",0,1,0.9598,0.9933
"synthetic-control",16,"dropToValue",512,0.01,"rect",0.05,1,0.9598,0.9933
"synthetic-control",4,"dropToValue",512,0.1,"cone",0,1,0.9598,0.9933
"synthetic-control",4,"dropToValue",1024,0.1,"cone",0,1,0.9585,0.9867
"synthetic-control",3,"dropToValue",256,0.01,"cone",0.05,1,0.9579,1
"synthetic-control",3,"dropToValue",512,0.01,"cone",0,1,0.9579,0.98
"synthetic-control",3,"dropToValue",1024,0.01,"cone",0,1,0.9579,0.9733
"synthetic-control",3,"dropToValue",256,0.1,"cone",0,1,0.9579,0.9933
"synthetic-control",3,"dropToValue",1024,0.01,"rect",0,1,0.9579,0.98
"synthetic-control",8,"dropToValue",1024,0.1,"cone",0.05,1,0.9573,0.9933
"synthetic-control",4,"dropToValue",256,0.1,"rect",0.05,1,0.9573,0.9933
"synthetic-control",2,"dropToValue",1024,0.01,"rect",0,1,0.9573,0.9867
"synthetic-control",4,"dropToValue",256,0.1,"rect",0,1,0.9561,0.9933
"synthetic-control",2,"dropToValue",512,0.1,"cone",0,1,0.9561,0.98
"synthetic-control",16,"dropToValue",256,0.01,"cone",0,1,0.9561,0.9933
"synthetic-control",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9558,1
"synthetic-control",3,"dropToValue",512,0.1,"rect",0,1,0.9547,0.9867
"synthetic-control",3,"dropToValue",1024,0.01,"rect",0.05,1,0.9516,0.98
