"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"teaching",8,"dropToValue",256,0.01,"cone",0,1,0.6727,0.5
"teaching",8,"dropToValue",256,0.1,"cone",0,1,0.6227,0.5
"teaching",8,"dropToValue",512,0.01,"rect",0.05,1,0.6214,0.5526
"teaching",4,"dropToValue",1024,0.01,"cone",0.05,1,0.6045,0.5526
"teaching",16,"dropToValue",512,0.01,"cone",0,1,0.6,0.5
"teaching",8,"dropToValue",1024,0.1,"cone",0,1,0.5909,0.5526
"teaching",4,"dropToValue",512,0.01,"cone",0,1,0.5864,0.5263
"teaching",2,"dropToValue",1024,0.01,"rect",0.05,1,0.5857,0.5526
"teaching",4,"dropToValue",512,0.1,"cone",0,1,0.5818,0.5526
"teaching",2,"dropToValue",512,0.01,"cone",0,1,0.5773,0.4737
"teaching",2,"dropToValue",512,0.1,"cone",0.05,1,0.5773,0.5789
"teaching",4,"dropToValue",1024,0.1,"cone",0.05,1,0.5727,0.4737
"teaching",4,"dropToValue",256,0.01,"rect",0,1,0.5682,0.4737
"teaching",4,"dropToValue",1024,0.01,"cone",0,1,0.5636,0.4737
"teaching",8,"dropToValue",512,0.01,"cone",0,1,0.5636,0.4737
"teaching",8,"dropToValue",256,0.01,"rect",0,1,0.5636,0.5526
"teaching",8,"dropToValue",1024,0.1,"cone",0.05,1,0.5636,0.4474
"teaching",8,"dropToValue",512,0.1,"cone",0,1,0.5636,0.5263
"teaching",16,"dropToValue",1024,0.1,"cone",0,1,0.5591,0.5526
"teaching",2,"dropToValue",1024,0.01,"cone",0,1,0.5591,0.5263
"teaching",4,"dropToValue",1024,0.01,"rect",0.05,1,0.5571,0.4737
"teaching",2,"dropToValue",1024,0.1,"cone",0,1,0.5545,0.4474
"teaching",2,"dropToValue",1024,0.01,"cone",0.05,1,0.5545,0.4474
"teaching",8,"dropToValue",512,0.1,"cone",0.05,1,0.5545,0.3947
"teaching",16,"dropToValue",256,0.01,"rect",0.05,1,0.55,0.4737
"teaching",4,"dropToValue",512,0.01,"rect",0.05,1,0.55,0.3947
"teaching",8,"dropToValue",512,0.01,"rect",0,1,0.55,0.4737
"teaching",4,"dropToValue",256,0.01,"cone",0,1,0.55,0.5263
"teaching",16,"dropToValue",512,0.01,"rect",0.05,1,0.55,0.5
"teaching",4,"dropToValue",512,0.1,"cone",0.05,1,0.5409,0.4737
"teaching",8,"dropToValue",1024,0.01,"rect",0,1,0.5409,0.6053
"teaching",4,"dropToValue",256,0.1,"rect",0,1,0.5364,0.5
"teaching",4,"dropToValue",1024,0.01,"rect",0,1,0.5364,0.5526
"teaching",16,"dropToValue",512,0.01,"rect",0,1,0.5364,0.5
"teaching",2,"dropToValue",512,0.1,"cone",0,1,0.5364,0.5263
"teaching",4,"dropToValue",256,0.1,"cone",0,1,0.5318,0.5526
"teaching",2,"dropToValue",256,0.1,"cone",0,1,0.5318,0.5263
"teaching",16,"dropToValue",1024,0.01,"rect",0,1,0.5318,0.4737
