"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"thyroid",3,"dropToValue",1024,0.1,"cone",0.05,1,0.983787286281586,0.981621980667114
"thyroid",3,"dropToValue",256,0.1,"cone",0,1,0.983527845144272,0.971120238304138
"thyroid",3,"dropToValue",1024,0.1,"cone",0,1,0.983398175239563,0.972287178039551
"thyroid",3,"dropToValue",1024,0.01,"cone",0,1,0.983268475532532,0.976371169090271
"thyroid",3,"dropToValue",256,0.1,"cone",0.05,1,0.983268439769745,0.9781214594841
"thyroid",3,"dropToValue",512,0.1,"cone",0,1,0.983138775825501,0.977537989616394
"thyroid",4,"dropToValue",512,0.1,"cone",0.05,1,0.982926851511002,0.976662933826447
"thyroid",4,"dropToValue",256,0.1,"cone",0.05,1,0.982670122385025,0.980746865272522
"thyroid",3,"dropToValue",512,0.01,"rect",0,1,0.981841737031937,0.961201965808868
"thyroid",2,"dropToValue",256,0.1,"cone",0,1,0.981771522760391,0.964119136333466
"thyroid",3,"dropToValue",512,0.1,"rect",0,1,0.981582355499268,0.975787758827209
"thyroid",8,"dropToValue",512,0.1,"cone",0,1,0.98087295293808,0.976371109485626
"thyroid",3,"dropToValue",1024,0.01,"rect",0,1,0.980804163217545,0.972578823566437
"thyroid",2,"dropToValue",256,0.1,"cone",0.05,1,0.980744588375092,0.974620819091797
"thyroid",3,"dropToValue",512,0.1,"cone",0.05,1,0.980674427747726,0.977829813957214
"thyroid",2,"dropToValue",256,0.1,"rect",0,1,0.980487853288651,0.974912583827972
"thyroid",2,"dropToValue",512,0.1,"cone",0.05,1,0.98023111820221,0.97199547290802
"thyroid",3,"dropToValue",256,0.1,"rect",0,1,0.980025941133499,0.97607946395874
"thyroid",2,"dropToValue",1024,0.1,"cone",0.05,1,0.979974377155304,0.975204288959503
"thyroid",3,"dropToValue",256,0.1,"rect",0.05,1,0.979766494035721,0.979288280010223
