"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"titanic",8,"dropToValue",256,0.01,"cone",0,1,0.7941,0.7836
"titanic",32,"dropToValue",512,0.01,"cone",0,1,0.7921,0.7836
"titanic",16,"dropToValue",512,0.1,"cone",0,1,0.7918,0.7873
"titanic",32,"dropToValue",1024,0.01,"rect",0,1,0.7918,0.7873
"titanic",16,"dropToValue",1024,0.01,"cone",0,1,0.7918,0.7873
"titanic",8,"dropToValue",256,0.1,"cone",0,1,0.7915,0.7836
"titanic",32,"dropToValue",512,0.01,"rect",0,1,0.7913,0.7836
"titanic",8,"dropToValue",512,0.01,"cone",0,1,0.7913,0.7873
"titanic",4,"dropToValue",256,0.01,"cone",0,1,0.7904,0.7836
"titanic",4,"dropToValue",1024,0.01,"rect",0.05,1,0.79,0.7927
"titanic",8,"dropToValue",512,0.1,"cone",0.05,1,0.7893,0.7873
"titanic",4,"dropToValue",512,0.01,"rect",0.05,1,0.7892,0.7909
"titanic",32,"dropToValue",256,0.01,"rect",0,1,0.789,0.7836
"titanic",16,"dropToValue",512,0.01,"cone",0,1,0.789,0.7836
"titanic",16,"dropToValue",512,0.01,"rect",0,1,0.789,0.7873
"titanic",8,"dropToValue",1024,0.01,"cone",0,1,0.7885,0.7873
"titanic",4,"dropToValue",1024,0.01,"cone",0,1,0.7885,0.7909
"titanic",8,"dropToValue",512,0.1,"cone",0,1,0.7882,0.7873
"titanic",16,"dropToValue",1024,0.1,"cone",0,1,0.7879,0.7873
"titanic",16,"dropToValue",256,0.1,"cone",0,1,0.7879,0.7873
"titanic",2,"dropToValue",512,0.01,"cone",0,1,0.787,0.7873
"titanic",8,"dropToValue",1024,0.1,"cone",0,1,0.7868,0.7873
"titanic",4,"dropToValue",1024,0.01,"rect",0,1,0.7868,0.7836
"titanic",2,"dropToValue",512,0.01,"rect",0,1,0.7868,0.7873
"titanic",32,"dropToValue",1024,0.1,"cone",0,1,0.7868,0.7873
"titanic",2,"dropToValue",1024,0.01,"rect",0.05,1,0.7867,0.7909
"titanic",16,"dropToValue",256,0.01,"rect",0,1,0.7862,0.7873
"titanic",4,"dropToValue",1024,0.1,"cone",0,1,0.7859,0.7909
"titanic",4,"dropToValue",256,0.1,"cone",0,1,0.7859,0.7873
"titanic",2,"dropToValue",1024,0.01,"cone",0,1,0.7859,0.7873
"titanic",4,"dropToValue",256,0.01,"rect",0,1,0.7856,0.7873
"titanic",16,"dropToValue",1024,0.01,"rect",0,1,0.7854,0.7873
"titanic",2,"dropToValue",1024,0.01,"cone",0.05,1,0.7854,0.7873
"titanic",8,"dropToValue",512,0.01,"rect",0,1,0.7851,0.7909
"titanic",4,"dropToValue",512,0.1,"cone",0,1,0.7851,0.7873
"titanic",16,"dropToValue",512,0.01,"rect",0.05,1,0.7849,0.78
"titanic",8,"dropToValue",256,0.01,"rect",0,1,0.7848,0.7873
"titanic",2,"dropToValue",512,0.01,"cone",0.05,1,0.7845,0.7873
"titanic",8,"dropToValue",1024,0.01,"rect",0,1,0.7842,0.7873
"titanic",2,"dropToValue",512,0.1,"cone",0,1,0.7842,0.7673
"titanic",3,"dropToValue",1024,0.01,"cone",0.05,1,0.7841,0.7873
"titanic",2,"dropToValue",256,0.01,"rect",0,1,0.7837,0.7873
"titanic",4,"dropToValue",512,0.01,"rect",0,1,0.7837,0.7836
"titanic",32,"dropToValue",1024,0.01,"cone",0,1,0.7834,0.7873
"titanic",8,"dropToValue",1024,0.01,"cone",0.05,1,0.7828,0.7764
"titanic",16,"dropToValue",256,0.1,"rect",0.05,1,0.7828,0.78
"titanic",3,"dropToValue",1024,0.1,"cone",0.05,1,0.7827,0.7873
"titanic",3,"dropToValue",1024,0.01,"cone",0,1,0.7827,0.7873
"titanic",3,"dropToValue",512,0.1,"rect",0.05,1,0.7821,0.7873
"titanic",3,"dropToValue",256,0.01,"rect",0.05,1,0.7821,0.7836
"titanic",3,"dropToValue",256,0.1,"rect",0,1,0.7815,0.7873
"titanic",4,"dropToValue",1024,0.01,"cone",0.05,1,0.7814,0.78
"titanic",2,"dropToValue",1024,0.1,"rect",0,1,0.7814,0.7873
"titanic",8,"dropToValue",512,0.01,"rect",0.05,1,0.7814,0.7673
"titanic",16,"dropToValue",1024,0.01,"rect",0.05,1,0.7814,0.7727
"titanic",2,"dropToValue",512,0.01,"rect",0.05,1,0.7814,0.7927
"titanic",3,"dropToValue",1024,0.01,"rect",0,1,0.7812,0.7873
"titanic",8,"dropToValue",1024,0.01,"rect",0.05,1,0.781,0.7727
"titanic",3,"dropToValue",1024,0.1,"cone",0,1,0.7809,0.7873
"titanic",2,"dropToValue",256,0.1,"rect",0,1,0.7808,0.7709
"titanic",3,"dropToValue",512,0.01,"cone",0,1,0.7806,0.7873
"titanic",4,"dropToValue",512,0.01,"cone",0,1,0.7806,0.7873
"titanic",4,"dropToValue",1024,0.1,"cone",0.05,1,0.7806,0.7873
"titanic",2,"dropToValue",256,0.1,"cone",0,1,0.7806,0.7873
"titanic",8,"dropToValue",1024,0.1,"cone",0.05,1,0.7806,0.78
"titanic",8,"dropToValue",256,0.1,"cone",0.05,1,0.78,0.7764
"titanic",2,"dropToValue",1024,0.01,"rect",0,1,0.78,0.7364
"titanic",16,"dropToValue",1024,1,"cone",0.05,1,0.78,0.7709
"titanic",3,"dropToValue",256,0.1,"cone",0,1,0.778,0.7836
"titanic",3,"dropToValue",512,0.1,"cone",0,1,0.778,0.7673
"titanic",8,"dropToValue",256,0.1,"rect",0.05,1,0.7778,0.7818
"titanic",2,"dropToValue",512,0.1,"cone",0.05,1,0.7777,0.7709
"titanic",3,"dropToValue",256,0.01,"cone",0,1,0.7775,0.7836
"titanic",3,"dropToValue",512,0.01,"rect",0.05,1,0.7766,0.7764
