"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"twonorm",8,"dropToValue",256,0.01,"cone",0,1,0.9785,0.9805
"twonorm",16,"dropToValue",256,0.01,"rect",0.05,1,0.9779,0.9843
"twonorm",4,"dropToValue",256,0.01,"cone",0,1,0.9779,0.9822
"twonorm",3,"dropToValue",256,0.01,"cone",0.05,1,0.9777,0.9811
"twonorm",3,"dropToValue",1024,0.01,"cone",0,1,0.9776,0.9827
"twonorm",8,"dropToValue",256,0.01,"cone",0.05,1,0.9776,0.9816
"twonorm",3,"dropToValue",256,0.01,"rect",0.05,1,0.9775,0.9816
"twonorm",3,"dropToValue",256,0.01,"rect",0,1,0.9773,0.9816
"twonorm",3,"dropToValue",512,0.1,"cone",0.05,1,0.9772,0.9827
"twonorm",3,"dropToValue",256,0.01,"cone",0,1,0.9772,0.9822
"twonorm",16,"dropToValue",256,0.01,"cone",0.05,1,0.9771,0.9811
"twonorm",16,"dropToValue",512,0.1,"cone",0.05,1,0.977,0.9778
"twonorm",16,"dropToValue",1024,0.1,"cone",0.05,1,0.977,0.9822
"twonorm",8,"dropToValue",1024,0.1,"cone",0,1,0.9766,0.9789
"twonorm",4,"dropToValue",256,0.01,"cone",0.05,1,0.9766,0.9805
"twonorm",2,"dropToValue",512,0.1,"cone",0,1,0.9766,0.9816
"twonorm",8,"dropToValue",256,0.1,"rect",0.05,1,0.9765,0.9795
"twonorm",16,"dropToValue",512,0.01,"cone",0.05,1,0.9765,0.9827
"twonorm",8,"dropToValue",1024,0.01,"cone",0.05,1,0.9765,0.9827
"twonorm",32,"dropToValue",1024,0.01,"rect",0.05,1,0.9765,0.9822
"twonorm",8,"dropToValue",512,0.1,"cone",0.05,1,0.9764,0.9816
"twonorm",3,"dropToValue",512,0.01,"rect",0.05,1,0.9763,0.9832
"twonorm",3,"dropToValue",256,0.1,"cone",0.05,1,0.9763,0.9805
"twonorm",8,"dropToValue",256,0.1,"cone",0.05,1,0.9763,0.98
"twonorm",4,"dropToValue",256,0.01,"rect",0,1,0.9763,0.9811
"twonorm",2,"dropToValue",512,0.01,"cone",0.05,1,0.9762,0.9822
"twonorm",8,"dropToValue",1024,0.01,"cone",0,1,0.9762,0.9816
"twonorm",3,"dropToValue",1024,0.1,"cone",0.05,1,0.9762,0.98
"twonorm",8,"dropToValue",512,0.01,"cone",0.05,1,0.976,0.9805
"twonorm",32,"dropToValue",1024,0.1,"cone",0,1,0.976,0.9773
"twonorm",4,"dropToValue",512,0.01,"rect",0.05,1,0.976,0.9811
"twonorm",8,"dropToValue",512,0.1,"rect",0.05,1,0.9759,0.9827
"twonorm",8,"dropToValue",256,0.1,"cone",0,1,0.9759,0.9805
"twonorm",3,"dropToValue",1024,0.01,"cone",0.05,1,0.9758,0.9822
"twonorm",3,"dropToValue",256,0.1,"rect",0.05,1,0.9757,0.9827
"twonorm",8,"dropToValue",1024,0.01,"rect",0.05,1,0.9757,0.9822
"twonorm",4,"dropToValue",256,0.1,"cone",0.05,1,0.9757,0.9822
