"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"vertebral-column-3clases",3,"dropToValue",512,0.01,"cone",0,1,0.9094,0.8312
"vertebral-column-3clases",3,"dropToValue",512,0.01,"rect",0,1,0.9038,0.7922
"vertebral-column-3clases",3,"dropToValue",256,0.01,"cone",0,1,0.9019,0.8312
"vertebral-column-3clases",3,"dropToValue",512,0.01,"rect",0.05,1,0.8981,0.8182
"vertebral-column-3clases",3,"dropToValue",512,0.1,"cone",0.05,1,0.8943,0.7922
"vertebral-column-3clases",3,"dropToValue",256,0.1,"cone",0.05,1,0.8925,0.8182
"vertebral-column-3clases",3,"dropToValue",1024,0.01,"rect",0.05,1,0.8925,0.8182
"vertebral-column-3clases",3,"dropToValue",256,0.01,"rect",0.05,1,0.8887,0.8052
"vertebral-column-3clases",3,"dropToValue",256,0.1,"rect",0.05,1,0.8887,0.7792
"vertebral-column-3clases",2,"dropToValue",256,0.1,"cone",0,1,0.8886,0.8052
"vertebral-column-3clases",3,"dropToValue",1024,0.01,"cone",0,1,0.8868,0.8182
"vertebral-column-3clases",2,"dropToValue",256,0.1,"cone",0.05,1,0.8864,0.8052
"vertebral-column-3clases",3,"dropToValue",256,0.01,"cone",0.05,1,0.8849,0.8182
"vertebral-column-3clases",3,"dropToValue",256,0.01,"rect",0,1,0.8849,0.8312
"vertebral-column-3clases",3,"dropToValue",1024,0.01,"rect",0,1,0.8849,0.7792
"vertebral-column-3clases",8,"dropToValue",256,0.1,"cone",0.05,1,0.8841,0.8571
"vertebral-column-3clases",16,"dropToValue",256,0.01,"rect",0.05,1,0.8841,0.7273
"vertebral-column-3clases",2,"dropToValue",256,0.1,"rect",0,1,0.8841,0.8312
"vertebral-column-3clases",32,"dropToValue",256,0.01,"rect",0,1,0.8795,0.7532
"vertebral-column-3clases",32,"dropToValue",256,0.01,"cone",0,1,0.8795,0.8312
"vertebral-column-3clases",8,"dropToValue",1024,0.01,"rect",0,1,0.8773,0.8442
"vertebral-column-3clases",16,"dropToValue",1024,0.01,"rect",0,1,0.8773,0.8052
"vertebral-column-3clases",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8755,0.7922
"vertebral-column-3clases",16,"dropToValue",1024,0.01,"cone",0.05,1,0.875,0.8182
"vertebral-column-3clases",16,"dropToValue",256,0.1,"cone",0.05,1,0.875,0.8052
"vertebral-column-3clases",16,"dropToValue",256,0.1,"cone",0,1,0.875,0.8182
"vertebral-column-3clases",16,"dropToValue",512,0.01,"rect",0,1,0.875,0.8182
"vertebral-column-3clases",4,"dropToValue",256,0.1,"rect",0.05,1,0.875,0.8442
"vertebral-column-3clases",4,"dropToValue",1024,0.1,"cone",0,1,0.8727,0.8182
"vertebral-column-3clases",2,"dropToValue",1024,0.1,"rect",0,1,0.8727,0.8182
"vertebral-column-3clases",2,"dropToValue",256,0.1,"rect",0.05,1,0.8727,0.8442
"vertebral-column-3clases",16,"dropToValue",1024,0.1,"cone",0.05,1,0.8705,0.8312
"vertebral-column-3clases",8,"dropToValue",1024,0.1,"cone",0,1,0.8705,0.8312
"vertebral-column-3clases",3,"dropToValue",256,0.1,"cone",0,1,0.8698,0.8312
"vertebral-column-3clases",4,"dropToValue",512,0.1,"rect",0.05,1,0.8682,0.8831
"vertebral-column-3clases",3,"dropToValue",512,0.01,"cone",0.05,1,0.8679,0.8182
"vertebral-column-3clases",8,"dropToValue",512,0.01,"cone",0.05,1,0.8659,0.8182
"vertebral-column-3clases",8,"dropToValue",512,0.1,"cone",0.05,1,0.8659,0.8571
"vertebral-column-3clases",4,"dropToValue",256,0.01,"cone",0,1,0.8659,0.8312
"vertebral-column-3clases",8,"dropToValue",512,0.01,"rect",0,1,0.8659,0.8442
"vertebral-column-3clases",3,"dropToValue",512,0.1,"cone",0,1,0.8642,0.8182
"vertebral-column-3clases",16,"dropToValue",512,0.01,"cone",0.05,1,0.8636,0.7532
"vertebral-column-3clases",8,"dropToValue",256,0.01,"cone",0.05,1,0.8636,0.8182
"vertebral-column-3clases",8,"dropToValue",1024,0.01,"cone",0.05,1,0.8636,0.8182
"vertebral-column-3clases",8,"dropToValue",512,0.01,"cone",0,1,0.8636,0.8312
"vertebral-column-3clases",2,"dropToValue",1024,0.01,"rect",0,1,0.8636,0.8312
"vertebral-column-3clases",2,"dropToValue",1024,0.1,"cone",0,1,0.8636,0.8442
"vertebral-column-3clases",16,"dropToValue",512,0.01,"cone",0,1,0.8614,0.8182
"vertebral-column-3clases",2,"dropToValue",512,0.1,"rect",0,1,0.8614,0.7662
"vertebral-column-3clases",2,"dropToValue",256,0.01,"rect",0.05,1,0.8591,0.7662
"vertebral-column-3clases",2,"dropToValue",512,0.1,"cone",0,1,0.8591,0.8442
"vertebral-column-3clases",2,"dropToValue",512,0.1,"cone",0.05,1,0.8591,0.8182
"vertebral-column-3clases",2,"dropToValue",512,0.1,"rect",0.05,1,0.8591,0.8312
"vertebral-column-3clases",3,"dropToValue",256,0.1,"rect",0,1,0.8585,0.8312
"vertebral-column-3clases",32,"dropToValue",256,0.01,"rect",0.05,1,0.8568,0.7792
"vertebral-column-3clases",8,"dropToValue",1024,0.01,"rect",0.05,1,0.8568,0.7922
"vertebral-column-3clases",8,"dropToValue",256,0.1,"cone",0,1,0.8568,0.8182
"vertebral-column-3clases",2,"dropToValue",512,0.01,"rect",0,1,0.8568,0.8312
"vertebral-column-3clases",2,"dropToValue",1024,0.1,"rect",0.05,1,0.8568,0.8182
"vertebral-column-3clases",32,"dropToValue",512,0.01,"rect",0,1,0.8568,0.8442
"vertebral-column-3clases",3,"dropToValue",512,0.1,"rect",0.05,1,0.8566,0.8312
"vertebral-column-3clases",4,"dropToValue",512,0.01,"rect",0,1,0.8545,0.8182
"vertebral-column-3clases",4,"dropToValue",1024,0.01,"rect",0,1,0.8545,0.8312
"vertebral-column-3clases",16,"dropToValue",512,0.1,"cone",0,1,0.8523,0.7922
"vertebral-column-3clases",8,"dropToValue",1024,0.01,"cone",0,1,0.8523,0.8052
"vertebral-column-3clases",2,"dropToValue",1024,0.01,"cone",0,1,0.8523,0.8052
"vertebral-column-3clases",16,"dropToValue",1024,0.1,"cone",0,1,0.8523,0.7792
"vertebral-column-3clases",8,"dropToValue",256,0.1,"rect",0.05,1,0.8523,0.8442
"vertebral-column-3clases",4,"dropToValue",256,0.01,"rect",0,1,0.8523,0.8312
"vertebral-column-3clases",4,"dropToValue",512,0.1,"cone",0.05,1,0.8523,0.8442
"vertebral-column-3clases",4,"dropToValue",1024,0.01,"cone",0,1,0.85,0.8442
"vertebral-column-3clases",8,"dropToValue",512,0.1,"cone",0,1,0.85,0.8571
"vertebral-column-3clases",4,"dropToValue",256,0.1,"rect",0,1,0.85,0.8442
