"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"wall-following",4,"dropToValue",256,0.1,"cone",0,1,0.921341502666473,0.909824073314667
"wall-following",3,"dropToValue",256,0.1,"cone",0,1,0.914956748485565,0.92375373840332
"wall-following",4,"dropToValue",1024,0.1,"rect",0,1,0.914512228965759,0.901759564876556
"wall-following",8,"dropToValue",512,0.1,"cone",0,1,0.912560963630676,0.899560153484344
"wall-following",2,"dropToValue",1024,0.1,"rect",0,1,0.912073242664337,0.918621718883514
"wall-following",4,"dropToValue",512,0.1,"cone",0.05,1,0.911829316616058,0.905425250530243
"wall-following",2,"dropToValue",512,0.1,"rect",0,1,0.911829316616058,0.90615838766098
"wall-following",2,"dropToValue",256,0.1,"rect",0,1,0.911219525337219,0.91715544462204
"wall-following",16,"dropToValue",512,0.01,"cone",0,1,0.910975658893585,0.904692113399506
"wall-following",4,"dropToValue",512,0.1,"cone",0,1,0.910975658893585,0.901759564876556
"wall-following",3,"dropToValue",512,0.1,"cone",0,1,0.910259568691254,0.911290347576141
"wall-following",4,"dropToValue",256,0.1,"rect",0,1,0.910000026226044,0.909824073314667
"wall-following",3,"dropToValue",512,0.1,"rect",0,1,0.909394299983978,0.909824073314667
"wall-following",16,"dropToValue",1024,0.01,"rect",0,1,0.909146392345428,0.903958976268768
"wall-following",4,"dropToValue",1024,0.1,"cone",0.05,1,0.908414697647095,0.911290347576141
"wall-following",4,"dropToValue",1024,0.01,"rect",0,1,0.908170771598816,0.911290347576141
"wall-following",2,"dropToValue",256,0.1,"cone",0,1,0.908170700073242,0.91715544462204
"wall-following",16,"dropToValue",1024,0.01,"cone",0,1,0.908048856258392,0.898827016353607
"wall-following",8,"dropToValue",256,0.1,"rect",0,1,0.908048808574677,0.911290347576141
"wall-following",4,"dropToValue",1024,0.1,"cone",0,1,0.907926857471466,0.893695056438446
"wall-following",16,"dropToValue",256,0.1,"cone",0,1,0.907560980319977,0.891495645046234
"wall-following",4,"dropToValue",512,0.01,"rect",0,1,0.907439088821411,0.904692113399506
"wall-following",3,"dropToValue",512,0.1,"cone",0.05,1,0.907292973995209,0.909824073314667
"wall-following",8,"dropToValue",1024,0.1,"cone",0.05,1,0.906341505050659,0.908357799053192
"wall-following",16,"dropToValue",512,0.01,"rect",0,1,0.905853688716889,0.902492702007294
"wall-following",4,"dropToValue",512,0.1,"rect",0,1,0.905609786510468,0.902492702007294
"wall-following",8,"dropToValue",256,0.1,"cone",0.05,1,0.905365884304047,0.905425250530243
"wall-following",2,"dropToValue",1024,0.1,"cone",0,1,0.90524388551712,0.899560153484344
"wall-following",16,"dropToValue",512,0.1,"cone",0,1,0.905121970176697,0.899560153484344
"wall-following",4,"dropToValue",512,0.1,"rect",0.05,1,0.905000042915344,0.908357799053192
"wall-following",8,"dropToValue",512,0.01,"rect",0,1,0.904512226581573,0.898827016353607
"wall-following",8,"dropToValue",1024,0.01,"rect",0,1,0.90390248298645,0.899560153484344
"wall-following",2,"dropToValue",512,0.1,"cone",0,1,0.903902435302735,0.898826956748962
"wall-following",8,"dropToValue",256,0.1,"rect",0.05,1,0.903658545017243,0.901759564876556
"wall-following",3,"dropToValue",1024,0.1,"cone",0.05,1,0.903461062908173,0.914222896099091
"wall-following",8,"dropToValue",256,0.1,"cone",0,1,0.903414714336395,0.904692113399506
"wall-following",4,"dropToValue",1024,0.01,"cone",0,1,0.903292727470398,0.903958976268768
"wall-following",16,"dropToValue",256,0.01,"rect",0,1,0.903170764446259,0.889296233654022
"wall-following",2,"dropToValue",256,0.1,"cone",0.05,1,0.90292683839798,0.895161330699921
"wall-following",16,"dropToValue",1024,0.1,"cone",0,1,0.902439069747925,0.894428193569183
"wall-following",2,"dropToValue",512,0.1,"cone",0.05,1,0.902439045906067,0.904692113399506
"wall-following",4,"dropToValue",1024,0.1,"rect",0.05,1,0.902195167541504,0.904692113399506
"wall-following",2,"dropToValue",1024,0.1,"cone",0.05,1,0.902073228359222,0.902492702007294
"wall-following",3,"dropToValue",1024,0.1,"cone",0,1,0.901977723836899,0.909824132919312
"wall-following",16,"dropToValue",1024,0.1,"cone",0.05,1,0.901463437080383,0.890029311180115
"wall-following",8,"dropToValue",256,0.01,"cone",0,1,0.901341533660889,0.895161330699921
"wall-following",8,"dropToValue",512,0.1,"cone",0.05,1,0.901097643375397,0.908357799053192
"wall-following",8,"dropToValue",1024,0.1,"cone",0,1,0.901097595691681,0.88709682226181
"wall-following",3,"dropToValue",256,0.1,"rect",0,1,0.900865256786347,0.904692113399506
"wall-following",2,"dropToValue",256,0.1,"rect",0.05,1,0.900853681564331,0.901759564876556
"wall-following",4,"dropToValue",256,0.01,"rect",0,1,0.900609791278839,0.881964862346649
"wall-following",3,"dropToValue",256,0.1,"rect",0.05,1,0.900247222185135,0.909090936183929
"wall-following",3,"dropToValue",1024,0.1,"rect",0,1,0.89962916970253,0.88709682226181
"wall-following",32,"dropToValue",512,0.01,"cone",0,1,0.899512243270874,0.894428193569183
"wall-following",3,"dropToValue",512,0.01,"rect",0,1,0.899134731292724,0.902492761611938
"wall-following",4,"dropToValue",256,0.1,"rect",0.05,1,0.899024403095245,0.903958976268768
"wall-following",8,"dropToValue",512,0.01,"cone",0,1,0.898780500888824,0.908357799053192
"wall-following",4,"dropToValue",256,0.1,"cone",0.05,1,0.898658514022827,0.891495645046234
"wall-following",8,"dropToValue",1024,0.01,"cone",0,1,0.89841468334198,0.898827016353607
"wall-following",32,"dropToValue",256,0.1,"rect",0.05,1,0.898292660713196,0.895894467830658
"wall-following",32,"dropToValue",1024,0.01,"rect",0,1,0.898170733451843,0.893695056438446
"wall-following",16,"dropToValue",256,0.01,"cone",0,1,0.89743903875351,0.891495645046234
"wall-following",3,"dropToValue",1024,0.01,"rect",0,1,0.897156995534897,0.903225839138031
"wall-following",3,"dropToValue",1024,0.01,"cone",0,1,0.896786159276962,0.908357799053192
"wall-following",8,"dropToValue",256,0.01,"rect",0,1,0.896341443061829,0.901759564876556
"wall-following",16,"dropToValue",512,0.1,"rect",0.05,1,0.896219575405121,0.893694996833801
"wall-following",32,"dropToValue",512,0.01,"rect",0,1,0.896219503879547,0.893695056438446
"wall-following",3,"dropToValue",1024,0.1,"rect",0.05,1,0.896168094873429,0.903225839138031
"wall-following",8,"dropToValue",512,0.1,"rect",0.05,1,0.896097588539124,0.89002937078476
"wall-following",4,"dropToValue",256,0.01,"cone",0,1,0.895853710174561,0.894428193569183
