"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"waveform-noise",2,"dropToValue",1024,0.01,"cone",0.05,1,0.877561593055725,0.860799968242645
"waveform-noise",3,"dropToValue",512,0.01,"rect",0,1,0.877559065818787,0.863200008869171
"waveform-noise",2,"dropToValue",256,0.01,"rect",0.05,1,0.876134884357452,0.860799968242645
"waveform-noise",8,"dropToValue",256,0.01,"cone",0.05,1,0.876134878396988,0.85919988155365
"waveform-noise",8,"dropToValue",256,0.01,"rect",0.05,1,0.874837863445282,0.857599973678589
"waveform-noise",2,"dropToValue",256,0.01,"cone",0.05,1,0.874578469991684,0.87199991941452
"waveform-noise",3,"dropToValue",256,0.01,"rect",0,1,0.874278229475021,0.868799924850464
"waveform-noise",8,"dropToValue",512,0.01,"cone",0.05,1,0.87315171957016,0.867199897766113
"waveform-noise",3,"dropToValue",1024,0.01,"cone",0,1,0.873097133636475,0.855199992656708
"waveform-noise",2,"dropToValue",256,0.01,"cone",0,1,0.872632938623429,0.870399951934814
"waveform-noise",2,"dropToValue",1024,0.01,"rect",0,1,0.871724992990494,0.860799968242645
"waveform-noise",2,"dropToValue",1024,0.01,"rect",0.05,1,0.87003892660141,0.856799960136414
"waveform-noise",8,"dropToValue",512,0.01,"rect",0.05,1,0.869649815559387,0.85999995470047
"waveform-noise",4,"dropToValue",1024,0.01,"cone",0.05,1,0.869649791717529,0.857599914073944
"waveform-noise",16,"dropToValue",1024,0.01,"cone",0.05,1,0.86952006816864,0.854400038719177
"waveform-noise",2,"dropToValue",512,0.01,"cone",0,1,0.869390380382538,0.859199941158295
"waveform-noise",3,"dropToValue",256,0.01,"rect",0.05,1,0.868241482973099,0.867200016975403
"waveform-noise",8,"dropToValue",1024,0.01,"cone",0,1,0.868223059177399,0.845600008964539
"waveform-noise",2,"dropToValue",256,0.01,"rect",0,1,0.868223059177399,0.853599965572357
"waveform-noise",3,"dropToValue",256,0.01,"cone",0.05,1,0.86797901391983,0.864799916744232
"waveform-noise",4,"dropToValue",1024,0.01,"cone",0,1,0.867833966016769,0.858399927616119
"waveform-noise",3,"dropToValue",1024,0.01,"cone",0.05,1,0.867716526985168,0.85999995470047
"waveform-noise",4,"dropToValue",1024,0.01,"rect",0.05,1,0.86770424246788,0.852799952030182
"waveform-noise",4,"dropToValue",256,0.1,"cone",0.05,1,0.867315137386322,0.863999962806702
"waveform-noise",2,"dropToValue",512,0.01,"rect",0.05,1,0.866407233476639,0.85999995470047
"waveform-noise",3,"dropToValue",1024,0.01,"rect",0.05,1,0.866404217481613,0.863199949264526
"waveform-noise",4,"dropToValue",512,0.01,"rect",0,1,0.866277515888214,0.859200000762939
"waveform-noise",2,"dropToValue",512,0.01,"cone",0.05,1,0.866147857904434,0.858399987220764
"waveform-noise",3,"dropToValue",512,0.01,"cone",0,1,0.86601048707962,0.862399935722351
"waveform-noise",3,"dropToValue",1024,0.01,"rect",0,1,0.86587923169136,0.865599989891052
"waveform-noise",3,"dropToValue",512,0.1,"cone",0.05,1,0.865485578775406,0.862399995326996
"waveform-noise",3,"dropToValue",256,0.1,"cone",0.05,1,0.865091854333878,0.869599997997284
"waveform-noise",2,"dropToValue",512,0.01,"rect",0,1,0.864980530738831,0.862399995326996
"waveform-noise",2,"dropToValue",256,0.1,"rect",0,1,0.864850825071335,0.859199941158295
"waveform-noise",3,"dropToValue",256,0.01,"cone",0,1,0.864829391241074,0.857600033283234
"waveform-noise",32,"dropToValue",256,0.01,"rect",0.05,1,0.864591407775879,0.858399987220764
"waveform-noise",8,"dropToValue",256,0.1,"cone",0.05,1,0.864461725950241,0.864799916744232
"waveform-noise",4,"dropToValue",256,0.01,"rect",0.05,1,0.864332014322281,0.851999998092651
"waveform-noise",4,"dropToValue",512,0.1,"cone",0.05,1,0.864072620868683,0.855199933052063
"waveform-noise",8,"dropToValue",1024,0.01,"cone",0.05,1,0.863813197612762,0.853599965572357
"waveform-noise",2,"dropToValue",1024,0.01,"cone",0,1,0.863553828001022,0.857600033283234
"waveform-noise",4,"dropToValue",512,0.01,"rect",0.05,1,0.863424122333527,0.862399935722351
"waveform-noise",16,"dropToValue",512,0.01,"cone",0.05,1,0.863164716959,0.85999995470047
"waveform-noise",32,"dropToValue",512,0.01,"rect",0.05,1,0.862905299663544,0.854399979114532
"waveform-noise",3,"dropToValue",256,0.1,"rect",0.05,1,0.86246719956398,0.849599957466125
"waveform-noise",2,"dropToValue",256,0.1,"rect",0.05,1,0.862256789207459,0.844799935817719
"waveform-noise",4,"dropToValue",256,0.01,"rect",0,1,0.862256783246994,0.868000030517578
"waveform-noise",8,"dropToValue",1024,0.01,"rect",0.05,1,0.86199739575386,0.843999922275543
"waveform-noise",4,"dropToValue",512,0.01,"cone",0,1,0.861867696046829,0.856799960136414
"waveform-noise",4,"dropToValue",256,0.01,"cone",0.05,1,0.861348897218704,0.853599965572357
"waveform-noise",4,"dropToValue",512,0.01,"cone",0.05,1,0.861219191551208,0.857599914073944
"waveform-noise",2,"dropToValue",256,0.1,"cone",0.05,1,0.861089509725571,0.843199968338013
"waveform-noise",3,"dropToValue",512,0.01,"rect",0.05,1,0.861023616790771,0.866399884223938
"waveform-noise",8,"dropToValue",256,0.01,"cone",0,1,0.860570693016052,0.84879994392395
"waveform-noise",3,"dropToValue",256,0.1,"cone",0,1,0.860105007886887,0.851199984550476
"waveform-noise",3,"dropToValue",1024,0.1,"cone",0.05,1,0.860104978084564,0.85999995470047
"waveform-noise",2,"dropToValue",512,0.1,"cone",0.05,1,0.860051876306534,0.85999995470047
"waveform-noise",4,"dropToValue",256,0.01,"cone",0,1,0.859922188520432,0.862399876117706
"waveform-noise",32,"dropToValue",1024,0.01,"rect",0.05,1,0.859403359889984,0.867199957370758
"waveform-noise",4,"dropToValue",1024,0.01,"rect",0,1,0.858884572982788,0.858399927616119
"waveform-noise",2,"dropToValue",512,0.1,"rect",0.05,1,0.858754855394363,0.856000006198883
"waveform-noise",16,"dropToValue",512,0.01,"rect",0.05,1,0.858754825592041,0.855999946594238
"waveform-noise",8,"dropToValue",1024,0.1,"cone",0.05,1,0.858236026763916,0.843999922275543
"waveform-noise",16,"dropToValue",512,0.01,"cone",0,1,0.857198411226273,0.861600041389465
"waveform-noise",8,"dropToValue",256,0.1,"cone",0,1,0.857068711519241,0.852799892425537
"waveform-noise",16,"dropToValue",256,0.01,"rect",0.05,1,0.856290513277054,0.850399971008301
"waveform-noise",2,"dropToValue",1024,0.1,"cone",0.05,1,0.856290501356125,0.838399946689606
"waveform-noise",8,"dropToValue",512,0.1,"cone",0.05,1,0.856031113862991,0.844799935817719
"waveform-noise",2,"dropToValue",1024,0.1,"cone",0,1,0.855512320995331,0.862399876117706
"waveform-noise",3,"dropToValue",512,0.01,"cone",0.05,1,0.855380576848984,0.856799900531769
"waveform-noise",8,"dropToValue",512,0.01,"cone",0,1,0.855123215913773,0.853599965572357
"waveform-noise",2,"dropToValue",256,0.1,"cone",0,1,0.85512318611145,0.845600008964539
"waveform-noise",16,"dropToValue",1024,0.01,"rect",0,1,0.854734110832214,0.851999938488007
"waveform-noise",16,"dropToValue",256,0.1,"rect",0.05,1,0.85473410487175,0.850399911403656
"waveform-noise",3,"dropToValue",512,0.1,"rect",0.05,1,0.854724419116974,0.857599973678589
"waveform-noise",3,"dropToValue",256,0.1,"rect",0,1,0.854724383354187,0.829599976539612
"waveform-noise",16,"dropToValue",1024,0.01,"rect",0.05,1,0.854604375362396,0.839999914169312
"waveform-noise",4,"dropToValue",1024,0.1,"cone",0.05,1,0.854215288162231,0.857599973678589
"waveform-noise",16,"dropToValue",512,0.1,"cone",0.05,1,0.8540855884552,0.837599992752075
"waveform-noise",16,"dropToValue",256,0.01,"cone",0.05,1,0.853955906629563,0.844799935817719
"waveform-noise",3,"dropToValue",512,0.1,"cone",0,1,0.853805786371231,0.803999960422516
"waveform-noise",3,"dropToValue",1024,0.1,"cone",0,1,0.85301838517189,0.83759993314743
"waveform-noise",8,"dropToValue",1024,0.01,"rect",0,1,0.852399462461472,0.849599897861481
"waveform-noise",4,"dropToValue",1024,0.1,"cone",0,1,0.85226976275444,0.816799998283386
"waveform-noise",2,"dropToValue",512,0.1,"cone",0,1,0.852269756793976,0.844799995422363
"waveform-noise",4,"dropToValue",256,0.1,"rect",0.05,1,0.851880663633347,0.840799987316132
"waveform-noise",8,"dropToValue",512,0.1,"rect",0.05,1,0.851621252298355,0.844799995422363
"waveform-noise",8,"dropToValue",512,0.01,"rect",0,1,0.851491528749466,0.854399919509888
"waveform-noise",4,"dropToValue",256,0.1,"cone",0,1,0.851361864805222,0.847999930381775
"waveform-noise",8,"dropToValue",256,0.1,"rect",0.05,1,0.851361829042435,0.843999922275543
"waveform-noise",8,"dropToValue",1024,0.1,"cone",0,1,0.850972759723663,0.861599922180176
"waveform-noise",4,"dropToValue",512,0.1,"rect",0.05,1,0.850972735881806,0.827999949455261
"waveform-noise",4,"dropToValue",256,0.1,"rect",0,1,0.850843042135239,0.850400030612946
"waveform-noise",2,"dropToValue",512,0.1,"rect",0,1,0.850583678483963,0.842399954795837
"waveform-noise",32,"dropToValue",1024,0.01,"rect",0,1,0.850064826011658,0.855999946594238
"waveform-noise",16,"dropToValue",1024,0.1,"cone",0.05,1,0.849675714969635,0.854399979114532
"waveform-noise",4,"dropToValue",512,0.1,"cone",0,1,0.848897510766983,0.8471999168396
"waveform-noise",16,"dropToValue",256,0.01,"cone",0,1,0.84785989522934,0.842399895191193
"waveform-noise",8,"dropToValue",256,0.01,"rect",0,1,0.847470808029175,0.8367999792099
"waveform-noise",2,"dropToValue",1024,0.1,"rect",0.05,1,0.847341108322143,0.819999933242798
"waveform-noise",3,"dropToValue",1024,0.1,"rect",0,1,0.84711287021637,0.838399946689606
"waveform-noise",16,"dropToValue",1024,0.01,"cone",0,1,0.846822285652161,0.843999981880188
"waveform-noise",16,"dropToValue",512,0.01,"rect",0,1,0.845654964447021,0.834399938583374
"waveform-noise",32,"dropToValue",512,0.01,"rect",0,1,0.843190658092499,0.8367999792099
"waveform-noise",16,"dropToValue",256,0.1,"cone",0,1,0.842671847343445,0.807999908924103
"waveform-noise",3,"dropToValue",512,0.1,"rect",0,1,0.841863507032394,0.834399938583374
"waveform-noise",16,"dropToValue",256,0.1,"cone",0.05,1,0.841763943433762,0.82559996843338
"waveform-noise",16,"dropToValue",256,0.01,"rect",0,1,0.839948081970215,0.844799935817719
"waveform-noise",16,"dropToValue",512,0.1,"cone",0,1,0.839558988809586,0.84799998998642
