"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"waveform",4,"dropToValue",256,0.01,"rect",0.05,1,0.8939,0.848
"waveform",2,"dropToValue",512,0.01,"rect",0.05,1,0.8886,0.8432
"waveform",32,"dropToValue",256,0.01,"rect",0.05,1,0.8884,0.8528
"waveform",2,"dropToValue",256,0.01,"rect",0.05,1,0.8879,0.852
"waveform",8,"dropToValue",256,0.01,"rect",0.05,1,0.887,0.8424
"waveform",32,"dropToValue",1024,0.01,"rect",0.05,1,0.8868,0.8384
"waveform",4,"dropToValue",512,0.01,"rect",0.05,1,0.8849,0.8432
"waveform",4,"dropToValue",1024,0.01,"rect",0.05,1,0.8835,0.8408
"waveform",3,"dropToValue",256,0.01,"cone",0,1,0.8825,0.8776
"waveform",8,"dropToValue",1024,0.01,"rect",0.05,1,0.8825,0.8496
"waveform",2,"dropToValue",256,0.1,"rect",0.05,1,0.8825,0.848
"waveform",16,"dropToValue",256,0.01,"rect",0.05,1,0.8823,0.852
"waveform",3,"dropToValue",1024,0.01,"cone",0,1,0.8821,0.868
"waveform",3,"dropToValue",512,0.01,"cone",0,1,0.8817,0.8688
"waveform",16,"dropToValue",512,0.01,"rect",0.05,1,0.8816,0.836
"waveform",32,"dropToValue",512,0.01,"rect",0.05,1,0.8812,0.8448
"waveform",3,"dropToValue",512,0.01,"rect",0.05,1,0.8812,0.8736
"waveform",4,"dropToValue",512,0.01,"cone",0.05,1,0.881,0.8832
"waveform",3,"dropToValue",512,0.01,"cone",0.05,1,0.8808,0.8792
"waveform",3,"dropToValue",1024,0.01,"cone",0.05,1,0.8804,0.876
"waveform",3,"dropToValue",256,0.01,"rect",0,1,0.8802,0.872
"waveform",3,"dropToValue",256,0.01,"cone",0.05,1,0.8787,0.8696
"waveform",8,"dropToValue",512,0.01,"rect",0.05,1,0.8786,0.8504
"waveform",2,"dropToValue",1024,0.01,"rect",0.05,1,0.8779,0.8448
"waveform",16,"dropToValue",512,0.01,"cone",0.05,1,0.8778,0.8728
"waveform",16,"dropToValue",1024,0.01,"cone",0.05,1,0.8778,0.872
"waveform",4,"dropToValue",256,0.01,"cone",0.05,1,0.8773,0.8616
"waveform",3,"dropToValue",512,0.01,"rect",0,1,0.8772,0.8792
"waveform",8,"dropToValue",256,0.01,"cone",0,1,0.877,0.8704
"waveform",16,"dropToValue",1024,0.01,"rect",0.05,1,0.8767,0.8368
"waveform",4,"dropToValue",256,0.1,"rect",0.05,1,0.8767,0.8192
"waveform",2,"dropToValue",512,0.01,"cone",0,1,0.8766,0.8768
"waveform",4,"dropToValue",512,0.1,"cone",0.05,1,0.8765,0.8672
"waveform",3,"dropToValue",512,0.1,"cone",0.05,1,0.8761,0.8648
"waveform",8,"dropToValue",1024,0.01,"cone",0,1,0.8756,0.8704
"waveform",8,"dropToValue",1024,0.01,"cone",0.05,1,0.8752,0.8752
"waveform",8,"dropToValue",256,0.1,"cone",0.05,1,0.8748,0.8688
"waveform",4,"dropToValue",256,0.01,"cone",0,1,0.8748,0.8712
"waveform",3,"dropToValue",1024,0.01,"rect",0.05,1,0.8748,0.8736
"waveform",3,"dropToValue",256,0.1,"cone",0.05,1,0.8748,0.876
"waveform",2,"dropToValue",256,0.1,"cone",0.05,1,0.8745,0.8728
"waveform",4,"dropToValue",256,0.1,"cone",0.05,1,0.8745,0.8664
"waveform",2,"dropToValue",512,0.01,"cone",0.05,1,0.8744,0.8752
"waveform",2,"dropToValue",1024,0.01,"cone",0,1,0.8744,0.8768
"waveform",4,"dropToValue",1024,0.01,"cone",0,1,0.8741,0.872
"waveform",4,"dropToValue",512,0.01,"rect",0,1,0.8736,0.8736
"waveform",3,"dropToValue",256,0.01,"rect",0.05,1,0.8734,0.8784
"waveform",2,"dropToValue",256,0.01,"cone",0.05,1,0.873,0.8704
"waveform",8,"dropToValue",256,0.01,"rect",0,1,0.8728,0.8616
"waveform",2,"dropToValue",512,0.01,"rect",0,1,0.8724,0.8712
"waveform",2,"dropToValue",1024,0.01,"rect",0,1,0.8724,0.8616
