"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"wine-quality-red",32,"dropToValue",1024,0.01,"rect",0,1,0.646913588047028,0.629999935626984
"wine-quality-red",32,"dropToValue",256,0.01,"rect",0,1,0.644444471597671,0.617499947547913
"wine-quality-red",16,"dropToValue",1024,0.01,"rect",0,1,0.643621414899826,0.639999985694885
"wine-quality-red",16,"dropToValue",512,0.01,"rect",0,1,0.641975319385529,0.63999992609024
"wine-quality-red",32,"dropToValue",512,0.01,"rect",0,1,0.636625546216965,0.642499983310699
"wine-quality-red",32,"dropToValue",1024,0.01,"cone",0,1,0.630041182041168,0.602499961853027
"wine-quality-red",8,"dropToValue",512,0.1,"cone",0,1,0.626337468624115,0.622500002384186
"wine-quality-red",16,"dropToValue",512,0.1,"cone",0,1,0.626337444782257,0.600000023841858
"wine-quality-red",8,"dropToValue",1024,0.01,"rect",0,1,0.62386834025383,0.600000023841858
"wine-quality-red",16,"dropToValue",1024,0.01,"cone",0,1,0.613168734312057,0.614999949932098
"wine-quality-red",8,"dropToValue",1024,0.01,"cone",0,1,0.609465038776398,0.629999995231628
"wine-quality-red",2,"dropToValue",256,0.01,"cone",0,1,0.608641970157623,0.592499971389771
"wine-quality-red",16,"dropToValue",256,0.01,"cone",0,1,0.605349814891815,0.632499992847443
"wine-quality-red",16,"dropToValue",512,0.01,"cone",0,1,0.604115229845047,0.642499983310699
"wine-quality-red",3,"dropToValue",256,0.1,"cone",0.05,1,0.602409607172012,0.584999978542328
"wine-quality-red",16,"dropToValue",256,0.1,"cone",0,1,0.601234585046768,0.587499976158142
"wine-quality-red",3,"dropToValue",1024,0.01,"rect",0,1,0.601204806566239,0.612500011920929
"wine-quality-red",3,"dropToValue",1024,0.1,"cone",0.05,1,0.600803190469742,0.612499952316284
"wine-quality-red",2,"dropToValue",256,0.01,"rect",0,1,0.600411558151245,0.602499961853027
"wine-quality-red",3,"dropToValue",512,0.01,"cone",0.05,1,0.599196743965149,0.584999978542328
"wine-quality-red",4,"dropToValue",256,0.01,"rect",0.05,1,0.599177008867264,0.607499957084656
"wine-quality-red",8,"dropToValue",256,0.01,"rect",0,1,0.599176973104477,0.652499914169312
"wine-quality-red",3,"dropToValue",256,0.1,"rect",0,1,0.59879515171051,0.587500035762787
"wine-quality-red",3,"dropToValue",512,0.01,"cone",0,1,0.597590351104736,0.564999997615814
"wine-quality-red",32,"dropToValue",512,0.01,"cone",0,1,0.596296298503876,0.617499947547913
"wine-quality-red",16,"dropToValue",1024,0.1,"cone",0.05,1,0.595061755180359,0.610000014305115
"wine-quality-red",8,"dropToValue",256,0.01,"cone",0,1,0.594238710403442,0.642499983310699
"wine-quality-red",4,"dropToValue",1024,0.01,"cone",0,1,0.59423868060112,0.602499961853027
"wine-quality-red",16,"dropToValue",256,0.01,"rect",0,1,0.592181098461151,0.639999985694885
"wine-quality-red",3,"dropToValue",256,0.1,"rect",0.05,1,0.591967868804932,0.597499966621399
"wine-quality-red",4,"dropToValue",512,0.01,"rect",0.05,1,0.591769587993622,0.599999964237213
"wine-quality-red",8,"dropToValue",512,0.01,"rect",0,1,0.591769582033157,0.620000004768372
"wine-quality-red",32,"dropToValue",256,0.1,"cone",0,1,0.590946537256241,0.577499985694885
"wine-quality-red",16,"dropToValue",512,0.01,"rect",0.05,1,0.590946537256241,0.577499985694885
"wine-quality-red",8,"dropToValue",1024,0.1,"cone",0,1,0.590946537256241,0.607500016689301
"wine-quality-red",32,"dropToValue",1024,0.1,"cone",0,1,0.590946519374847,0.569999933242798
"wine-quality-red",32,"dropToValue",512,0.1,"cone",0,1,0.590534996986389,0.595000028610229
"wine-quality-red",8,"dropToValue",512,0.01,"cone",0.05,1,0.590123474597931,0.597499966621399
"wine-quality-red",3,"dropToValue",256,0.01,"rect",0,1,0.589558219909668,0.582499921321869
"wine-quality-red",32,"dropToValue",256,0.01,"cone",0,1,0.588888895511627,0.597499966621399
"wine-quality-red",8,"dropToValue",256,0.01,"rect",0.05,1,0.588477385044098,0.594999969005585
"wine-quality-red",3,"dropToValue",512,0.1,"rect",0.05,1,0.588353389501572,0.569999992847443
"wine-quality-red",4,"dropToValue",1024,0.01,"rect",0,1,0.588065868616104,0.644999980926514
"wine-quality-red",4,"dropToValue",256,0.1,"cone",0.05,1,0.587242817878723,0.597499966621399
"wine-quality-red",2,"dropToValue",256,0.01,"rect",0.05,1,0.586831301450729,0.594999969005585
"wine-quality-red",3,"dropToValue",256,0.1,"cone",0,1,0.586345368623734,0.590000033378601
"wine-quality-red",8,"dropToValue",1024,0.1,"cone",0.05,1,0.585596752166748,0.599999964237213
"wine-quality-red",3,"dropToValue",512,0.1,"cone",0.05,1,0.585542148351669,0.599999964237213
"wine-quality-red",3,"dropToValue",256,0.01,"rect",0.05,1,0.585140556097031,0.587499976158142
"wine-quality-red",3,"dropToValue",1024,0.01,"rect",0.05,1,0.584738928079605,0.577499985694885
"wine-quality-red",8,"dropToValue",256,0.1,"rect",0.05,1,0.584362149238586,0.599999964237213
"wine-quality-red",2,"dropToValue",256,0.01,"cone",0.05,1,0.583127611875534,0.587500035762787
"wine-quality-red",4,"dropToValue",512,0.01,"cone",0.05,1,0.582716071605682,0.597499966621399
"wine-quality-red",8,"dropToValue",256,0.01,"cone",0.05,1,0.582716059684753,0.572499990463257
"wine-quality-red",8,"dropToValue",512,0.01,"cone",0,1,0.582304579019547,0.612499952316284
"wine-quality-red",3,"dropToValue",512,0.01,"rect",0.05,1,0.581124472618103,0.599999964237213
"wine-quality-red",2,"dropToValue",1024,0.01,"cone",0,1,0.581069982051849,0.60999995470047
"wine-quality-red",16,"dropToValue",1024,0.01,"rect",0.05,1,0.580658435821533,0.569999992847443
"wine-quality-red",8,"dropToValue",512,0.1,"cone",0.05,1,0.58024697303772,0.607499957084656
"wine-quality-red",8,"dropToValue",256,0.1,"cone",0.05,1,0.580246907472611,0.567499995231628
"wine-quality-red",3,"dropToValue",256,0.01,"cone",0.05,1,0.579518061876297,0.592499971389771
"wine-quality-red",3,"dropToValue",1024,0.1,"rect",0.05,1,0.579518061876297,0.577499985694885
"wine-quality-red",16,"dropToValue",256,0.01,"rect",0.05,1,0.579423874616623,0.577499985694885
"wine-quality-red",4,"dropToValue",256,0.01,"cone",0.05,1,0.579012405872345,0.587499916553497
"wine-quality-red",2,"dropToValue",512,0.01,"cone",0,1,0.579012358188629,0.587499976158142
"wine-quality-red",3,"dropToValue",512,0.1,"cone",0,1,0.577911615371704,0.564999997615814
"wine-quality-red",16,"dropToValue",256,0.1,"cone",0.05,1,0.577777791023254,0.572499990463257
"wine-quality-red",8,"dropToValue",1024,0.01,"cone",0.05,1,0.577777779102325,0.587499976158142
"wine-quality-red",2,"dropToValue",256,0.1,"cone",0,1,0.577777779102325,0.624999940395355
"wine-quality-red",32,"dropToValue",512,0.1,"cone",0.05,1,0.576131695508957,0.577499985694885
"wine-quality-red",8,"dropToValue",256,0.1,"cone",0,1,0.575720185041428,0.60999995470047
"wine-quality-red",3,"dropToValue",256,0.01,"cone",0,1,0.575501984357834,0.592500030994415
"wine-quality-red",3,"dropToValue",512,0.01,"rect",0,1,0.575100386142731,0.597499966621399
"wine-quality-red",3,"dropToValue",1024,0.01,"cone",0,1,0.575100380182266,0.602500021457672
"wine-quality-red",16,"dropToValue",512,0.1,"cone",0.05,1,0.574897128343582,0.559999942779541
"wine-quality-red",4,"dropToValue",256,0.01,"rect",0,1,0.574897122383118,0.604999959468842
"wine-quality-red",2,"dropToValue",256,0.1,"rect",0,1,0.574897122383118,0.614999949932098
"wine-quality-red",4,"dropToValue",1024,0.1,"cone",0.05,1,0.574485623836517,0.627499938011169
"wine-quality-red",16,"dropToValue",1024,0.1,"cone",0,1,0.574485611915588,0.600000023841858
"wine-quality-red",4,"dropToValue",512,0.01,"cone",0,1,0.574485611915588,0.617499947547913
"wine-quality-red",16,"dropToValue",1024,0.01,"cone",0.05,1,0.573662561178207,0.569999992847443
"wine-quality-red",4,"dropToValue",512,0.1,"cone",0,1,0.573662561178207,0.622499942779541
"wine-quality-red",2,"dropToValue",512,0.01,"rect",0,1,0.57283952832222,0.622500002384186
"wine-quality-red",4,"dropToValue",512,0.1,"cone",0.05,1,0.572839522361755,0.602499961853027
"wine-quality-red",2,"dropToValue",1024,0.1,"cone",0.05,1,0.572427976131439,0.602499961853027
"wine-quality-red",3,"dropToValue",1024,0.1,"cone",0,1,0.572289127111435,0.574999988079071
