"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"wine-quality-white",32,"dropToValue",1024,0.01,"rect",0,1,0.6434,0.6373
"wine-quality-white",32,"dropToValue",512,0.01,"rect",0,1,0.6332,0.6258
"wine-quality-white",16,"dropToValue",512,0.01,"rect",0,1,0.6267,0.6356
"wine-quality-white",16,"dropToValue",256,0.01,"rect",0,1,0.6223,0.6266
"wine-quality-white",16,"dropToValue",1024,0.01,"rect",0,1,0.6204,0.6234
"wine-quality-white",32,"dropToValue",256,0.01,"rect",0,1,0.6173,0.6201
"wine-quality-white",32,"dropToValue",512,0.01,"cone",0,1,0.6012,0.6054
"wine-quality-white",8,"dropToValue",1024,0.01,"rect",0,1,0.5947,0.5915
"wine-quality-white",16,"dropToValue",1024,0.01,"cone",0,1,0.5947,0.5678
"wine-quality-white",32,"dropToValue",1024,0.01,"cone",0,1,0.5882,0.6046
"wine-quality-white",16,"dropToValue",1024,0.1,"cone",0,1,0.5837,0.5842
"wine-quality-white",8,"dropToValue",256,0.01,"rect",0,1,0.5811,0.594
"wine-quality-white",16,"dropToValue",512,0.01,"cone",0,1,0.5788,0.5433
"wine-quality-white",16,"dropToValue",512,0.1,"cone",0,1,0.5746,0.5752
"wine-quality-white",8,"dropToValue",1024,0.01,"cone",0,1,0.5649,0.5931
"wine-quality-white",32,"dropToValue",1024,0.1,"cone",0,1,0.5607,0.5866
"wine-quality-white",8,"dropToValue",512,0.01,"rect",0,1,0.5596,0.5899
"wine-quality-white",3,"dropToValue",256,0.01,"rect",0,1,0.5594,0.5556
"wine-quality-white",8,"dropToValue",256,0.1,"cone",0,1,0.5577,0.5637
"wine-quality-white",8,"dropToValue",1024,0.1,"cone",0,1,0.5543,0.5531
"wine-quality-white",3,"dropToValue",256,0.01,"cone",0,1,0.5538,0.5629
"wine-quality-white",3,"dropToValue",512,0.01,"rect",0,1,0.5526,0.5278
"wine-quality-white",3,"dropToValue",256,0.1,"cone",0,1,0.5523,0.5605
"wine-quality-white",4,"dropToValue",256,0.01,"cone",0,1,0.5516,0.5441
"wine-quality-white",8,"dropToValue",1024,0.01,"rect",0.05,1,0.551,0.558
"wine-quality-white",16,"dropToValue",256,0.01,"cone",0,1,0.5507,0.5686
"wine-quality-white",32,"dropToValue",512,0.1,"cone",0,1,0.5505,0.5433
"wine-quality-white",2,"dropToValue",256,0.01,"cone",0,1,0.5503,0.5515
"wine-quality-white",4,"dropToValue",1024,0.01,"cone",0.05,1,0.5499,0.5605
"wine-quality-white",3,"dropToValue",512,0.01,"cone",0,1,0.5496,0.5654
"wine-quality-white",3,"dropToValue",512,0.1,"cone",0,1,0.5495,0.5654
"wine-quality-white",4,"dropToValue",256,0.1,"cone",0.05,1,0.548,0.5531
"wine-quality-white",8,"dropToValue",512,0.1,"cone",0,1,0.5472,0.5596
"wine-quality-white",32,"dropToValue",256,0.01,"cone",0,1,0.5461,0.5335
"wine-quality-white",4,"dropToValue",512,0.01,"rect",0.05,1,0.5459,0.5531
