"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"wine",16,"dropToValue",256,0.01,"cone",0,1,1,0.977272748947144
"wine",16,"dropToValue",512,0.01,"cone",0,1,1,1
"wine",16,"dropToValue",1024,0.01,"rect",0,1,1,1
"wine",8,"dropToValue",256,0.01,"cone",0.05,1,1,0.977272748947144
"wine",8,"dropToValue",256,0.01,"rect",0.05,1,1,1
"wine",8,"dropToValue",512,0.01,"rect",0.05,1,1,1
"wine",8,"dropToValue",1024,0.01,"cone",0,1,1,1
"wine",8,"dropToValue",256,0.01,"rect",0,1,1,1
"wine",4,"dropToValue",512,0.01,"cone",0.05,1,1,1
"wine",4,"dropToValue",256,0.01,"rect",0,1,1,0.977272748947144
"wine",4,"dropToValue",512,0.01,"rect",0,1,1,1
"wine",4,"dropToValue",1024,0.01,"rect",0,1,1,1
"wine",2,"dropToValue",256,0.01,"cone",0,1,1,1
"wine",2,"dropToValue",512,0.01,"cone",0,1,1,1
"wine",2,"dropToValue",1024,0.01,"cone",0,1,1,1
"wine",32,"dropToValue",512,0.01,"cone",0,1,0.997058826684952,1
"wine",16,"dropToValue",256,0.01,"rect",0.05,1,0.997058826684952,1
"wine",8,"dropToValue",256,0.01,"cone",0,1,0.997058826684952,1
"wine",16,"dropToValue",512,0.01,"rect",0.05,1,0.994117653369904,1
"wine",2,"dropToValue",256,0.1,"cone",0,1,0.994117653369904,1
"wine",32,"dropToValue",512,0.01,"rect",0.05,1,0.994117653369903,1
"wine",8,"dropToValue",1024,0.01,"rect",0.05,1,0.991176480054855,1
"wine",16,"dropToValue",1024,0.1,"cone",0,1,0.988235306739807,1
"wine",4,"dropToValue",512,0.01,"rect",0.05,1,0.988235306739807,1
"wine",4,"dropToValue",1024,0.01,"rect",0.05,1,0.988235306739807,1
"wine",16,"dropToValue",1024,0.1,"cone",0.05,1,0.985294133424759,0.977272748947144
"wine",8,"dropToValue",512,0.01,"cone",0,1,0.985294133424759,1
"wine",4,"dropToValue",256,0.01,"cone",0,1,0.985294133424759,1
"wine",32,"dropToValue",256,0.01,"rect",0.05,1,0.982352960109711,1
"wine",8,"dropToValue",1024,0.01,"cone",0.05,1,0.982352960109711,1
"wine",8,"dropToValue",512,0.1,"cone",0.05,1,0.979411786794663,1
"wine",4,"dropToValue",256,0.1,"cone",0.05,1,0.979411786794663,1
"wine",16,"dropToValue",512,0.01,"cone",0.05,1,0.976470613479614,1
"wine",16,"dropToValue",1024,0.01,"rect",0.05,1,0.976470613479614,1
"wine",4,"dropToValue",512,0.1,"cone",0.05,1,0.976470613479614,1
"wine",4,"dropToValue",1024,0.1,"cone",0.05,1,0.976470613479614,1
"wine",4,"dropToValue",256,0.1,"rect",0.05,1,0.976470613479614,1
"wine",4,"dropToValue",256,0.1,"cone",0,1,0.976470613479614,1
"wine",4,"dropToValue",256,0.1,"rect",0,1,0.976470613479614,1
"wine",32,"dropToValue",1024,0.01,"rect",0.05,1,0.973529440164566,1
"wine",16,"dropToValue",1024,0.01,"cone",0,1,0.973529440164566,1
"wine",8,"dropToValue",1024,0.01,"rect",0,1,0.973529440164566,1
"wine",8,"dropToValue",1024,0.1,"cone",0.05,1,0.973529440164566,0.977272748947144
"wine",8,"dropToValue",256,0.1,"cone",0,1,0.973529440164566,1
"wine",2,"dropToValue",512,0.01,"rect",0.05,1,0.973529440164566,1
"wine",2,"dropToValue",512,0.1,"cone",0.05,1,0.973529440164566,1
"wine",2,"dropToValue",1024,0.1,"cone",0,1,0.973529440164566,1
"wine",2,"dropToValue",256,0.1,"rect",0,1,0.973529440164566,1
"wine",4,"dropToValue",512,0.1,"rect",0.05,1,0.973529434204102,1
"wine",32,"dropToValue",1024,0.01,"cone",0.05,1,0.970588266849518,1
"wine",32,"dropToValue",512,0.01,"rect",0,1,0.970588266849518,1
"wine",16,"dropToValue",1024,0.01,"cone",0.05,1,0.970588266849518,1
"wine",16,"dropToValue",256,0.01,"rect",0,1,0.970588266849518,1
"wine",16,"dropToValue",512,0.01,"rect",0,1,0.970588266849518,1
"wine",16,"dropToValue",256,0.1,"cone",0,1,0.970588266849518,1
"wine",16,"dropToValue",512,0.1,"cone",0,1,0.970588266849518,0.977272748947144
"wine",8,"dropToValue",512,0.01,"cone",0.05,1,0.970588266849518,1
"wine",8,"dropToValue",512,0.01,"rect",0,1,0.970588266849518,1
"wine",8,"dropToValue",256,0.1,"cone",0.05,1,0.970588266849518,1
"wine",8,"dropToValue",512,0.1,"cone",0,1,0.970588266849518,1
"wine",8,"dropToValue",1024,0.1,"cone",0,1,0.970588266849518,1
"wine",4,"dropToValue",256,0.01,"cone",0.05,1,0.970588266849518,1
"wine",4,"dropToValue",1024,0.01,"cone",0.05,1,0.970588266849518,1
"wine",4,"dropToValue",256,0.01,"rect",0.05,1,0.970588266849518,1
"wine",4,"dropToValue",512,0.01,"cone",0,1,0.970588266849518,1
"wine",4,"dropToValue",1024,0.01,"cone",0,1,0.970588266849518,1
"wine",4,"dropToValue",512,0.1,"cone",0,1,0.970588266849518,1
"wine",4,"dropToValue",1024,0.1,"cone",0,1,0.970588266849518,1
"wine",2,"dropToValue",256,0.01,"cone",0.05,1,0.970588266849518,1
"wine",2,"dropToValue",512,0.01,"cone",0.05,1,0.970588266849518,1
"wine",2,"dropToValue",1024,0.01,"cone",0.05,1,0.970588266849518,1
"wine",2,"dropToValue",256,0.01,"rect",0.05,1,0.970588266849518,0.977272748947144
"wine",2,"dropToValue",1024,0.01,"rect",0.05,1,0.970588266849518,1
"wine",2,"dropToValue",256,0.01,"rect",0,1,0.970588266849518,1
"wine",2,"dropToValue",512,0.01,"rect",0,1,0.970588266849518,1
"wine",2,"dropToValue",1024,0.01,"rect",0,1,0.970588266849518,1
"wine",2,"dropToValue",256,0.1,"cone",0.05,1,0.970588266849518,1
"wine",2,"dropToValue",1024,0.1,"cone",0.05,1,0.970588266849518,1
"wine",2,"dropToValue",256,0.1,"rect",0.05,1,0.970588266849518,1
"wine",2,"dropToValue",512,0.1,"rect",0.05,1,0.970588266849518,1
"wine",2,"dropToValue",1024,0.1,"rect",0.05,1,0.970588266849518,1
"wine",2,"dropToValue",512,0.1,"cone",0,1,0.970588266849518,1
"wine",2,"dropToValue",512,0.1,"rect",0,1,0.970588266849518,1
"wine",2,"dropToValue",1024,0.1,"rect",0,1,0.970588266849518,1
"wine",16,"dropToValue",512,0.1,"cone",0.05,1,0.970588248968124,1
"wine",3,"dropToValue",256,0.01,"rect",0,1,0.967741906642914,1
"wine",3,"dropToValue",1024,0.1,"rect",0,1,0.967741906642914,0.977272748947144
"wine",32,"dropToValue",256,0.01,"cone",0,1,0.964705908298493,0.954545497894287
"wine",16,"dropToValue",256,0.1,"cone",0.05,1,0.964705896377563,0.931818127632141
"wine",3,"dropToValue",512,0.01,"rect",0.05,1,0.964516097307205,1
"wine",3,"dropToValue",512,0.1,"cone",0.05,1,0.964516097307205,0.977272748947144
"wine",32,"dropToValue",1024,0.01,"cone",0,1,0.941176474094391,1
"wine",32,"dropToValue",256,0.01,"rect",0,1,0.941176474094391,1
"wine",3,"dropToValue",512,0.1,"cone",0,1,0.938709622621536,1
"wine",3,"dropToValue",512,0.1,"rect",0,1,0.938709622621536,1
"wine",3,"dropToValue",256,0.1,"rect",0,1,0.935483819246292,0.977272748947144
"wine",3,"dropToValue",1024,0.01,"cone",0.05,1,0.935483813285828,1
"wine",3,"dropToValue",1024,0.01,"rect",0.05,1,0.935483813285828,1
"wine",3,"dropToValue",256,0.01,"cone",0,1,0.935483813285828,0.977272748947144
"wine",3,"dropToValue",512,0.01,"rect",0,1,0.935483813285828,1
"wine",3,"dropToValue",1024,0.01,"rect",0,1,0.935483813285828,1
"wine",3,"dropToValue",1024,0.1,"cone",0.05,1,0.935483813285828,0.977272748947144
"wine",3,"dropToValue",256,0.1,"rect",0.05,1,0.935483813285828,1
"wine",3,"dropToValue",512,0.1,"rect",0.05,1,0.935483813285828,1
"wine",3,"dropToValue",256,0.1,"cone",0,1,0.935483813285828,1
"wine",3,"dropToValue",1024,0.1,"cone",0,1,0.935483813285828,1
"wine",3,"dropToValue",256,0.1,"cone",0.05,1,0.925806403160095,0.977272748947144
"wine",3,"dropToValue",1024,0.1,"rect",0.05,1,0.916128998994827,0.977272748947144
"wine",3,"dropToValue",512,0.01,"cone",0,1,0.916128993034363,1
"wine",3,"dropToValue",256,0.01,"cone",0.05,1,0.903225779533386,0.977272748947144
"wine",3,"dropToValue",256,0.01,"rect",0.05,1,0.903225779533386,1
"wine",3,"dropToValue",1024,0.01,"cone",0,1,0.903225779533386,1
"wine",32,"dropToValue",1024,0.01,"rect",0,1,0.894117629528046,1
"wine",3,"dropToValue",512,0.01,"cone",0.05,1,0.89032256603241,1
"wine",32,"dropToValue",512,0.01,"cone",0.05,1,0.808823561668396,0.795454502105713
"wine",32,"dropToValue",256,0.01,"cone",0.05,1,0.794117689132691,0.659090936183929
"wine",16,"dropToValue",256,0.01,"cone",0.05,1,0.773529434204102,0.727272748947144
"wine",32,"dropToValue",256,0.1,"cone",0.05,1,0.758823537826538,0.727272748947144
"wine",32,"dropToValue",512,0.1,"cone",0.05,1,0.744117641448975,0.659090936183929
"wine",32,"dropToValue",1024,0.1,"cone",0.05,1,0.673529404401779,0.590909123420715
"wine",4,"dropToValue",512,0.1,"rect",0,1,0.588235300779343,0.318181812763214
"wine",32,"dropToValue",1024,0.1,"cone",0,1,0.567647063732147,0.954545497894287
"wine",8,"dropToValue",256,0.1,"rect",0.05,1,0.50294117629528,0.318181812763214
"wine",8,"dropToValue",512,0.1,"rect",0.05,1,0.497058829665184,0.318181812763214
"wine",3,"dropToValue",1024,1,"cone",0.05,1,0.483870953321457,0.409090936183929
"wine",4,"dropToValue",1024,0.1,"rect",0,1,0.479411768913269,0.318181812763214
"wine",32,"dropToValue",256,0.1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",512,0.1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",1024,0.1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",256,0.1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",512,0.1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",1024,0.1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",256,1,"cone",0.05,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",512,1,"cone",0.05,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",1024,1,"cone",0.05,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",256,1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",512,1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",1024,1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",256,1,"cone",0,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",512,1,"cone",0,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",1024,1,"cone",0,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",256,1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",512,1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",32,"dropToValue",1024,1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",256,0.1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",512,0.1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",1024,0.1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",256,0.1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",512,0.1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",1024,0.1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",256,1,"cone",0.05,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",512,1,"cone",0.05,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",1024,1,"cone",0.05,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",256,1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",512,1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",1024,1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",256,1,"cone",0,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",512,1,"cone",0,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",256,1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",512,1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",16,"dropToValue",1024,1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",8,"dropToValue",1024,0.1,"rect",0.05,1,0.470588237047195,0.318181812763214
"wine",8,"dropToValue",256,0.1,"rect",0,1,0.470588237047195,0.318181812763214
"wine",8,"dropToValue",512,0.1,"rect",0,1,0.470588237047195,0.318181812763214
