"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"yeast",3,"dropToValue",256,0.01,"cone",0.05,1,0.6291,0.6307
"yeast",2,"dropToValue",256,0.01,"cone",0,1,0.6288,0.6146
"yeast",16,"dropToValue",256,0.01,"rect",0.05,1,0.6288,0.5903
"yeast",4,"dropToValue",512,0.01,"rect",0.05,1,0.6245,0.593
"yeast",8,"dropToValue",512,0.01,"cone",0,1,0.6208,0.5957
"yeast",8,"dropToValue",1024,0.01,"rect",0.05,1,0.6208,0.6065
"yeast",8,"dropToValue",256,0.01,"rect",0.05,1,0.6189,0.6092
"yeast",16,"dropToValue",512,0.01,"rect",0.05,1,0.6179,0.5957
"yeast",16,"dropToValue",1024,0.01,"rect",0.05,1,0.6156,0.6226
"yeast",4,"dropToValue",256,0.1,"cone",0.05,1,0.6142,0.6119
"yeast",3,"dropToValue",512,0.01,"rect",0.05,1,0.6131,0.6226
"yeast",8,"dropToValue",1024,0.1,"cone",0.05,1,0.6123,0.6092
"yeast",3,"dropToValue",512,0.01,"cone",0.05,1,0.6122,0.6253
"yeast",4,"dropToValue",512,0.01,"cone",0.05,1,0.6113,0.6146
"yeast",3,"dropToValue",1024,0.01,"cone",0.05,1,0.611,0.6199
"yeast",8,"dropToValue",512,0.01,"cone",0.05,1,0.6085,0.5795
"yeast",2,"dropToValue",1024,0.01,"cone",0.05,1,0.6085,0.6065
"yeast",8,"dropToValue",512,0.01,"rect",0.05,1,0.6085,0.6199
"yeast",2,"dropToValue",512,0.01,"rect",0,1,0.6075,0.6092
"yeast",8,"dropToValue",1024,0.01,"cone",0,1,0.6075,0.6199
"yeast",2,"dropToValue",1024,0.01,"rect",0.05,1,0.6071,0.6334
"yeast",8,"dropToValue",512,0.1,"cone",0.05,1,0.6061,0.5822
"yeast",4,"dropToValue",512,0.01,"rect",0,1,0.6061,0.5957
"yeast",8,"dropToValue",256,0.01,"cone",0,1,0.6061,0.5903
"yeast",4,"dropToValue",256,0.01,"rect",0,1,0.6057,0.6146
"yeast",2,"dropToValue",256,0.1,"cone",0.05,1,0.6052,0.6065
"yeast",4,"dropToValue",1024,0.01,"rect",0.05,1,0.6047,0.5984
"yeast",8,"dropToValue",512,0.1,"cone",0,1,0.6042,0.5499
"yeast",3,"dropToValue",512,0.01,"cone",0,1,0.6038,0.6253
"yeast",3,"dropToValue",256,0.01,"rect",0.05,1,0.6038,0.6226
"yeast",4,"dropToValue",1024,0.01,"cone",0.05,1,0.6038,0.6253
"yeast",16,"dropToValue",256,0.01,"cone",0,1,0.6024,0.5499
"yeast",4,"dropToValue",1024,0.1,"cone",0.05,1,0.6024,0.6226
"yeast",3,"dropToValue",1024,0.01,"rect",0,1,0.6021,0.5795
"yeast",16,"dropToValue",256,0.01,"rect",0,1,0.6019,0.558
"yeast",4,"dropToValue",1024,0.01,"cone",0,1,0.6019,0.6226
"yeast",2,"dropToValue",512,0.01,"cone",0,1,0.6019,0.6173
"yeast",16,"dropToValue",256,0.1,"rect",0.05,1,0.6014,0.5903
"yeast",4,"dropToValue",512,0.1,"cone",0.05,1,0.6014,0.6119
"yeast",4,"dropToValue",256,0.01,"rect",0.05,1,0.6009,0.5957
"yeast",3,"dropToValue",1024,0.01,"rect",0.05,1,0.6008,0.6038
"yeast",8,"dropToValue",256,0.01,"rect",0,1,0.6005,0.6334
"yeast",2,"dropToValue",1024,0.01,"rect",0,1,0.6005,0.6173
"yeast",4,"dropToValue",512,0.1,"cone",0,1,0.6,0.6307
"yeast",2,"dropToValue",512,0.1,"cone",0.05,1,0.6,0.6092
"yeast",4,"dropToValue",256,0.01,"cone",0.05,1,0.5995,0.6011
"yeast",3,"dropToValue",1024,0.1,"cone",0.05,1,0.5992,0.6388
"yeast",2,"dropToValue",1024,0.01,"cone",0,1,0.5991,0.6146
"yeast",2,"dropToValue",256,0.01,"rect",0,1,0.5986,0.6065
"yeast",3,"dropToValue",256,0.01,"rect",0,1,0.5979,0.6173
"yeast",2,"dropToValue",256,0.1,"cone",0,1,0.5976,0.5957
"yeast",2,"dropToValue",256,0.01,"cone",0.05,1,0.5976,0.6173
"yeast",3,"dropToValue",512,0.01,"rect",0,1,0.5975,0.6361
"yeast",4,"dropToValue",1024,0.1,"cone",0,1,0.5972,0.5876
"yeast",2,"dropToValue",512,0.01,"rect",0.05,1,0.5972,0.5903
"yeast",8,"dropToValue",256,0.01,"cone",0.05,1,0.5967,0.5687
"yeast",4,"dropToValue",256,0.01,"cone",0,1,0.5967,0.6092
"yeast",4,"dropToValue",512,0.01,"cone",0,1,0.5967,0.5957
"yeast",3,"dropToValue",256,0.01,"cone",0,1,0.5966,0.6199
"yeast",2,"dropToValue",256,0.01,"rect",0.05,1,0.5953,0.6119
"yeast",4,"dropToValue",256,0.1,"rect",0.05,1,0.5948,0.5957
"yeast",4,"dropToValue",256,0.1,"cone",0,1,0.5948,0.6038
"yeast",3,"dropToValue",1024,0.01,"cone",0,1,0.5941,0.6226
"yeast",16,"dropToValue",512,0.01,"rect",0,1,0.5939,0.5849
"yeast",2,"dropToValue",256,0.1,"rect",0.05,1,0.5929,0.5903
"yeast",2,"dropToValue",256,0.1,"rect",0,1,0.5925,0.5876
"yeast",3,"dropToValue",256,0.1,"cone",0.05,1,0.5924,0.6146
"yeast",3,"dropToValue",512,0.1,"cone",0.05,1,0.5907,0.6307
"yeast",8,"dropToValue",512,0.01,"rect",0,1,0.5906,0.5472
"yeast",32,"dropToValue",512,0.01,"rect",0,1,0.5901,0.5768
"yeast",32,"dropToValue",1024,0.01,"rect",0.05,1,0.5896,0.5849
"yeast",8,"dropToValue",256,0.1,"cone",0.05,1,0.5896,0.5957
"yeast",3,"dropToValue",512,0.1,"rect",0,1,0.5895,0.5849
"yeast",3,"dropToValue",256,0.1,"rect",0.05,1,0.5895,0.5876
"yeast",16,"dropToValue",1024,0.01,"cone",0.05,1,0.5892,0.5526
"yeast",8,"dropToValue",256,0.1,"rect",0.05,1,0.5892,0.5202
"yeast",2,"dropToValue",1024,0.1,"cone",0.05,1,0.5882,0.593
"yeast",32,"dropToValue",256,0.01,"cone",0,1,0.5877,0.531
"yeast",3,"dropToValue",1024,0.1,"cone",0,1,0.5869,0.6119
"yeast",3,"dropToValue",512,0.1,"cone",0,1,0.5869,0.6253
"yeast",32,"dropToValue",1024,0.01,"rect",0,1,0.5858,0.558
"yeast",3,"dropToValue",256,0.1,"cone",0,1,0.5857,0.6092
"yeast",8,"dropToValue",1024,0.01,"rect",0,1,0.5854,0.5903
"yeast",4,"dropToValue",512,0.1,"rect",0.05,1,0.5849,0.6065
"yeast",16,"dropToValue",512,0.1,"cone",0.05,1,0.584,0.566
