"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"zoo",32,"dropToValue",1024,0.01,"cone",0,1,1,0.919999957084656
"zoo",16,"dropToValue",256,0.01,"rect",0.05,1,1,0.879999995231628
"zoo",16,"dropToValue",512,0.01,"rect",0.05,1,1,0.919999957084656
"zoo",16,"dropToValue",1024,0.01,"rect",0.05,1,1,0.959999978542328
"zoo",16,"dropToValue",256,0.01,"cone",0,1,1,0.959999978542328
"zoo",16,"dropToValue",512,0.01,"rect",0,1,1,0.959999978542328
"zoo",16,"dropToValue",256,0.1,"cone",0,1,1,0.919999957084656
"zoo",8,"dropToValue",256,0.01,"cone",0.05,1,1,0.919999957084656
"zoo",8,"dropToValue",512,0.01,"cone",0.05,1,1,0.919999957084656
"zoo",8,"dropToValue",1024,0.01,"cone",0.05,1,1,0.959999978542328
"zoo",8,"dropToValue",256,0.01,"rect",0.05,1,1,0.919999957084656
"zoo",8,"dropToValue",512,0.01,"rect",0.05,1,1,0.959999978542328
"zoo",8,"dropToValue",512,0.01,"cone",0,1,1,0.919999957084656
"zoo",8,"dropToValue",1024,0.01,"cone",0,1,1,1
"zoo",8,"dropToValue",1024,0.1,"cone",0.05,1,1,0.959999978542328
"zoo",8,"dropToValue",512,0.1,"cone",0,1,1,0.959999978542328
"zoo",8,"dropToValue",1024,0.1,"cone",0,1,1,0.919999957084656
"zoo",4,"dropToValue",256,0.01,"cone",0.05,1,1,1
"zoo",4,"dropToValue",512,0.01,"cone",0.05,1,1,0.919999957084656
"zoo",4,"dropToValue",256,0.01,"rect",0.05,1,1,0.959999978542328
"zoo",4,"dropToValue",1024,0.01,"rect",0.05,1,1,1
"zoo",4,"dropToValue",256,0.01,"cone",0,1,1,0.919999957084656
"zoo",4,"dropToValue",1024,0.01,"cone",0,1,1,1
"zoo",4,"dropToValue",256,0.1,"cone",0.05,1,1,1
"zoo",4,"dropToValue",1024,0.1,"cone",0.05,1,1,1
"zoo",4,"dropToValue",512,0.1,"cone",0,1,1,1
"zoo",4,"dropToValue",1024,0.1,"cone",0,1,1,0.959999978542328
"zoo",2,"dropToValue",256,0.01,"cone",0.05,1,1,0.959999978542328
"zoo",2,"dropToValue",512,0.01,"cone",0.05,1,1,0.919999957084656
"zoo",2,"dropToValue",256,0.01,"rect",0.05,1,1,1
"zoo",2,"dropToValue",512,0.01,"rect",0.05,1,1,1
"zoo",2,"dropToValue",1024,0.01,"rect",0.05,1,1,1
"zoo",2,"dropToValue",256,0.01,"cone",0,1,1,0.919999957084656
"zoo",2,"dropToValue",512,0.01,"cone",0,1,1,0.959999978542328
"zoo",2,"dropToValue",256,0.01,"rect",0,1,1,0.959999978542328
"zoo",2,"dropToValue",1024,0.01,"rect",0,1,1,1
"zoo",2,"dropToValue",256,0.1,"cone",0.05,1,1,0.959999978542328
"zoo",2,"dropToValue",512,0.1,"cone",0.05,1,1,1
"zoo",2,"dropToValue",512,0.1,"rect",0.05,1,1,0.959999978542328
"zoo",2,"dropToValue",1024,0.1,"cone",0,1,1,1
"zoo",2,"dropToValue",512,0.1,"rect",0,1,1,0.959999978542328
"zoo",32,"dropToValue",256,0.01,"cone",0,1,0.992857146263122,0.879999995231628
"zoo",16,"dropToValue",1024,0.01,"cone",0.05,1,0.992857146263122,0.959999978542328
"zoo",8,"dropToValue",512,0.1,"cone",0.05,1,0.992857146263122,0.919999957084656
"zoo",4,"dropToValue",512,0.01,"rect",0.05,1,0.992857146263122,1
"zoo",4,"dropToValue",512,0.1,"cone",0.05,1,0.985714292526245,1
"zoo",4,"dropToValue",256,0.1,"cone",0,1,0.985714292526245,0.959999978542328
"zoo",4,"dropToValue",256,0.1,"rect",0.05,1,0.978571438789368,0.959999978542328
"zoo",2,"dropToValue",1024,0.01,"cone",0.05,1,0.978571438789368,1
"zoo",8,"dropToValue",1024,0.01,"rect",0.05,1,0.97142858505249,1
"zoo",3,"dropToValue",256,0.01,"cone",0.05,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",512,0.01,"cone",0.05,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",1024,0.01,"cone",0.05,1,0.952381014823914,1
"zoo",3,"dropToValue",256,0.01,"rect",0.05,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",512,0.01,"rect",0.05,1,0.952381014823914,1
"zoo",3,"dropToValue",1024,0.01,"rect",0.05,1,0.952381014823914,1
"zoo",3,"dropToValue",256,0.01,"cone",0,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",1024,0.01,"cone",0,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",256,0.01,"rect",0,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",512,0.01,"rect",0,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",1024,0.01,"rect",0,1,0.952381014823914,1
"zoo",3,"dropToValue",256,0.1,"cone",0.05,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",512,0.1,"cone",0.05,1,0.952381014823914,1
"zoo",3,"dropToValue",1024,0.1,"cone",0.05,1,0.952381014823914,1
"zoo",3,"dropToValue",256,0.1,"rect",0.05,1,0.952381014823914,1
"zoo",3,"dropToValue",512,0.1,"rect",0.05,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",256,0.1,"cone",0,1,0.952381014823914,1
"zoo",3,"dropToValue",512,0.1,"cone",0,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",1024,0.1,"cone",0,1,0.952381014823914,0.959999978542328
"zoo",3,"dropToValue",256,0.1,"rect",0,1,0.952381014823914,1
"zoo",2,"dropToValue",1024,0.01,"cone",0,1,0.950000023841858,1
"zoo",32,"dropToValue",1024,0.01,"rect",0.05,1,0.950000017881393,0.959999978542328
"zoo",4,"dropToValue",1024,0.01,"cone",0.05,1,0.942857170104981,0.879999995231628
"zoo",4,"dropToValue",1024,0.01,"rect",0,1,0.942857170104981,0.959999978542328
"zoo",32,"dropToValue",256,0.01,"rect",0.05,1,0.942857152223587,0.879999995231628
"zoo",2,"dropToValue",1024,0.1,"rect",0,1,0.935714316368103,1
"zoo",8,"dropToValue",256,0.1,"cone",0.05,1,0.935714304447174,0.919999957084656
"zoo",32,"dropToValue",512,0.01,"rect",0,1,0.928571462631226,0.959999978542328
"zoo",32,"dropToValue",1024,0.01,"rect",0,1,0.928571462631226,0.879999995231628
"zoo",16,"dropToValue",512,0.01,"cone",0,1,0.928571462631226,0.919999957084656
"zoo",16,"dropToValue",256,0.01,"rect",0,1,0.928571462631226,0.919999957084656
"zoo",16,"dropToValue",1024,0.01,"rect",0,1,0.928571462631226,0.919999957084656
"zoo",8,"dropToValue",256,0.01,"cone",0,1,0.928571462631226,0.919999957084656
"zoo",8,"dropToValue",256,0.01,"rect",0,1,0.928571462631226,0.959999978542328
"zoo",8,"dropToValue",512,0.01,"rect",0,1,0.928571462631226,1
"zoo",8,"dropToValue",1024,0.01,"rect",0,1,0.928571462631226,0.959999978542328
"zoo",8,"dropToValue",256,0.1,"cone",0,1,0.928571462631226,0.959999978542328
"zoo",4,"dropToValue",512,0.01,"rect",0,1,0.928571462631226,1
"zoo",2,"dropToValue",512,0.01,"rect",0,1,0.928571462631226,0.959999978542328
"zoo",2,"dropToValue",1024,0.1,"cone",0.05,1,0.928571462631226,0.959999978542328
"zoo",2,"dropToValue",256,0.1,"rect",0.05,1,0.928571462631226,0.959999978542328
"zoo",2,"dropToValue",1024,0.1,"rect",0.05,1,0.928571462631226,1
"zoo",2,"dropToValue",256,0.1,"cone",0,1,0.928571462631226,0.959999978542328
"zoo",2,"dropToValue",512,0.1,"cone",0,1,0.928571462631226,0.959999978542328
"zoo",2,"dropToValue",256,0.1,"rect",0,1,0.928571462631226,0.959999978542328
"zoo",32,"dropToValue",512,0.01,"rect",0.05,1,0.921428579092026,0.879999995231628
"zoo",3,"dropToValue",512,0.01,"cone",0,1,0.904761970043182,0.959999978542328
"zoo",3,"dropToValue",1024,0.1,"rect",0.05,1,0.904761970043182,0.959999978542328
"zoo",16,"dropToValue",1024,0.01,"cone",0,1,0.900000047683716,0.959999978542328
"zoo",4,"dropToValue",512,0.1,"rect",0.05,1,0.892857193946838,1
"zoo",4,"dropToValue",256,0.1,"rect",0,1,0.878571486473083,1
"zoo",4,"dropToValue",256,0.01,"rect",0,1,0.871428632736206,0.959999978542328
"zoo",16,"dropToValue",512,0.1,"cone",0.05,1,0.864285719394684,0.839999973773956
"zoo",32,"dropToValue",256,0.01,"rect",0,1,0.857142925262451,0.959999978542328
"zoo",4,"dropToValue",512,0.01,"cone",0,1,0.857142925262451,0.959999978542328
"zoo",3,"dropToValue",512,0.1,"rect",0,1,0.857142925262451,0.919999957084656
"zoo",16,"dropToValue",512,0.01,"cone",0.05,1,0.857142865657806,0.839999973773956
"zoo",16,"dropToValue",1024,0.1,"cone",0.05,1,0.857142865657806,0.839999973773956
"zoo",32,"dropToValue",512,0.01,"cone",0,1,0.828571450710297,0.879999995231628
"zoo",16,"dropToValue",256,0.1,"cone",0.05,1,0.814285707473755,0.839999973773956
"zoo",16,"dropToValue",1024,0.1,"cone",0,1,0.750000029802322,0.879999995231628
"zoo",16,"dropToValue",256,0.01,"cone",0.05,1,0.742857164144516,0.799999952316284
"zoo",16,"dropToValue",512,0.1,"cone",0,1,0.714285731315613,0.759999990463257
"zoo",3,"dropToValue",1024,0.1,"rect",0,1,0.685714334249496,0.879999995231628
"zoo",8,"dropToValue",256,0.1,"rect",0.05,1,0.671428585797548,0.839999973773956
"zoo",32,"dropToValue",512,0.01,"cone",0.05,1,0.642857193946838,0.560000002384186
"zoo",32,"dropToValue",256,0.01,"cone",0.05,1,0.600000035762787,0.679999947547913
"zoo",32,"dropToValue",1024,0.1,"cone",0.05,1,0.59285717010498,0.639999985694885
"zoo",32,"dropToValue",256,0.1,"cone",0.05,1,0.578571456670761,0.560000002384186
"zoo",32,"dropToValue",1024,0.01,"cone",0.05,1,0.571428596973419,0.639999985694885
